level,method,seed,pool,subset,metric,value
single_model,CAGF,107,none,unaffected,macro_auprc,0.5821245808639516
single_model,CAGF,107,none,unaffected,nll,1.6045440350904656
single_model,CAGF,108,none,all,accuracy,0.5568285976168652
single_model,CAGF,108,none,all,macro_f1,0.5266119373991179
single_model,CAGF,108,none,all,macro_auroc,0.8381059327209069
single_model,CAGF,108,none,all,macro_auprc,0.5633966166282437
single_model,CAGF,108,none,all,nll,1.6001810882429748
single_model,CAGF,108,none,affected,accuracy,0.5138810198300283
single_model,CAGF,108,none,affected,macro_f1,0.4982084982973582
single_model,CAGF,108,none,affected,macro_auroc,0.8201935455733298
single_model,CAGF,108,none,affected,macro_auprc,0.5443104430047688
single_model,CAGF,108,none,affected,nll,1.7829790702986799
single_model,CAGF,108,none,unaffected,accuracy,0.5859946133128127
single_model,CAGF,108,none,unaffected,macro_f1,0.5461712194146386
single_model,CAGF,108,none,unaffected,macro_auroc,0.8504683844710024
single_model,CAGF,108,none,unaffected,macro_auprc,0.5880267927801422
single_model,CAGF,108,none,unaffected,nll,1.4760416352501624
single_model,CAGF,109,none,all,accuracy,0.5075618698441796
single_model,CAGF,109,none,all,macro_f1,0.492375045078675
single_model,CAGF,109,none,all,macro_auroc,0.8174099489760224
single_model,CAGF,109,none,all,macro_auprc,0.5445237284994263
single_model,CAGF,109,none,all,nll,1.4798766842954438
single_model,CAGF,109,none,affected,accuracy,0.47195467422096316
single_model,CAGF,109,none,affected,macro_f1,0.4520400580461392
single_model,CAGF,109,none,affected,macro_auroc,0.7865373863388108
single_model,CAGF,109,none,affected,macro_auprc,0.49108503721293584
single_model,CAGF,109,none,affected,nll,1.7384120193664991
single_model,CAGF,109,none,unaffected,accuracy,0.5317429780684879
single_model,CAGF,109,none,unaffected,macro_f1,0.5167106456035717
single_model,CAGF,109,none,unaffected,macro_auroc,0.8405063896657606
single_model,CAGF,109,none,unaffected,macro_auprc,0.592747371744271
single_model,CAGF,109,none,unaffected,nll,1.304303438277586
single_model,CAGF,110,none,all,accuracy,0.5302474793767186
single_model,CAGF,110,none,all,macro_f1,0.5030294648425739
single_model,CAGF,110,none,all,macro_auroc,0.816464947739456
single_model,CAGF,110,none,all,macro_auprc,0.536626573283027
single_model,CAGF,110,none,all,nll,2.0702413179576538
single_model,CAGF,110,none,affected,accuracy,0.5065155807365439
single_model,CAGF,110,none,affected,macro_f1,0.48968337931270534
single_model,CAGF,110,none,affected,macro_auroc,0.7989508846772483
single_model,CAGF,110,none,affected,macro_auprc,0.5191331289108057
single_model,CAGF,110,none,affected,nll,2.3263985060369095
single_model,CAGF,110,none,unaffected,accuracy,0.5463639861485187
single_model,CAGF,110,none,unaffected,macro_f1,0.5113237048072728
single_model,CAGF,110,none,unaffected,macro_auroc,0.8289228447511873
single_model,CAGF,110,none,unaffected,macro_auprc,0.5578892239539367
single_model,CAGF,110,none,unaffected,nll,1.896283089038883
single_model,PDRF,101,none,all,accuracy,0.5492667277726856
single_model,PDRF,101,none,all,macro_f1,0.5305859262540402
single_model,PDRF,101,none,all,macro_auroc,0.8416870703650473
single_model,PDRF,101,none,all,macro_auprc,0.5884051116249603
single_model,PDRF,101,none,all,nll,2.077856552508911
single_model,PDRF,101,none,affected,accuracy,0.48158640226628896
single_model,PDRF,101,none,affected,macro_f1,0.4685800229206705
single_model,PDRF,101,none,affected,macro_auroc,0.8011193696900073
single_model,PDRF,101,none,affected,macro_auprc,0.5124590478279335
single_model,PDRF,101,none,affected,nll,2.6010909141381053
single_model,PDRF,101,none,unaffected,accuracy,0.5952289342054636
single_model,PDRF,101,none,unaffected,macro_f1,0.5678425090401407
single_model,PDRF,101,none,unaffected,macro_auroc,0.8708603525185681
single_model,PDRF,101,none,unaffected,macro_auprc,0.6523580323801133
single_model,PDRF,101,none,unaffected,nll,1.7225242522874697
single_model,PDRF,102,none,all,accuracy,0.5428505957836847
single_model,PDRF,102,none,all,macro_f1,0.5260639552324508
single_model,PDRF,102,none,all,macro_auroc,0.8361296046606345
single_model,PDRF,102,none,all,macro_auprc,0.5874170341690244
single_model,PDRF,102,none,all,nll,2.240343977689405
