method,parameters,train_seconds_mean,train_seconds_std,epochs_mean,inference_ms_mean,inference_ms_std
CAGF,26588,10.160518100000143,1.0689858506140488,21.0,0.0013364497407946001,0.00011926046191878739
ENT-PD,17560,8.955358400004721,2.3928482632412345,19.0,0.001313893979863,0.00032258622052866936
PDRF,19740,13.154724866670827,3.8560605414464266,22.333333333333332,0.0012224029932612999,0.00024619956101517356
RO-PDRF,19740,16.558378533329233,4.661329504913514,22.333333333333332,0.0015847769615071,6.402366777444461e-05
