seed,model,stress_type,level,metric,value
101,RWF,reported_quality,0.15,macro_auroc,0.8395547292915807
101,RWF,reported_quality,0.15,nll,1.792879491256321
101,RWF,reported_quality,0.15,aurc,0.2469497478042096
101,RWF,reported_quality,0.4,macro_auroc,0.8176726191149594
101,RWF,reported_quality,0.4,nll,2.100426601626889
101,RWF,reported_quality,0.4,aurc,0.2809461426247051
101,RWF,reported_quality,0.7,macro_auroc,0.798893645501
101,RWF,reported_quality,0.7,nll,2.395058465828223
101,RWF,reported_quality,0.7,aurc,0.31259934692534974
101,RWF,reported_quality,1.0,macro_auroc,0.7855264453169214
101,RWF,reported_quality,1.0,nll,2.611767715182315
101,RWF,reported_quality,1.0,aurc,0.33192032049597214
101,CFA,severity,0.0,macro_auroc,0.8533140649299247
101,CFA,severity,0.0,nll,1.7572161005642275
101,CFA,severity,0.0,aurc,0.2142721183272179
101,CFA,severity,1.0,macro_auroc,0.8361703315274304
101,CFA,severity,1.0,nll,1.9543439246002896
101,CFA,severity,1.0,aurc,0.2444866591224625
101,CFA,severity,2.0,macro_auroc,0.8144923608921002
101,CFA,severity,2.0,nll,2.2835237543805995
101,CFA,severity,2.0,aurc,0.28058849995744206
101,CFA,severity,3.0,macro_auroc,0.7973544677645421
101,CFA,severity,3.0,nll,2.6053610431713246
101,CFA,severity,3.0,aurc,0.30919389587804086
101,CFA,severity,4.0,macro_auroc,0.7837829376856286
101,CFA,severity,4.0,nll,2.8647551372095683
101,CFA,severity,4.0,aurc,0.33028426487002477
101,CFA,severity,5.0,macro_auroc,0.7726937690195586
101,CFA,severity,5.0,nll,3.0851255743701036
101,CFA,severity,5.0,aurc,0.34973499836174693
101,CFA,fraction,0.1,macro_auroc,0.8399163625092939
101,CFA,fraction,0.1,nll,1.9649995700524228
101,CFA,fraction,0.1,aurc,0.23687268314985754
101,CFA,fraction,0.25,macro_auroc,0.8185219394013531
101,CFA,fraction,0.25,nll,2.280610394556491
101,CFA,fraction,0.25,aurc,0.27272877111135574
101,CFA,fraction,0.4,macro_auroc,0.7973544677645421
101,CFA,fraction,0.4,nll,2.6053610431713246
101,CFA,fraction,0.4,aurc,0.30919389587804086
101,CFA,fraction,0.6,macro_auroc,0.7709531090069026
101,CFA,fraction,0.6,nll,3.069474068697957
101,CFA,fraction,0.6,aurc,0.35252016355187527
101,CFA,fraction,0.8,macro_auroc,0.751387985164181
101,CFA,fraction,0.8,nll,3.491113352866751
101,CFA,fraction,0.8,aurc,0.39633877262399153
101,CFA,fault_modality,0.0,macro_auroc,0.7973544677645421
101,CFA,fault_modality,0.0,nll,2.6053610431713246
101,CFA,fault_modality,0.0,aurc,0.30919389587804086
