seed,model,stress_type,level,metric,value
11,UF,sensor_noise,0.5,aurc,0.15479841269841269
11,UF,sensor_noise,1.0,auroc,0.7783810071218403
11,UF,sensor_noise,1.0,ece,0.03563017519315085
11,UF,sensor_noise,1.0,nll,0.5647108173579133
11,UF,sensor_noise,1.0,aurc,0.1758223544973545
11,UF,sensor_noise,1.5,auroc,0.7658176558160954
11,UF,sensor_noise,1.5,ece,0.028891949019084377
11,UF,sensor_noise,1.5,nll,0.5782191375847515
11,UF,sensor_noise,1.5,aurc,0.1864554232804233
11,UF,sensor_noise,2.0,auroc,0.7775731231448233
11,UF,sensor_noise,2.0,ece,0.02700389228264491
11,UF,sensor_noise,2.0,nll,0.5671565023363659
11,UF,sensor_noise,2.0,aurc,0.17560621693121692
11,UF,sensor_noise,3.0,auroc,0.7719337544016843
11,UF,sensor_noise,3.0,ece,0.026263889320194723
11,UF,sensor_noise,3.0,nll,0.5719289332137243
11,UF,sensor_noise,3.0,aurc,0.1814734126984127
11,GF,missingness,0.5,auroc,0.7974652433178859
11,GF,missingness,0.5,ece,0.02704116906722387
11,GF,missingness,0.5,nll,0.5474823211038502
11,GF,missingness,0.5,aurc,0.15991640211640212
11,GF,missingness,1.0,auroc,0.8048662133798629
11,GF,missingness,1.0,ece,0.03382225200161339
11,GF,missingness,1.0,nll,0.5388705873977672
11,GF,missingness,1.0,aurc,0.15336825396825393
11,GF,missingness,1.5,auroc,0.7944172634243819
11,GF,missingness,1.5,ece,0.026298389328022795
11,GF,missingness,1.5,nll,0.5485173719765237
11,GF,missingness,1.5,aurc,0.15914854497354497
11,GF,missingness,2.0,auroc,0.7623089915107337
11,GF,missingness,2.0,ece,0.04450619470948975
11,GF,missingness,2.0,nll,0.5853598775635916
11,GF,missingness,2.0,aurc,0.18988492063492063
11,GF,sensor_noise,0.0,auroc,0.7848363825818532
11,GF,sensor_noise,0.0,ece,0.03848703317344188
11,GF,sensor_noise,0.0,nll,0.5635492742355985
11,GF,sensor_noise,0.0,aurc,0.17218346560846562
11,GF,sensor_noise,0.5,auroc,0.7940619021542007
11,GF,sensor_noise,0.5,ece,0.02514999233434598
11,GF,sensor_noise,0.5,nll,0.5508972305294957
11,GF,sensor_noise,0.5,aurc,0.16244920634920634
11,GF,sensor_noise,1.0,auroc,0.7692970044350915
11,GF,sensor_noise,1.0,ece,0.040095823445667825
11,GF,sensor_noise,1.0,nll,0.5783470132583469
11,GF,sensor_noise,1.0,aurc,0.1839511904761905
11,GF,sensor_noise,1.5,auroc,0.7509356278274986
11,GF,sensor_noise,1.5,ece,0.05399847323447465
11,GF,sensor_noise,1.5,nll,0.6004089383629889
11,GF,sensor_noise,1.5,aurc,0.20202275132275133
11,GF,sensor_noise,2.0,auroc,0.76005536347567
11,GF,sensor_noise,2.0,ece,0.05653641905387242
11,GF,sensor_noise,2.0,nll,0.5962654676514714
11,GF,sensor_noise,2.0,aurc,0.19514656084656082
11,GF,sensor_noise,3.0,auroc,0.7383813979700363
11,GF,sensor_noise,3.0,ece,0.0713776381810506
11,GF,sensor_noise,3.0,nll,0.6266399358346354
11,GF,sensor_noise,3.0,aurc,0.21534497354497356
11,QWF,missingness,0.5,auroc,0.8017888007950227
11,QWF,missingness,0.5,ece,0.022584702317913374
11,QWF,missingness,0.5,nll,0.5403779891252511
11,QWF,missingness,0.5,aurc,0.15292037037037037
11,QWF,missingness,1.0,auroc,0.8086630500387177
11,QWF,missingness,1.0,ece,0.02078132834037145
11,QWF,missingness,1.0,nll,0.5325498655549474
11,QWF,missingness,1.0,aurc,0.14786058201058203
11,QWF,missingness,1.5,auroc,0.7996871911023247
11,QWF,missingness,1.5,ece,0.022643523303170997
11,QWF,missingness,1.5,nll,0.5424366508879598
11,QWF,missingness,1.5,aurc,0.15312910052910056
11,QWF,missingness,2.0,auroc,0.7652300102226766
11,QWF,missingness,2.0,ece,0.0356683875794212
11,QWF,missingness,2.0,nll,0.5813923364055867
11,QWF,missingness,2.0,aurc,0.1858708994708995
11,QWF,sensor_noise,0.0,auroc,0.7917014148821346
11,QWF,sensor_noise,0.0,ece,0.01647929894179106
11,QWF,sensor_noise,0.0,nll,0.5512418144710939
11,QWF,sensor_noise,0.0,aurc,0.16294920634920634
11,QWF,sensor_noise,0.5,auroc,0.8034887524980618
11,QWF,sensor_noise,0.5,ece,0.022234173610806464
11,QWF,sensor_noise,0.5,nll,0.5410383381776026
11,QWF,sensor_noise,0.5,aurc,0.1539787037037037
11,QWF,sensor_noise,1.0,auroc,0.7810210801317059
11,QWF,sensor_noise,1.0,ece,0.024312040782223147
11,QWF,sensor_noise,1.0,nll,0.5624370916616892
11,QWF,sensor_noise,1.0,aurc,0.1718546296296296
11,QWF,sensor_noise,1.5,auroc,0.7687186688590965
11,QWF,sensor_noise,1.5,ece,0.02750937126080195
11,QWF,sensor_noise,1.5,nll,0.5751385314791231
11,QWF,sensor_noise,1.5,aurc,0.18465727513227512
11,QWF,sensor_noise,2.0,auroc,0.781323609520739
11,QWF,sensor_noise,2.0,ece,0.02375226110468308
11,QWF,sensor_noise,2.0,nll,0.5629728709889639
11,QWF,sensor_noise,2.0,aurc,0.17257116402116404
11,QWF,sensor_noise,3.0,auroc,0.7865449239574736
11,QWF,sensor_noise,3.0,ece,0.016534223852058254
11,QWF,sensor_noise,3.0,nll,0.5567920325133371
11,QWF,sensor_noise,3.0,aurc,0.16840396825396828
11,LWF,missingness,0.5,auroc,0.8017816896807508
11,LWF,missingness,0.5,ece,0.028378903930385908
11,LWF,missingness,0.5,nll,0.5408769126148205
11,LWF,missingness,0.5,aurc,0.15340793650793652
11,LWF,missingness,1.0,auroc,0.811797169351858
11,LWF,missingness,1.0,ece,0.02739332707722982
11,LWF,missingness,1.0,nll,0.5304270792237293
11,LWF,missingness,1.0,aurc,0.14569497354497354
11,LWF,missingness,1.5,auroc,0.8011090093229318
11,LWF,missingness,1.5,ece,0.0212344425941507
11,LWF,missingness,1.5,nll,0.5400174004514404
11,LWF,missingness,1.5,aurc,0.15405304232804232
11,LWF,missingness,2.0,auroc,0.7708715942930796
11,LWF,missingness,2.0,ece,0.03786553426583608
11,LWF,missingness,2.0,nll,0.5743267880106144
11,LWF,missingness,2.0,aurc,0.1811936507936508
11,LWF,sensor_noise,0.0,auroc,0.7913608971885508
11,LWF,sensor_noise,0.0,ece,0.03264982489496469
11,LWF,sensor_noise,0.0,nll,0.5521679652932372
11,LWF,sensor_noise,0.0,aurc,0.16440925925925925
11,LWF,sensor_noise,0.5,auroc,0.8042812871153341
11,LWF,sensor_noise,0.5,ece,0.021679263845086096
11,LWF,sensor_noise,0.5,nll,0.539147018139663
11,LWF,sensor_noise,0.5,aurc,0.15353359788359788
11,LWF,sensor_noise,1.0,auroc,0.7843506216107246
11,LWF,sensor_noise,1.0,ece,0.025402154115339127
11,LWF,sensor_noise,1.0,nll,0.5576375660816476
11,LWF,sensor_noise,1.0,aurc,0.167926455026455
11,LWF,sensor_noise,1.5,auroc,0.7688480275467324
11,LWF,sensor_noise,1.5,ece,0.02911660579095284
11,LWF,sensor_noise,1.5,nll,0.5758260288446138
11,LWF,sensor_noise,1.5,aurc,0.1824556878306878
11,LWF,sensor_noise,2.0,auroc,0.77845760469589
11,LWF,sensor_noise,2.0,ece,0.03291778849562009
11,LWF,sensor_noise,2.0,nll,0.5670455975415716
11,LWF,sensor_noise,2.0,aurc,0.17555264550264554
11,LWF,sensor_noise,3.0,auroc,0.7700353023634317
11,LWF,sensor_noise,3.0,ece,0.03282368998726209
11,LWF,sensor_noise,3.0,nll,0.5793233924764241
11,LWF,sensor_noise,3.0,aurc,0.1851456349206349
11,RWF,missingness,0.5,auroc,0.803677690523418
11,RWF,missingness,0.5,ece,0.029720665072401363
11,RWF,missingness,0.5,nll,0.539112345102466
11,RWF,missingness,0.5,aurc,0.1511478835978836
11,RWF,missingness,1.0,auroc,0.8129716023393477
11,RWF,missingness,1.0,ece,0.025444692000746727
11,RWF,missingness,1.0,nll,0.5290388639513877
11,RWF,missingness,1.0,aurc,0.14471547619047617
11,RWF,missingness,1.5,auroc,0.8025068268608531
11,RWF,missingness,1.5,ece,0.02018302659193675
11,RWF,missingness,1.5,nll,0.5385727234027645
11,RWF,missingness,1.5,aurc,0.1523670634920635
11,RWF,missingness,2.0,auroc,0.7713258367038535
11,RWF,missingness,2.0,ece,0.03189435876781741
11,RWF,missingness,2.0,nll,0.5736120698426849
11,RWF,missingness,2.0,aurc,0.1806435185185185
11,RWF,sensor_noise,0.0,auroc,0.7927320810343202
11,RWF,sensor_noise,0.0,ece,0.031845428916315234
11,RWF,sensor_noise,0.0,nll,0.5506304726278279
11,RWF,sensor_noise,0.0,aurc,0.16252804232804233
11,RWF,sensor_noise,0.5,auroc,0.8058241293231586
11,RWF,sensor_noise,0.5,ece,0.017196730504433315
11,RWF,sensor_noise,0.5,nll,0.5376274065311332
11,RWF,sensor_noise,0.5,aurc,0.15094060846560844
11,RWF,sensor_noise,1.0,auroc,0.7857522296592355
11,RWF,sensor_noise,1.0,ece,0.017989393986761564
11,RWF,sensor_noise,1.0,nll,0.5559307751301856
11,RWF,sensor_noise,1.0,aurc,0.16701362433862435
11,RWF,sensor_noise,1.5,auroc,0.7723071499791736
11,RWF,sensor_noise,1.5,ece,0.019529745809733868
11,RWF,sensor_noise,1.5,nll,0.5705533324486989
11,RWF,sensor_noise,1.5,aurc,0.18017645502645505
11,RWF,sensor_noise,2.0,auroc,0.7843234649976099
11,RWF,sensor_noise,2.0,ece,0.018072793177018563
11,RWF,sensor_noise,2.0,nll,0.5584453509685203
11,RWF,sensor_noise,2.0,aurc,0.16838240740740743
11,RWF,sensor_noise,3.0,auroc,0.7893951575806303
11,RWF,sensor_noise,3.0,ece,0.020800095287462073
11,RWF,sensor_noise,3.0,nll,0.5523660025223267
11,RWF,sensor_noise,3.0,aurc,0.1626227513227513
11,CFA,missingness,0.5,auroc,0.8032674681188747
11,CFA,missingness,0.5,ece,0.02667500700056553
11,CFA,missingness,0.5,nll,0.5390742533947309
11,CFA,missingness,0.5,aurc,0.15101521164021162
11,CFA,missingness,1.0,auroc,0.8130754577086259
11,CFA,missingness,1.0,ece,0.026183903033534687
11,CFA,missingness,1.0,nll,0.5275052898799156
11,CFA,missingness,1.0,aurc,0.14398690476190476
11,CFA,missingness,1.5,auroc,0.803197513173708
11,CFA,missingness,1.5,ece,0.015510286177198091
11,CFA,missingness,1.5,nll,0.5379507588446287
11,CFA,missingness,1.5,aurc,0.15308505291005292
11,CFA,missingness,2.0,auroc,0.7710831592515224
11,CFA,missingness,2.0,ece,0.0405641958490014
11,CFA,missingness,2.0,nll,0.5740577682612664
11,CFA,missingness,2.0,aurc,0.18030145502645503
11,CFA,sensor_noise,0.0,auroc,0.7922997658162911
11,CFA,sensor_noise,0.0,ece,0.021058590407172836
11,CFA,sensor_noise,0.0,nll,0.5502308770245988
11,CFA,sensor_noise,0.0,aurc,0.16170780423280423
11,CFA,sensor_noise,0.5,auroc,0.8064166411822857
11,CFA,sensor_noise,0.5,ece,0.018897278564671674
11,CFA,sensor_noise,0.5,nll,0.5370688751750302
11,CFA,sensor_noise,0.5,aurc,0.15040740740740738
11,CFA,sensor_noise,1.0,auroc,0.7848329383670312
11,CFA,sensor_noise,1.0,ece,0.02334547133247057
11,CFA,sensor_noise,1.0,nll,0.5576181888522403
11,CFA,sensor_noise,1.0,aurc,0.1676376984126984
11,CFA,sensor_noise,1.5,auroc,0.7727563491333189
11,CFA,sensor_noise,1.5,ece,0.02338811527068416
11,CFA,sensor_noise,1.5,nll,0.5707321493782459
11,CFA,sensor_noise,1.5,aurc,0.18012883597883597
11,CFA,sensor_noise,2.0,auroc,0.7841518159887049
11,CFA,sensor_noise,2.0,ece,0.022533244618525104
11,CFA,sensor_noise,2.0,nll,0.5589922031414283
11,CFA,sensor_noise,2.0,aurc,0.16949880952380952
11,CFA,sensor_noise,3.0,auroc,0.7890998230659589
11,CFA,sensor_noise,3.0,ece,0.024138228315860034
11,CFA,sensor_noise,3.0,nll,0.5526764897821421
11,CFA,sensor_noise,3.0,aurc,0.1631600529100529
11,CRF_NR,missingness,0.5,auroc,0.8034554682024303
11,CRF_NR,missingness,0.5,ece,0.026150243481000264
11,CRF_NR,missingness,0.5,nll,0.5389766704757852
11,CRF_NR,missingness,0.5,aurc,0.1514509259259259
11,CRF_NR,missingness,1.0,auroc,0.8132564818426566
11,CRF_NR,missingness,1.0,ece,0.024943640703956285
11,CRF_NR,missingness,1.0,nll,0.527384231559615
11,CRF_NR,missingness,1.0,aurc,0.14349034391534393
11,CRF_NR,missingness,1.5,auroc,0.8030615093051535
11,CRF_NR,missingness,1.5,ece,0.015514514078075685
11,CRF_NR,missingness,1.5,nll,0.5382356083938419
11,CRF_NR,missingness,1.5,aurc,0.15248148148148144
11,CRF_NR,missingness,2.0,auroc,0.7712662785012666
11,CRF_NR,missingness,2.0,ece,0.0370351971698304
11,CRF_NR,missingness,2.0,nll,0.5739077506535885
11,CRF_NR,missingness,2.0,aurc,0.18019867724867725
11,CRF_NR,sensor_noise,0.0,auroc,0.792244642847617
11,CRF_NR,sensor_noise,0.0,ece,0.02022987320025762
11,CRF_NR,sensor_noise,0.0,nll,0.5502975917084992
11,CRF_NR,sensor_noise,0.0,aurc,0.16194259259259255
11,CRF_NR,sensor_noise,0.5,auroc,0.8063859710260368
11,CRF_NR,sensor_noise,0.5,ece,0.01947208956380685
11,CRF_NR,sensor_noise,0.5,nll,0.5370723829198184
11,CRF_NR,sensor_noise,0.5,aurc,0.1498026455026455
11,CRF_NR,sensor_noise,1.0,auroc,0.7849609634599493
11,CRF_NR,sensor_noise,1.0,ece,0.025604845654840266
11,CRF_NR,sensor_noise,1.0,nll,0.5573938456983186
11,CRF_NR,sensor_noise,1.0,aurc,0.16810304232804232
11,CRF_NR,sensor_noise,1.5,auroc,0.7727443467808579
11,CRF_NR,sensor_noise,1.5,ece,0.024333946349720158
11,CRF_NR,sensor_noise,1.5,nll,0.5706486864981813
11,CRF_NR,sensor_noise,1.5,aurc,0.18078478835978837
11,CRF_NR,sensor_noise,2.0,auroc,0.7838694400284599
11,CRF_NR,sensor_noise,2.0,ece,0.0230361254264911
11,CRF_NR,sensor_noise,2.0,nll,0.5591514507798947
11,CRF_NR,sensor_noise,2.0,aurc,0.1695070105820106
11,CRF_NR,sensor_noise,3.0,auroc,0.7890567117824026
11,CRF_NR,sensor_noise,3.0,ece,0.02536848634729783
11,CRF_NR,sensor_noise,3.0,nll,0.552703761434496
11,CRF_NR,sensor_noise,3.0,aurc,0.1627185185185185
11,CRF,missingness,0.5,auroc,0.8032396903287513
11,CRF,missingness,0.5,ece,0.02367169653624296
11,CRF,missingness,0.5,nll,0.5393071181562418
11,CRF,missingness,0.5,aurc,0.15161031746031747
11,CRF,missingness,1.0,auroc,0.8125426151716015
11,CRF,missingness,1.0,ece,0.020816900802155335
11,CRF,missingness,1.0,nll,0.5289989292639559
11,CRF,missingness,1.0,aurc,0.1447128306878307
11,CRF,missingness,1.5,auroc,0.8012401241635319
11,CRF,missingness,1.5,ece,0.02042834266275168
11,CRF,missingness,1.5,nll,0.5403545151582706
11,CRF,missingness,1.5,aurc,0.15259563492063494
11,CRF,missingness,2.0,auroc,0.7693306369171964
11,CRF,missingness,2.0,ece,0.03294827807322144
11,CRF,missingness,2.0,nll,0.5753765042669216
11,CRF,missingness,2.0,aurc,0.18168968253968254
11,CRF,sensor_noise,0.0,auroc,0.7921544012134165
11,CRF,sensor_noise,0.0,ece,0.026070920143276454
11,CRF,sensor_noise,0.0,nll,0.5510225301310936
11,CRF,sensor_noise,0.0,aurc,0.16290833333333332
11,CRF,sensor_noise,0.5,auroc,0.8064593127040232
11,CRF,sensor_noise,0.5,ece,0.019994352142016093
11,CRF,sensor_noise,0.5,nll,0.5372431298588503
11,CRF,sensor_noise,0.5,aurc,0.15108148148148148
11,CRF,sensor_noise,1.0,auroc,0.783582915584788
11,CRF,sensor_noise,1.0,ece,0.025266270242631433
11,CRF,sensor_noise,1.0,nll,0.5581058519222782
11,CRF,sensor_noise,1.0,aurc,0.16825039682539683
11,CRF,sensor_noise,1.5,auroc,0.7732480010526508
11,CRF,sensor_noise,1.5,ece,0.021936941266059877
11,CRF,sensor_noise,1.5,nll,0.5693435136942994
11,CRF,sensor_noise,1.5,aurc,0.18041666666666664
11,CRF,sensor_noise,2.0,auroc,0.7848764327244833
11,CRF,sensor_noise,2.0,ece,0.0283577918857336
11,CRF,sensor_noise,2.0,nll,0.558028474264425
11,CRF,sensor_noise,2.0,aurc,0.16840502645502645
11,CRF,sensor_noise,3.0,auroc,0.7919280566011153
11,CRF,sensor_noise,3.0,ece,0.02167603002985319
11,CRF,sensor_noise,3.0,nll,0.5500262640838854
11,CRF,sensor_noise,3.0,aurc,0.16067896825396824
12,EF,missingness,0.5,auroc,0.7877972316468572
12,EF,missingness,0.5,ece,0.0320499171068271
12,EF,missingness,0.5,nll,0.5526032087368197
12,EF,missingness,0.5,aurc,0.16109325396825397
12,EF,missingness,1.0,auroc,0.776859198884296
12,EF,missingness,1.0,ece,0.02011994752039512
12,EF,missingness,1.0,nll,0.5680148288821869
