protocol,method,mean,std,n
Original formal run,CAGF,0.7917117644558871,0.026968582524563526,10
Original formal run,PDRF,0.7907121977222623,0.010141090925105076,10
Original formal run,RO-PDRF,0.8038420324352549,0.009327457368143194,10
Superseded recovery-objective rerun,CAGF,0.8016755451941597,0.02583389641678669,10
Superseded recovery-objective rerun,PDRF,0.8084291575937039,0.009890469470636458,10
Superseded recovery-objective rerun,RO-PDRF,0.8204327514266276,0.009460244552236536,10
Unified headline protocol,CAGF,0.7917117644558871,0.026968582524563526,10
Unified headline protocol,PDRF,0.7907121977222623,0.010141090925105076,10
Unified headline protocol,RO-PDRF,0.8042807070149781,0.009359312276635666,10
