method,pairwise_disagreement,pairwise_js,ensemble_sharpness,ensemble_entropy
CAGF,0.36222120378857314,0.13475145252406398,0.6458229835248211,0.9449675313347778
PDRF,0.20915571850493947,0.07219339993502312,0.7817165233427842,0.5605552617575531
PDRF_RC,0.19250942051125364,0.06320452800613327,0.7894875230231018,0.5472779065903465
PDRF_RCI,0.20139016193095022,0.06591971841115035,0.7805433763490996,0.5673666590463307
PDRF_RCIA_R30,0.18528872593950502,0.05924765798888308,0.7891684446129533,0.5518911382926923
PDRF_REC,0.1987269579386903,0.06553024122884978,0.782082697356439,0.5625484516194301
