method,mean,std,min,max
CAGF,0.7813165303632306,0.006364447480541335,0.7717190088934854,0.7904064793222748
PDRF,0.7930455763997106,0.007553079258808801,0.7809041674857321,0.803056910216467
RO-CAGF,0.7925174858605158,0.006692755436476109,0.7798408160308428,0.8013395475448617
RO-PDRF,0.8047982614825266,0.007352325352413827,0.7917582236470551,0.8135882021313515
