seed,model,temperature
101,EF,1.4101842798386819
101,MD,1.8297211770618569
101,UF,1.2862895368590028
101,GF,0.6334496468137255
101,RWF,1.2230631584230178
101,CFA,0.9591650064374024
101,CRF_NR,1.0805858627601765
101,CRF,1.1589498987024724
102,EF,0.8569769280202784
102,MD,1.7094378310202387
102,UF,1.3007759600480295
102,GF,0.7533078527099168
102,RWF,0.9066242200059091
102,CFA,1.1159016646577358
102,CRF_NR,1.0184608485590871
102,CRF,1.1172569548442035
103,EF,0.9938267806412496
103,MD,1.5844312441995396
103,UF,1.3360543065638992
103,GF,1.0372983958071067
103,RWF,1.128299636807221
103,CFA,0.9744206882856573
103,CRF_NR,0.893571205996701
103,CRF,0.9894443572448062
104,EF,1.3038412176267573
104,MD,1.3982881583283486
104,UF,1.2145035283219703
104,GF,0.9438630413777657
104,RWF,1.188308752405471
104,CFA,1.0845797391837122
104,CRF_NR,1.1160112841057472
104,CRF,1.0062440985396763
105,EF,0.9537298045550711
105,MD,1.7618859671497733
105,UF,1.2800505758035405
105,GF,1.2567959995116178
105,RWF,0.8904875005844555
105,CFA,0.9894909222361277
105,CRF_NR,0.9942844849529773
105,CRF,1.2784666593706477
106,EF,1.2194690513372948
106,MD,1.7836977431382068
106,UF,0.962224961843194
106,GF,0.9201746203428706
106,RWF,0.8475011433162981
106,CFA,0.7405975277290021
106,CRF_NR,0.7727853362472886
106,CRF,0.8446684063937551
107,EF,0.7094498144924715
107,MD,1.6768108144716918
107,UF,1.113534647922221
107,GF,1.4443034784985418
107,RWF,1.1749103840549922
107,CFA,1.017360595057553
107,CRF_NR,1.005434743612945
107,CRF,1.0417977236818339
108,EF,1.0504798219391178
108,MD,1.5776926218314695
108,UF,1.3446314598806886
108,GF,0.9073739367234669
108,RWF,1.3900841622012987
108,CFA,1.1157776090507658
108,CRF_NR,1.183564098994491
108,CRF,1.2127193797107625
109,EF,1.312825424289133
109,MD,1.6959334796483723
109,UF,1.108977413586474
109,GF,1.4626435302551033
109,RWF,0.8611735624309839
109,CFA,0.8536783688269298
109,CRF_NR,0.8077211202897795
109,CRF,1.0155511272125117
110,EF,1.0702237975536129
110,MD,1.6103552516219182
110,UF,1.109481260292904
110,GF,1.7224426322163808
110,RWF,1.0477306259510852
110,CFA,1.178378327837592
110,CRF_NR,1.1456325866637682
110,CRF,1.2289046320313666
