seed,method,fault_type,subset,metric,value,n,inference_ms_per_observation
101,RO-CAGF,drift,fault_applied_available,brier,0.6398125954311642,1436,0.0012756416097255193
101,RO-CAGF,drift,fault_applied_available,ece15,0.17831613777158653,1436,0.0012756416097255193
101,RO-CAGF,drift,assigned,accuracy,0.5444759206798867,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,macro_f1,0.5130758732840847,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,macro_auroc,0.8404697207625818,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,macro_auprc,0.6064847541562296,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,nll,1.6097274747152022,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,brier,0.6400607753127986,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,ece15,0.1799604134248944,1765,0.0012756416097255193
101,RO-CAGF,drift,unaffected,accuracy,0.5886879569065026,2599,0.0012756416097255193
101,RO-CAGF,drift,unaffected,macro_f1,0.5573154585602011,2599,0.0012756416097255193
101,RO-CAGF,drift,unaffected,macro_auroc,0.8552172808029216,2599,0.0012756416097255193
101,RO-CAGF,drift,unaffected,macro_auprc,0.6289295206669775,2599,0.0012756416097255193
101,RO-CAGF,drift,unaffected,nll,1.4649781992641315,2599,0.0012756416097255193
101,RO-CAGF,drift,unaffected,brier,0.5926470503047551,2599,0.0012756416097255193
101,RO-CAGF,drift,unaffected,ece15,0.15944928192275906,2599,0.0012756416097255193
101,RO-CAGF,drift,all,accuracy,0.5708065994500459,4364,0.0012756416097255193
101,RO-CAGF,drift,all,macro_f1,0.5408054077096575,4364,0.0012756416097255193
101,RO-CAGF,drift,all,macro_auroc,0.848613750627794,4364,0.0012756416097255193
101,RO-CAGF,drift,all,macro_auprc,0.6193756788054636,4364,0.0012756416097255193
101,RO-CAGF,drift,all,nll,1.5235213869752087,4364,0.0012756416097255193
101,RO-CAGF,drift,all,brier,0.6118233162624078,4364,0.0012756416097255193
101,RO-CAGF,drift,all,ece15,0.16774489163095857,4364,0.0012756416097255193
101,RO-CAGF,stuck_at,fault_applied_available,accuracy,0.5389972144846796,1436,0.00127699358402013
101,RO-CAGF,stuck_at,fault_applied_available,macro_f1,0.5163338966230008,1436,0.00127699358402013
101,RO-CAGF,stuck_at,fault_applied_available,macro_auroc,0.8376723259041653,1436,0.00127699358402013
101,RO-CAGF,stuck_at,fault_applied_available,macro_auprc,0.6080257874505912,1436,0.00127699358402013
101,RO-CAGF,stuck_at,fault_applied_available,nll,1.6279435330616068,1436,0.00127699358402013
101,RO-CAGF,stuck_at,fault_applied_available,brier,0.6362080413646178,1436,0.00127699358402013
101,RO-CAGF,stuck_at,fault_applied_available,ece15,0.17908359844040408,1436,0.00127699358402013
101,RO-CAGF,stuck_at,assigned,accuracy,0.5365439093484419,1765,0.00127699358402013
101,RO-CAGF,stuck_at,assigned,macro_f1,0.5095584338182633,1765,0.00127699358402013
101,RO-CAGF,stuck_at,assigned,macro_auroc,0.8396739225389935,1765,0.00127699358402013
101,RO-CAGF,stuck_at,assigned,macro_auprc,0.6012502143370451,1765,0.00127699358402013
101,RO-CAGF,stuck_at,assigned,nll,1.6117733747467236,1765,0.00127699358402013
101,RO-CAGF,stuck_at,assigned,brier,0.6371281182932176,1765,0.00127699358402013
101,RO-CAGF,stuck_at,assigned,ece15,0.1805848431485908,1765,0.00127699358402013
101,RO-CAGF,stuck_at,unaffected,accuracy,0.5886879569065026,2599,0.00127699358402013
101,RO-CAGF,stuck_at,unaffected,macro_f1,0.5573154585602011,2599,0.00127699358402013
101,RO-CAGF,stuck_at,unaffected,macro_auroc,0.8552172808029216,2599,0.00127699358402013
