method,fault,metric,value
DWR,clipping,ece_15,0.21543962575194758
DWR,clipping,macro_auprc,0.5471215364040762
DWR,clipping,macro_auroc,0.817029683144663
DWR,clipping,macro_f1,0.4902644469832211
DWR,clipping,nll,1.7468887186007511
DWR,correlated_dual,accuracy,0.5120302474793766
DWR,correlated_dual,brier,0.716146700787166
DWR,correlated_dual,ece_15,0.2448903632590139
DWR,correlated_dual,macro_auprc,0.5235936212690955
DWR,correlated_dual,macro_auroc,0.8090181282412315
DWR,correlated_dual,macro_f1,0.4856308529359089
DWR,correlated_dual,nll,1.9651866563335496
DWR,gain_loss,accuracy,0.5178735105407883
DWR,gain_loss,brier,0.6705539952574077
DWR,gain_loss,ece_15,0.19413026245216997
DWR,gain_loss,macro_auprc,0.5527849849497218
DWR,gain_loss,macro_auroc,0.8198667851858504
DWR,gain_loss,macro_f1,0.5096345266599334
DWR,gain_loss,nll,1.6447214966214698
DWR,linear_drift,accuracy,0.5216544454628781
DWR,linear_drift,brier,0.7016012733039118
DWR,linear_drift,ece_15,0.2367149910315065
DWR,linear_drift,macro_auprc,0.5452113832658502
DWR,linear_drift,macro_auroc,0.8142476889451362
DWR,linear_drift,macro_f1,0.5041558496332008
DWR,linear_drift,nll,1.8602000815798276
DWR,natural,accuracy,0.5769477543538039
DWR,natural,brier,0.6056526820685146
DWR,natural,ece_15,0.18896329405860107
DWR,natural,macro_auprc,0.6302318895351441
DWR,natural,macro_auroc,0.8555461251979934
DWR,natural,macro_f1,0.5454867070723266
DWR,natural,nll,1.5503583632195947
DWR,offset,accuracy,0.509967919340055
DWR,offset,brier,0.7231921051935702
DWR,offset,ece_15,0.25151702918583485
DWR,offset,macro_auprc,0.5336033079703509
DWR,offset,macro_auroc,0.8070388563933021
DWR,offset,macro_f1,0.4921837294535332
DWR,offset,nll,1.9462754478161777
DWR,silent_gaussian,accuracy,0.5200504124656279
DWR,silent_gaussian,brier,0.6995440044629166
DWR,silent_gaussian,ece_15,0.23282549567964508
DWR,silent_gaussian,macro_auprc,0.5405660707598314
DWR,silent_gaussian,macro_auroc,0.81616678237804
DWR,silent_gaussian,macro_f1,0.49637319668260627
DWR,silent_gaussian,nll,1.8408993374554643
DWR,stuck_at,accuracy,0.4741292392300641
DWR,stuck_at,brier,0.7243726052193384
DWR,stuck_at,ece_15,0.23056507351288383
DWR,stuck_at,macro_auprc,0.520449726258789
DWR,stuck_at,macro_auroc,0.7949261526647067
DWR,stuck_at,macro_f1,0.4790283570140582
DWR,stuck_at,nll,1.7605247140754963
EF,clipping,accuracy,0.5671631530705774
EF,clipping,brier,0.6195408788842748
EF,clipping,ece_15,0.1884019311893079
EF,clipping,macro_auprc,0.6150176689868262
EF,clipping,macro_auroc,0.846837533671487
EF,clipping,macro_f1,0.5629503570097363
EF,clipping,nll,1.6196071476979506
EF,correlated_dual,accuracy,0.4913153070577452
EF,correlated_dual,brier,0.8155065573782361
EF,correlated_dual,ece_15,0.3203924411472435
EF,correlated_dual,macro_auprc,0.45937717672403855
EF,correlated_dual,macro_auroc,0.7650696302078441
EF,correlated_dual,macro_f1,0.4840101396390584
EF,correlated_dual,nll,3.1424137154348393
EF,gain_loss,accuracy,0.5737855178735105
EF,gain_loss,brier,0.6110818561271257
EF,gain_loss,ece_15,0.18183469156419646
EF,gain_loss,macro_auprc,0.6225055440317836
EF,gain_loss,macro_auroc,0.8491051960848373
EF,gain_loss,macro_f1,0.5730057722532373
EF,gain_loss,nll,1.5629820792004414
EF,linear_drift,accuracy,0.5561182401466545
EF,linear_drift,brier,0.685153762633959
EF,linear_drift,ece_15,0.24171498316885623
EF,linear_drift,macro_auprc,0.5942812651158438
EF,linear_drift,macro_auroc,0.8254489130792202
EF,linear_drift,macro_f1,0.5510136070364556
EF,linear_drift,nll,2.057510499114229
EF,natural,accuracy,0.6211044912923923
EF,natural,brier,0.5796484101280851
EF,natural,ece_15,0.20171474560849387
EF,natural,macro_auprc,0.6734038619454508
EF,natural,macro_auroc,0.8728120380340375
EF,natural,macro_f1,0.6073977154348322
EF,natural,nll,1.652974576031842
EF,offset,accuracy,0.513794683776352
EF,offset,brier,0.7736369124346102
EF,offset,ece_15,0.2967022426047394
EF,offset,macro_auprc,0.5476928274000861
EF,offset,macro_auroc,0.795254271073964
EF,offset,macro_f1,0.5108967272208272
EF,offset,nll,2.613259961703355
EF,silent_gaussian,accuracy,0.5107699358386801
EF,silent_gaussian,brier,0.7674898994147105
EF,silent_gaussian,ece_15,0.2901941412016681
EF,silent_gaussian,macro_auprc,0.4954243361230478
EF,silent_gaussian,macro_auroc,0.785854633341833
EF,silent_gaussian,macro_f1,0.50268203669534
EF,silent_gaussian,nll,2.712507032971164
EF,stuck_at,accuracy,0.559372135655362
EF,stuck_at,brier,0.6303382054878451
EF,stuck_at,ece_15,0.19045159973675344
EF,stuck_at,macro_auprc,0.6089517513372158
EF,stuck_at,macro_auroc,0.8419558074861196
EF,stuck_at,macro_f1,0.5601540931722455
EF,stuck_at,nll,1.6000748969884089
UF,clipping,accuracy,0.535724106324473
UF,clipping,brier,0.6528372229367297
UF,clipping,ece_15,0.212676692904954
UF,clipping,macro_auprc,0.5871428733575997
UF,clipping,macro_auroc,0.8407215001779307
UF,clipping,macro_f1,0.514639669206032
UF,clipping,nll,1.7126416510597984
UF,correlated_dual,accuracy,0.4821723189734189
UF,correlated_dual,brier,0.7989148614341024
UF,correlated_dual,ece_15,0.3097784213185665
UF,correlated_dual,macro_auprc,0.47758638893065647
UF,correlated_dual,macro_auroc,0.7747346093470804
UF,correlated_dual,macro_f1,0.4729166330907285
UF,correlated_dual,nll,2.9126169484562388
UF,gain_loss,accuracy,0.5527956003666361
UF,gain_loss,brier,0.6189568177883447
UF,gain_loss,ece_15,0.17981273744880166
UF,gain_loss,macro_auprc,0.6029739661307268
UF,gain_loss,macro_auroc,0.8475672706184977
UF,gain_loss,macro_f1,0.5452817429459159
UF,gain_loss,nll,1.5613062313639978
UF,linear_drift,accuracy,0.5275435380384967
UF,linear_drift,brier,0.6953525290482174
UF,linear_drift,ece_15,0.24241365305259888
UF,linear_drift,macro_auprc,0.5626671870088917
UF,linear_drift,macro_auroc,0.8180066057278464
UF,linear_drift,macro_f1,0.5276188142519792
UF,linear_drift,nll,2.031381998258722
UF,natural,accuracy,0.5977772685609533
UF,natural,brier,0.5448300140295836
UF,natural,ece_15,0.15305056162076075
UF,natural,macro_auprc,0.6743614065680757
UF,natural,macro_auroc,0.8794416735422411
UF,natural,macro_f1,0.5763109718726765
UF,natural,nll,1.3440852810362487
UF,offset,accuracy,0.48833638863428047
UF,offset,brier,0.7773976116634818
UF,offset,ece_15,0.2930342200334251
UF,offset,macro_auprc,0.5174332104401488
UF,offset,macro_auroc,0.7856590903391929
UF,offset,macro_f1,0.49405460083395913
UF,offset,nll,2.5811088287368094
UF,silent_gaussian,accuracy,0.5066681943171403
UF,silent_gaussian,brier,0.7387035075938234
UF,silent_gaussian,ece_15,0.270575510920815
UF,silent_gaussian,macro_auprc,0.5211196302945775
UF,silent_gaussian,macro_auroc,0.7979489839804979
UF,silent_gaussian,macro_f1,0.4944252595216258
UF,silent_gaussian,nll,2.438031172949296
UF,stuck_at,accuracy,0.536205316223648
UF,stuck_at,brier,0.642004549928963
UF,stuck_at,ece_15,0.189379548066655
UF,stuck_at,macro_auprc,0.5860189247644836
UF,stuck_at,macro_auroc,0.8370628773140236
UF,stuck_at,macro_f1,0.5322617531289351
UF,stuck_at,nll,1.6149704520912702
