method,seed,subset,metric,value
CAGF,106,affected,macro_auprc,0.5681631142815394
CAGF,106,affected,nll,1.6098698225928623
CAGF,106,affected,brier,0.6437158329855448
CAGF,106,affected,ece15,0.18271604102664224
CAGF,106,unaffected,accuracy,0.5875336667949211
CAGF,106,unaffected,macro_f1,0.5536261521427595
CAGF,106,unaffected,macro_auroc,0.8590374936469317
CAGF,106,unaffected,macro_auprc,0.6134697082552599
CAGF,106,unaffected,nll,1.3950308538599894
CAGF,106,unaffected,brier,0.5805917613440569
CAGF,106,unaffected,ece15,0.14797774630356125
CAGF,107,all,accuracy,0.4970210815765353
CAGF,107,all,macro_f1,0.4894724736165564
CAGF,107,all,macro_auroc,0.8145828983769366
CAGF,107,all,macro_auprc,0.5399962650488906
CAGF,107,all,nll,1.8285377065892097
CAGF,107,all,brier,0.7095019981087726
CAGF,107,all,ece15,0.25147318098383364
CAGF,107,affected,accuracy,0.43796033994334277
CAGF,107,affected,macro_f1,0.4330027234396321
CAGF,107,affected,macro_auroc,0.7874382163990217
CAGF,107,affected,macro_auprc,0.4982496597213399
CAGF,107,affected,nll,2.1583731469434513
CAGF,107,affected,brier,0.8037602829996637
CAGF,107,affected,ece15,0.3177104966667489
CAGF,107,unaffected,accuracy,0.5371296652558677
CAGF,107,unaffected,macro_f1,0.5212163678296188
CAGF,107,unaffected,macro_auroc,0.8370699950845651
CAGF,107,unaffected,macro_auprc,0.5821245808639516
CAGF,107,unaffected,nll,1.6045440350904656
CAGF,107,unaffected,brier,0.6454905041370823
CAGF,107,unaffected,ece15,0.2064908642455127
CAGF,108,all,accuracy,0.5568285976168652
CAGF,108,all,macro_f1,0.5266119373991179
CAGF,108,all,macro_auroc,0.8381059327209069
CAGF,108,all,macro_auprc,0.5633966166282437
CAGF,108,all,nll,1.6001810882429748
CAGF,108,all,brier,0.6399974672151183
CAGF,108,all,ece15,0.1844037278537407
CAGF,108,affected,accuracy,0.5138810198300283
CAGF,108,affected,macro_f1,0.4982084982973582
CAGF,108,affected,macro_auroc,0.8201935455733298
CAGF,108,affected,macro_auprc,0.5443104430047688
CAGF,108,affected,nll,1.7829790702986799
CAGF,108,affected,brier,0.7025434275264393
CAGF,108,affected,ece15,0.21946822740876304
CAGF,108,unaffected,accuracy,0.5859946133128127
CAGF,108,unaffected,macro_f1,0.5461712194146386
CAGF,108,unaffected,macro_auroc,0.8504683844710024
CAGF,108,unaffected,macro_auprc,0.5880267927801422
CAGF,108,unaffected,nll,1.4760416352501624
CAGF,108,unaffected,brier,0.5975220459186652
CAGF,108,unaffected,ece15,0.1605911172837558
CAGF,109,all,accuracy,0.5075618698441796
CAGF,109,all,macro_f1,0.492375045078675
CAGF,109,all,macro_auroc,0.8174099489760224
CAGF,109,all,macro_auprc,0.5445237284994263
CAGF,109,all,nll,1.4798766842954438
CAGF,109,all,brier,0.6495375562874163
CAGF,109,all,ece15,0.16224955883488318
CAGF,109,affected,accuracy,0.47195467422096316
CAGF,109,affected,macro_f1,0.4520400580461392
CAGF,109,affected,macro_auroc,0.7865373863388108
CAGF,109,affected,macro_auprc,0.49108503721293584
CAGF,109,affected,nll,1.7384120193664991
CAGF,109,affected,brier,0.7310447358748505
CAGF,109,affected,ece15,0.21837179660797118
CAGF,109,unaffected,accuracy,0.5317429780684879
CAGF,109,unaffected,macro_f1,0.5167106456035717
CAGF,109,unaffected,macro_auroc,0.8405063896657606
CAGF,109,unaffected,macro_auprc,0.592747371744271
CAGF,109,unaffected,nll,1.304303438277586
CAGF,109,unaffected,brier,0.5941854316349262
CAGF,109,unaffected,ece15,0.12542838767520645
CAGF,110,all,accuracy,0.5302474793767186
CAGF,110,all,macro_f1,0.5030294648425739
CAGF,110,all,macro_auroc,0.816464947739456
CAGF,110,all,macro_auprc,0.536626573283027
CAGF,110,all,nll,2.0702413179576538
CAGF,110,all,brier,0.7390790695460654
CAGF,110,all,ece15,0.28352338803964505
CAGF,110,affected,accuracy,0.5065155807365439
CAGF,110,affected,macro_f1,0.48968337931270534
CAGF,110,affected,macro_auroc,0.7989508846772483
CAGF,110,affected,macro_auprc,0.5191331289108057
CAGF,110,affected,nll,2.3263985060369095
CAGF,110,affected,brier,0.8009913230296883
CAGF,110,affected,ece15,0.31114203362559456
CAGF,110,unaffected,accuracy,0.5463639861485187
CAGF,110,unaffected,macro_f1,0.5113237048072728
CAGF,110,unaffected,macro_auroc,0.8289228447511873
CAGF,110,unaffected,macro_auprc,0.5578892239539367
CAGF,110,unaffected,nll,1.896283089038883
CAGF,110,unaffected,brier,0.6970340032134009
CAGF,110,unaffected,ece15,0.265229405514916
PDRF,101,all,accuracy,0.5492667277726856
PDRF,101,all,macro_f1,0.5305859262540402
PDRF,101,all,macro_auroc,0.8416870703650473
PDRF,101,all,macro_auprc,0.5884051116249603
PDRF,101,all,nll,2.077856552508911
PDRF,101,all,brier,0.7023699548944116
PDRF,101,all,ece15,0.2790263198165856
PDRF,101,affected,accuracy,0.48158640226628896
PDRF,101,affected,macro_f1,0.4685800229206705
PDRF,101,affected,macro_auroc,0.8011193696900073
PDRF,101,affected,macro_auprc,0.5124590478279335
PDRF,101,affected,nll,2.6010909141381053
PDRF,101,affected,brier,0.8200947505319799
PDRF,101,affected,ece15,0.34561913113080744
PDRF,101,unaffected,accuracy,0.5952289342054636
PDRF,101,unaffected,macro_f1,0.5678425090401407
PDRF,101,unaffected,macro_auroc,0.8708603525185681
PDRF,101,unaffected,macro_auprc,0.6523580323801133
PDRF,101,unaffected,nll,1.7225242522874697
PDRF,101,unaffected,brier,0.6224221810197257
PDRF,101,unaffected,ece15,0.23380266694139176
PDRF,102,all,accuracy,0.5428505957836847
PDRF,102,all,macro_f1,0.5260639552324508
PDRF,102,all,macro_auroc,0.8361296046606345
PDRF,102,all,macro_auprc,0.5874170341690244
PDRF,102,all,nll,2.240343977689405
PDRF,102,all,brier,0.6969871736778475
PDRF,102,all,ece15,0.27841783964393557
PDRF,102,affected,accuracy,0.4730878186968839
