method,aggregation,subset,macro_auroc,nll,ece,classwise_ece
RO-CAGF,probability mean,all,0.8510386231862305,1.3002234469295526,0.11576473131167067,0.0658892691878635
RO-CAGF,probability mean,affected,0.8367586614942181,1.4114947277450056,0.13637793259839578,0.07247353314917573
RO-CAGF,logit mean,all,0.8473642921368674,1.4872545321858792,0.19287050811519885,0.08191322003114149
RO-CAGF,logit mean,affected,0.8318996592152863,1.6530495972137393,0.22814150578854975,0.0924533857060168
RO-PDRF,probability mean,all,0.8512071882376128,1.7126299632904265,0.2257531124483455,0.08598497516283916
RO-PDRF,probability mean,affected,0.8185496639054509,2.019139326180513,0.2692108310743738,0.10028864891830767
RO-PDRF,logit mean,all,0.8477485294312598,2.03229364858307,0.2742384218061261,0.09985223299342534
RO-PDRF,logit mean,affected,0.8132867430725673,2.5160116499146854,0.3379508642805344,0.11988186831315585
