seed,method,n,delta_logvar,near_upper_bound,delta_weight
101,CRF,1378,26.39137840270996,0.9034833312034608,-0.1485605388879776
102,CRF,1406,5.862383842468262,0.8968705534934998,-0.124899722635746
103,CRF,1414,14.595133781433104,0.907355010509491,-0.1427591741085052
104,CRF,1382,14.90140438079834,0.9196816086769104,-0.1456917971372604
105,CRF,1417,20.89815902709961,0.9520112872123718,-0.1529222279787063
106,CRF,1374,14.036148071289062,0.864628791809082,-0.1795354187488556
107,CRF,1350,5.504702568054199,0.7222222089767456,-0.1458567529916763
108,CRF,1414,22.379039764404297,0.9264497756958008,-0.1276093423366546
109,CRF,1395,15.302796363830566,0.9189963936805724,-0.1242070645093917
110,CRF,1413,19.4624137878418,0.8846426010131836,-0.1556661278009414
101,BCRF,1378,3.660310029983521,0.8737300634384155,-0.1483914256095886
102,BCRF,1406,3.980793476104736,0.787339985370636,-0.1645309180021286
103,BCRF,1414,3.463461875915528,0.4137199521064758,-0.1529173851013183
104,BCRF,1382,4.230045795440674,0.7937771081924438,-0.172518715262413
105,BCRF,1417,3.8759071826934814,0.783345103263855,-0.1576196551322937
106,BCRF,1374,3.5527098178863525,0.6848617196083069,-0.148705318570137
107,BCRF,1350,4.08839750289917,0.872592568397522,-0.1643761694431305
108,BCRF,1414,4.276051044464111,0.9207921028137208,-0.17073854804039
109,BCRF,1395,3.8503923416137695,0.8444444537162781,-0.1572923809289932
110,BCRF,1413,4.082196235656738,0.7862703204154968,-0.1681391149759292
