seed,metric,difference
101,macro_auroc,0.011100306089245726
101,accuracy,0.012832263978001857
101,macro_f1,0.02579206720158478
101,macro_auprc,0.017740162078728416
101,nll,-0.36069299606011995
102,macro_auroc,0.02522911835520214
102,accuracy,0.03299725022914757
102,macro_f1,0.03167440691742801
102,macro_auprc,0.052297767911267945
102,nll,-0.4734204129030377
103,macro_auroc,0.030562852478440816
103,accuracy,0.049954170485792815
103,macro_f1,0.06568096816164765
103,macro_auprc,0.04157925066830803
103,nll,-1.254332679677767
104,macro_auroc,0.050849921640417906
104,accuracy,0.08340971585701185
104,macro_f1,0.09245604069650282
104,macro_auprc,0.09752622853665344
104,nll,-0.6477371870453024
105,macro_auroc,0.011874922432887569
105,accuracy,0.028414298808432603
105,macro_f1,0.041295505886966066
105,macro_auprc,0.03307284583281922
105,nll,0.49225368770331657
106,macro_auroc,-0.010493004557304064
106,accuracy,-0.021769019248395916
106,macro_f1,-0.00473839649290464
106,macro_auprc,-0.0027280434009497867
106,nll,-1.408168624035615
107,macro_auroc,0.01754686063924027
107,accuracy,0.046975252062328166
107,macro_f1,0.042772149521644376
107,macro_auprc,0.04322047322190303
107,nll,-0.3329270813558891
108,macro_auroc,0.0001792493357131164
108,accuracy,0.01741521539871682
108,macro_f1,0.028296139267225406
108,macro_auprc,0.021683263320727453
108,nll,-0.7475997054363874
109,macro_auroc,0.02218240034299246
109,accuracy,0.06599450045829514
109,macro_f1,0.06433356208751173
109,macro_auprc,0.045067624482174606
109,nll,-1.2334942661915131
110,macro_auroc,0.0080446554239344
110,accuracy,0.02383134738771775
110,macro_f1,0.03003690206482934
110,macro_auprc,0.023907905080239766
110,nll,-0.4318090286389946
