dataset,subset,metric,environment,contrast,n,mean_difference,ci_low,ci_high,wins,losses,wilcoxon_p,noninferiority_margin,descriptive_noninferiority_met
chemical,affected,macro_auroc,type:silent_gaussian,RO-PDRF - RO-CAGF,10,0.0073459169385454385,-0.004217564491314604,0.017777812162896173,7,3,0.322265625,-0.01,True
hydraulic,affected,macro_auroc,all_environments,RO-PDRF - RO-CAGF,8,0.04386060867614922,0.016460532416185163,0.06820094672486082,7,1,0.0390625,-0.01,True
