method,setting,clean_auroc,clean_auroc_sd,seeds,affected_auroc,affected_auroc_sd,affected_nll,affected_nll_sd,affected_ece,affected_ece_sd,train_seconds
QMF-PD-current,Previous adaptation,0.8404131135664483,0.007639241970189693,5,0.7416708731427178,0.023086134942502588,3.728109818646631,0.9176222966287838,0.3907526475089805,0.05957810931180281,13.465689479996218
QMF-PD-scale003,Confidence scale 0.03,0.8464979139984476,0.005645182262897423,5,0.7616938372714344,0.015664833993520432,2.9828978412320986,0.5755444644303508,0.33579997127353295,0.044746298621511124,21.369782459997804
QMF-PD-scale030,Confidence scale 0.30,0.8445061397077082,0.006992849086568404,5,0.7484926160243907,0.026789868087666032,3.5301966887016185,0.9946758492207776,0.3737413573045568,0.07066826686767275,11.739043419994413
QMF-PD-normalized,Normalized fusion,0.8444881407508273,0.006340364811295022,5,0.7572111527682419,0.021621801113049795,3.000263430287377,0.5785005168260567,0.36674024192030635,0.04271338493934559,13.94548942000838
QMF-PD-rank0,Ranking weight 0,0.8399586549382787,0.007516181323984641,5,0.7416853281505338,0.023378896909991603,3.73757311945279,0.9321486015583015,0.3905430878238705,0.060109448642381304,13.70994455999462
QMF-PD-rank1,Ranking weight 1,0.8449396423136912,0.0028673387899823145,5,0.7439504823163896,0.02265197348414413,3.454345535343337,0.6871806821915178,0.3746188760327212,0.04668099898867609,13.843449239991605
QMF-PD-faithful,Official-rule-aligned adaptation,0.8449130153305309,0.007125143999388661,10,0.7751565483229904,0.01955264729675504,2.514190333237896,0.4587634246698779,0.28700918979668416,0.046064503695325575,15.991947100000107
