seed,training,test_q,metric,value
101,PDRF_NOQ,reported,macro_f1,0.5045064004400578
101,PDRF_NOQ,reported,macro_auroc,0.8054031054167412
101,PDRF_NOQ,reported,macro_auprc,0.52294585097449
101,PDRF_NOQ,reported,nll,1.9152860602474966
101,PDRF_NOQ,reported,class_1_precision,0.6463654223968566
101,PDRF_NOQ,reported,class_1_recall,0.4761215629522431
101,PDRF_NOQ,reported,class_1_f1,0.5483333333333333
101,PDRF_NOQ,reported,class_1_auroc,0.8274308197300045
101,PDRF_NOQ,reported,class_1_auprc,0.5057530207812329
101,PDRF_NOQ,reported,class_2_precision,0.7422867513611615
101,PDRF_NOQ,reported,class_2_recall,0.5970802919708029
101,PDRF_NOQ,reported,class_2_f1,0.6618122977346278
101,PDRF_NOQ,reported,class_2_auroc,0.8558149132083258
101,PDRF_NOQ,reported,class_2_auprc,0.6655541098906194
101,PDRF_NOQ,reported,class_3_precision,0.6789473684210526
101,PDRF_NOQ,reported,class_3_recall,0.6972972972972973
101,PDRF_NOQ,reported,class_3_f1,0.688
101,PDRF_NOQ,reported,class_3_auroc,0.8783105124992541
101,PDRF_NOQ,reported,class_3_auprc,0.7798457874455162
101,PDRF_NOQ,reported,class_4_precision,0.2811594202898551
101,PDRF_NOQ,reported,class_4_recall,0.1370056497175141
101,PDRF_NOQ,reported,class_4_f1,0.1842355175688509
101,PDRF_NOQ,reported,class_4_auroc,0.703814022920298
101,PDRF_NOQ,reported,class_4_auprc,0.24835510745714437
101,PDRF_NOQ,reported,class_5_precision,0.5375796178343949
101,PDRF_NOQ,reported,class_5_recall,0.5140073081607796
101,PDRF_NOQ,reported,class_5_f1,0.5255292652552926
101,PDRF_NOQ,reported,class_5_auroc,0.7919484406472352
101,PDRF_NOQ,reported,class_5_auprc,0.583012630746872
101,PDRF_NOQ,reported,class_6_precision,0.3161244695898161
101,PDRF_NOQ,reported,class_6_recall,0.6216968011126565
101,PDRF_NOQ,reported,class_6_f1,0.4191279887482419
101,PDRF_NOQ,reported,class_6_auroc,0.7750999234953286
101,PDRF_NOQ,reported,class_6_auprc,0.3551544495255551
101,PDRF_NOQ,shuffled,accuracy,0.5087076076993584
101,PDRF_NOQ,shuffled,macro_f1,0.5045064004400578
101,PDRF_NOQ,shuffled,macro_auroc,0.8054031054167412
101,PDRF_NOQ,shuffled,macro_auprc,0.52294585097449
101,PDRF_NOQ,shuffled,nll,1.9152860602474966
101,PDRF_NOQ,shuffled,class_1_precision,0.6463654223968566
101,PDRF_NOQ,shuffled,class_1_recall,0.4761215629522431
101,PDRF_NOQ,shuffled,class_1_f1,0.5483333333333333
101,PDRF_NOQ,shuffled,class_1_auroc,0.8274308197300045
101,PDRF_NOQ,shuffled,class_1_auprc,0.5057530207812329
101,PDRF_NOQ,shuffled,class_2_precision,0.7422867513611615
101,PDRF_NOQ,shuffled,class_2_recall,0.5970802919708029
101,PDRF_NOQ,shuffled,class_2_f1,0.6618122977346278
101,PDRF_NOQ,shuffled,class_2_auroc,0.8558149132083258
101,PDRF_NOQ,shuffled,class_2_auprc,0.6655541098906194
101,PDRF_NOQ,shuffled,class_3_precision,0.6789473684210526
101,PDRF_NOQ,shuffled,class_3_recall,0.6972972972972973
101,PDRF_NOQ,shuffled,class_3_f1,0.688
101,PDRF_NOQ,shuffled,class_3_auroc,0.8783105124992541
101,PDRF_NOQ,shuffled,class_3_auprc,0.7798457874455162
101,PDRF_NOQ,shuffled,class_4_precision,0.2811594202898551
101,PDRF_NOQ,shuffled,class_4_recall,0.1370056497175141
101,PDRF_NOQ,shuffled,class_4_f1,0.1842355175688509
101,PDRF_NOQ,shuffled,class_4_auroc,0.703814022920298
101,PDRF_NOQ,shuffled,class_4_auprc,0.24835510745714437
101,PDRF_NOQ,shuffled,class_5_precision,0.5375796178343949
101,PDRF_NOQ,shuffled,class_5_recall,0.5140073081607796
101,PDRF_NOQ,shuffled,class_5_f1,0.5255292652552926
101,PDRF_NOQ,shuffled,class_5_auroc,0.7919484406472352
101,PDRF_NOQ,shuffled,class_5_auprc,0.583012630746872
101,PDRF_NOQ,shuffled,class_6_precision,0.3161244695898161
101,PDRF_NOQ,shuffled,class_6_recall,0.6216968011126565
101,PDRF_NOQ,shuffled,class_6_f1,0.4191279887482419
101,PDRF_NOQ,shuffled,class_6_auroc,0.7750999234953286
101,PDRF_NOQ,shuffled,class_6_auprc,0.3551544495255551
101,PDRF_NOQ,misleading,accuracy,0.5087076076993584
101,PDRF_NOQ,misleading,macro_f1,0.5045064004400578
101,PDRF_NOQ,misleading,macro_auroc,0.8054031054167412
101,PDRF_NOQ,misleading,macro_auprc,0.52294585097449
101,PDRF_NOQ,misleading,nll,1.9152860602474966
101,PDRF_NOQ,misleading,class_1_precision,0.6463654223968566
101,PDRF_NOQ,misleading,class_1_recall,0.4761215629522431
101,PDRF_NOQ,misleading,class_1_f1,0.5483333333333333
101,PDRF_NOQ,misleading,class_1_auroc,0.8274308197300045
101,PDRF_NOQ,misleading,class_1_auprc,0.5057530207812329
101,PDRF_NOQ,misleading,class_2_precision,0.7422867513611615
101,PDRF_NOQ,misleading,class_2_recall,0.5970802919708029
101,PDRF_NOQ,misleading,class_2_f1,0.6618122977346278
101,PDRF_NOQ,misleading,class_2_auroc,0.8558149132083258
101,PDRF_NOQ,misleading,class_2_auprc,0.6655541098906194
101,PDRF_NOQ,misleading,class_3_precision,0.6789473684210526
101,PDRF_NOQ,misleading,class_3_recall,0.6972972972972973
101,PDRF_NOQ,misleading,class_3_f1,0.688
101,PDRF_NOQ,misleading,class_3_auroc,0.8783105124992541
101,PDRF_NOQ,misleading,class_3_auprc,0.7798457874455162
101,PDRF_NOQ,misleading,class_4_precision,0.2811594202898551
101,PDRF_NOQ,misleading,class_4_recall,0.1370056497175141
101,PDRF_NOQ,misleading,class_4_f1,0.1842355175688509
101,PDRF_NOQ,misleading,class_4_auroc,0.703814022920298
101,PDRF_NOQ,misleading,class_4_auprc,0.24835510745714437
101,PDRF_NOQ,misleading,class_5_precision,0.5375796178343949
101,PDRF_NOQ,misleading,class_5_recall,0.5140073081607796
101,PDRF_NOQ,misleading,class_5_f1,0.5255292652552926
101,PDRF_NOQ,misleading,class_5_auroc,0.7919484406472352
101,PDRF_NOQ,misleading,class_5_auprc,0.583012630746872
101,PDRF_NOQ,misleading,class_6_precision,0.3161244695898161
101,PDRF_NOQ,misleading,class_6_recall,0.6216968011126565
101,PDRF_NOQ,misleading,class_6_f1,0.4191279887482419
101,PDRF_NOQ,misleading,class_6_auroc,0.7750999234953286
101,PDRF_NOQ,misleading,class_6_auprc,0.3551544495255551
101,PDRF_NOQ,missing_q,accuracy,0.5087076076993584
101,PDRF_NOQ,missing_q,macro_f1,0.5045064004400578
101,PDRF_NOQ,missing_q,macro_auroc,0.8054031054167412
101,PDRF_NOQ,missing_q,macro_auprc,0.52294585097449
101,PDRF_NOQ,missing_q,nll,1.9152860602474966
101,PDRF_NOQ,missing_q,class_1_precision,0.6463654223968566
101,PDRF_NOQ,missing_q,class_1_recall,0.4761215629522431
101,PDRF_NOQ,missing_q,class_1_f1,0.5483333333333333
101,PDRF_NOQ,missing_q,class_1_auroc,0.8274308197300045
101,PDRF_NOQ,missing_q,class_1_auprc,0.5057530207812329
101,PDRF_NOQ,missing_q,class_2_precision,0.7422867513611615
101,PDRF_NOQ,missing_q,class_2_recall,0.5970802919708029
101,PDRF_NOQ,missing_q,class_2_f1,0.6618122977346278
101,PDRF_NOQ,missing_q,class_2_auroc,0.8558149132083258
101,PDRF_NOQ,missing_q,class_2_auprc,0.6655541098906194
101,PDRF_NOQ,missing_q,class_3_precision,0.6789473684210526
101,PDRF_NOQ,missing_q,class_3_recall,0.6972972972972973
101,PDRF_NOQ,missing_q,class_3_f1,0.688
101,PDRF_NOQ,missing_q,class_3_auroc,0.8783105124992541
101,PDRF_NOQ,missing_q,class_3_auprc,0.7798457874455162
101,PDRF_NOQ,missing_q,class_4_precision,0.2811594202898551
101,PDRF_NOQ,missing_q,class_4_recall,0.1370056497175141
101,PDRF_NOQ,missing_q,class_4_f1,0.1842355175688509
101,PDRF_NOQ,missing_q,class_4_auroc,0.703814022920298
101,PDRF_NOQ,missing_q,class_4_auprc,0.24835510745714437
101,PDRF_NOQ,missing_q,class_5_precision,0.5375796178343949
101,PDRF_NOQ,missing_q,class_5_recall,0.5140073081607796
101,PDRF_NOQ,missing_q,class_5_f1,0.5255292652552926
101,PDRF_NOQ,missing_q,class_5_auroc,0.7919484406472352
101,PDRF_NOQ,missing_q,class_5_auprc,0.583012630746872
101,PDRF_NOQ,missing_q,class_6_precision,0.3161244695898161
101,PDRF_NOQ,missing_q,class_6_recall,0.6216968011126565
101,PDRF_NOQ,missing_q,class_6_f1,0.4191279887482419
101,PDRF_NOQ,missing_q,class_6_auroc,0.7750999234953286
101,PDRF_NOQ,missing_q,class_6_auprc,0.3551544495255551
