seed,training,test_q,metric,value
101,PDRF,shuffled,class_6_auprc,0.3487813671215049
101,PDRF,misleading,accuracy,0.47296058661778184
101,PDRF,misleading,macro_f1,0.46892944371017625
101,PDRF,misleading,macro_auroc,0.7567799359628874
101,PDRF,misleading,macro_auprc,0.44452408748718675
101,PDRF,misleading,nll,2.8272760146181244
101,PDRF,misleading,class_1_precision,0.5315315315315315
101,PDRF,misleading,class_1_recall,0.426917510853835
101,PDRF,misleading,class_1_f1,0.47351524879614765
101,PDRF,misleading,class_1_auroc,0.7589879288885177
101,PDRF,misleading,class_1_auprc,0.40950352756308106
101,PDRF,misleading,class_2_precision,0.630114566284779
101,PDRF,misleading,class_2_recall,0.5620437956204379
101,PDRF,misleading,class_2_f1,0.5941358024691358
101,PDRF,misleading,class_2_auroc,0.7998726248603735
101,PDRF,misleading,class_2_auprc,0.5219015430765397
101,PDRF,misleading,class_3_precision,0.6696035242290749
101,PDRF,misleading,class_3_recall,0.6162162162162163
101,PDRF,misleading,class_3_f1,0.6418015482054891
101,PDRF,misleading,class_3_auroc,0.8195815434639938
101,PDRF,misleading,class_3_auprc,0.6645423350153159
101,PDRF,misleading,class_4_precision,0.2460136674259681
101,PDRF,misleading,class_4_recall,0.15254237288135594
101,PDRF,misleading,class_4_f1,0.18831734960767219
101,PDRF,misleading,class_4_auroc,0.6593893329130043
101,PDRF,misleading,class_4_auprc,0.2270740541053723
101,PDRF,misleading,class_5_precision,0.5078787878787879
101,PDRF,misleading,class_5_recall,0.510353227771011
101,PDRF,misleading,class_5_f1,0.5091130012150669
101,PDRF,misleading,class_5_auroc,0.7702209465543043
101,PDRF,misleading,class_5_auprc,0.5071536056341589
101,PDRF,misleading,class_6_precision,0.3200319233838787
101,PDRF,misleading,class_6_recall,0.5577190542420027
101,PDRF,misleading,class_6_f1,0.4066937119675456
101,PDRF,misleading,class_6_auroc,0.7326272390971303
101,PDRF,misleading,class_6_auprc,0.3369694595286526
101,PDRF,missing_q,accuracy,0.5132905591200734
101,PDRF,missing_q,macro_f1,0.5102082485279807
101,PDRF,missing_q,macro_auroc,0.8052650138794045
101,PDRF,missing_q,macro_auprc,0.5233382453498949
101,PDRF,missing_q,nll,1.964992288584532
101,PDRF,missing_q,class_1_precision,0.6337760910815939
101,PDRF,missing_q,class_1_recall,0.4833574529667149
101,PDRF,missing_q,class_1_f1,0.548440065681445
101,PDRF,missing_q,class_1_auroc,0.8210207628475956
101,PDRF,missing_q,class_1_auprc,0.500603885784989
101,PDRF,missing_q,class_2_precision,0.7438162544169611
101,PDRF,missing_q,class_2_recall,0.6145985401459854
101,PDRF,missing_q,class_2_f1,0.6730615507593924
101,PDRF,missing_q,class_2_auroc,0.8574938048462074
101,PDRF,missing_q,class_2_auprc,0.6725543102554229
101,PDRF,missing_q,class_3_precision,0.6968876860622463
101,PDRF,missing_q,class_3_recall,0.6959459459459459
101,PDRF,missing_q,class_3_f1,0.6964164976335362
101,PDRF,missing_q,class_3_auroc,0.8779495555157807
101,PDRF,missing_q,class_3_auprc,0.7817823364088522
101,PDRF,missing_q,class_4_precision,0.2796833773087071
101,PDRF,missing_q,class_4_recall,0.1497175141242938
101,PDRF,missing_q,class_4_f1,0.19503219871205152
101,PDRF,missing_q,class_4_auroc,0.7078693487371583
101,PDRF,missing_q,class_4_auprc,0.25167507566065506
101,PDRF,missing_q,class_5_precision,0.5303398058252428
101,PDRF,missing_q,class_5_recall,0.5322777101096224
101,PDRF,missing_q,class_5_f1,0.5313069908814589
101,PDRF,missing_q,class_5_auroc,0.7916888837092095
101,PDRF,missing_q,class_5_auprc,0.5749480600815118
101,PDRF,missing_q,class_6_precision,0.32129420617005267
101,PDRF,missing_q,class_6_recall,0.5938803894297635
101,PDRF,missing_q,class_6_f1,0.4169921875
101,PDRF,missing_q,class_6_auroc,0.7755677276204758
101,PDRF,missing_q,class_6_auprc,0.3584658039079388
101,PDRF_NOQ,silent,accuracy,0.5087076076993584
101,PDRF_NOQ,silent,macro_f1,0.5045064004400578
101,PDRF_NOQ,silent,macro_auroc,0.8054031054167412
101,PDRF_NOQ,silent,macro_auprc,0.52294585097449
101,PDRF_NOQ,silent,nll,1.9152860602474966
