method,macro_auroc,macro_auroc_sd,seeds,nll,nll_sd,brier,brier_sd,ece15,ece15_sd,parameters,train_seconds,train_seconds_sd,inference_ms
RO-CAGF,0.7969347900764326,0.021699409060373213,10,2.070682379128601,0.29629643168448366,0.7699519160534106,0.05567106340704966,0.2745369795049216,0.0473677453632534,26588.0,14.097588250003174,2.981706894296549,0.00195263748819163
RO-PDRF-Lite,0.8023150010083662,0.008292039493946751,10,2.717401550656679,0.3476487324825636,0.809499627250017,0.03531473343664974,0.3416030871446004,0.03237477129783942,19740.0,9.163449040002888,2.7033108276966904,0.0008411205320191199
RO-PDRF-Full,0.8042807070149781,0.009359312276635666,10,2.65029186286093,0.33914736993229644,0.8090224759029458,0.03153468369480553,0.3422019377443675,0.026697856123598228,19740.0,22.666738400000032,5.639640202300172,0.0019771035739139403
RO-AT-GATE,0.7841199768460659,0.028686905384179305,10,1.8260625967453965,0.347461417129558,0.7356331004125154,0.061261438221770166,0.21023135770734913,0.07066794210264413,26809.0,10.929234179999913,3.616354744494916,0.00179425756197109
RO-PDRF-EMA,0.8058740851403471,0.008981240092108954,10,2.413437273039747,0.23051923877418884,0.792224671574408,0.02523679243971673,0.3214927646289804,0.021156453870794293,19740.0,23.840224389993818,4.700714088148223,0.00171455316231466
QMF-PD,0.7751565483229904,0.01955264729675504,10,2.514190333237896,0.4587634246698779,0.7916014499881442,0.056317458323383876,0.28700918979668416,0.046064503695325575,17560.0,15.991947100000107,3.5156677418423197,0.0009893194334971598
RO-PDRF-CEG,0.8061936510940777,0.009816400802886788,10,2.5915490679535935,0.326079869497485,0.8011389324353855,0.030079623273932134,0.3362170091786398,0.027471522215329225,19740.0,21.978419960002064,6.146915406411468,0.0017575893665445097
RO-PDRF-CRA,0.8029237445907988,0.01080622747306928,10,2.730225545912515,0.28770931345758854,0.8188092789566976,0.035906908787562065,0.34872721005262797,0.025209183874900006,19740.0,17.574705639999593,5.189192574328512,0.00136533226254119
RO-PDRF-ECA,0.8048708574247432,0.010386222908258623,10,2.4935368891805436,0.24109439724568588,0.8038628613990205,0.02571618117990181,0.3321834140230846,0.021377554779083756,19740.0,19.32800316999492,5.165673470886819,0.00136635426248782
