method,metric,mean,std,count
CAGF,accuracy,0.9522967147023124,0.04149126713645315,15
CAGF,balanced_accuracy,0.874779021599669,0.1530766137730988,15
CAGF,class_1_auprc,0.9761163090319188,0.046352804575224574,15
CAGF,class_1_auroc,0.9187883053715543,0.14086153734505014,15
CAGF,class_1_f1,0.9738314136942773,0.022843996766528853,15
CAGF,class_1_precision,0.9680786260626227,0.04723991932211571,15
CAGF,class_1_recall,0.981326448776875,0.019582739808895508,15
CAGF,class_2_auprc,0.8117946186789635,0.1891214661132571,15
CAGF,class_2_auroc,0.919614445913742,0.139270806964263,15
CAGF,class_2_f1,0.7170068759690736,0.2233283331867725,15
CAGF,class_2_precision,0.7875108132912151,0.1546632699198119,15
CAGF,class_2_recall,0.7682315944224629,0.3127944106529403,15
CAGF,inference_seconds,0.04753349333283647,0.02007329458831997,15
CAGF,macro_auprc,0.8939554638554412,0.1151611069722493,15
CAGF,macro_auroc,0.9192013756426481,0.14006219037105339,15
CAGF,macro_f1,0.8454191448316755,0.12284309125766395,15
CAGF,mean_temperature_group_weight_on_faults,0.1916658070869744,0.207036262087379,15
CAGF,native_sensor_fault_recall,0.7682315944224629,0.3127944106529403,15
CAGF,nll,0.2834700549573583,0.3463053612421649,15
CAGF,train_seconds,26.83251739333306,4.6982354517869105,15
EF-PD,accuracy,0.9505987077367507,0.04820538123806269,15
EF-PD,balanced_accuracy,0.8652744447569203,0.1645520952640891,15
EF-PD,class_1_auprc,0.9990319996984738,0.0011498861460632372,15
EF-PD,class_1_auroc,0.9922534213822338,0.007357953836060335,15
EF-PD,class_1_f1,0.9727761117103493,0.0267327923131279,15
EF-PD,class_1_precision,0.9641268918343697,0.05037254670116431,15
EF-PD,class_1_recall,0.9832671575351583,0.021177875736199038,15
EF-PD,class_2_auprc,0.8990468621249195,0.0838093711704669,15
EF-PD,class_2_auroc,0.9922534055658806,0.007357939676775717,15
EF-PD,class_2_f1,0.7240286597470345,0.23755958414843362,15
EF-PD,class_2_precision,0.8048511416623222,0.1389392712528395,15
EF-PD,class_2_recall,0.7472817319786824,0.3321742083402597,15
EF-PD,inference_seconds,0.019775879997177982,0.011428493484871958,15
EF-PD,macro_auprc,0.9490394309116966,0.04240742708352996,15
EF-PD,macro_auroc,0.9922534134740572,0.007357946756215995,15
EF-PD,macro_f1,0.8484023857286919,0.13210144742052535,15
EF-PD,mean_temperature_group_weight_on_faults,0.0,0.0,15
EF-PD,native_sensor_fault_recall,0.7472817319786824,0.3321742083402597,15
EF-PD,nll,0.15185994166567404,0.1548060651812734,15
EF-PD,train_seconds,11.483615806666785,2.177445773078512,15
ENT-PD,accuracy,0.8893480595834296,0.0918542506715191,15
ENT-PD,balanced_accuracy,0.7258706654216439,0.21506881126865157,15
ENT-PD,class_1_auprc,0.9156149737968609,0.1202358631320175,15
ENT-PD,class_1_auroc,0.7230835433901731,0.3557344308912213,15
ENT-PD,class_1_f1,0.9381895551312767,0.05404246400250467,15
ENT-PD,class_1_precision,0.9386229383322552,0.06827735694888575,15
ENT-PD,class_1_recall,0.9389526051492935,0.047548327370960174,15
ENT-PD,class_2_auprc,0.48869203797912447,0.3145474394678987,15
ENT-PD,class_2_auroc,0.7230822793177701,0.35573606346059033,15
ENT-PD,class_2_f1,0.3929251618774794,0.2814848484300188,15
ENT-PD,class_2_precision,0.3287434563684629,0.22527428497689114,15
ENT-PD,class_2_recall,0.5127887256939945,0.39895202067919805,15
ENT-PD,inference_seconds,0.040075660000244775,0.016586428901272172,15
ENT-PD,macro_auprc,0.7021535058879926,0.21469519598838002,15
ENT-PD,macro_auroc,0.7230829113539716,0.35573524717015204,15
ENT-PD,macro_f1,0.665557358504378,0.16611474421242772,15
ENT-PD,mean_temperature_group_weight_on_faults,0.24752115805943806,0.08329231148257271,15
ENT-PD,native_sensor_fault_recall,0.5127887256939945,0.39895202067919805,15
ENT-PD,nll,0.5083718525846762,0.5462220218711302,15
ENT-PD,train_seconds,24.459753626664558,4.420147157145126,15
PDRF-NOQ,accuracy,0.8598776390800196,0.10425136402315148,15
PDRF-NOQ,balanced_accuracy,0.6971648418009818,0.20734342397134028,15
PDRF-NOQ,class_1_auprc,0.9169734690971366,0.11489804307044259,15
PDRF-NOQ,class_1_auroc,0.7230454392002856,0.3108145648672863,15
PDRF-NOQ,class_1_f1,0.9197859411115166,0.06349539858312309,15
PDRF-NOQ,class_1_precision,0.9352444788846468,0.0666011529625959,15
PDRF-NOQ,class_1_recall,0.9050371836373262,0.06192186813520204,15
PDRF-NOQ,class_2_auprc,0.356891756033601,0.21535957582772935,15
PDRF-NOQ,class_2_auroc,0.7230467079103556,0.3108152406076108,15
PDRF-NOQ,class_2_f1,0.3417086181554164,0.20701788503312737,15
PDRF-NOQ,class_2_precision,0.2711743582604017,0.14617532263340166,15
PDRF-NOQ,class_2_recall,0.48929249996463753,0.3630745977180072,15
PDRF-NOQ,inference_seconds,0.038447086665352494,0.01538884162524756,15
PDRF-NOQ,macro_auprc,0.6369326125653688,0.16062337164957058,15
PDRF-NOQ,macro_auroc,0.7230460735553206,0.31081490272794265,15
PDRF-NOQ,macro_f1,0.6307472796334666,0.13413947532582177,15
PDRF-NOQ,mean_temperature_group_weight_on_faults,0.3502674996852875,0.07776779595970651,15
PDRF-NOQ,native_sensor_fault_recall,0.48929249996463753,0.3630745977180072,15
PDRF-NOQ,nll,0.4580387222543234,0.3441523539955898,15
PDRF-NOQ,train_seconds,30.85192448000016,3.1667058170662035,15
RC-PDRF-NOQ,accuracy,0.8773715783401835,0.09336765764399486,15
RC-PDRF-NOQ,balanced_accuracy,0.7022090660504269,0.20310060264850838,15
RC-PDRF-NOQ,class_1_auprc,0.9169193991439162,0.11524570974942148,15
RC-PDRF-NOQ,class_1_auroc,0.7232045102076913,0.3138623717881768,15
RC-PDRF-NOQ,class_1_f1,0.9309245064313915,0.055275617277503054,15
RC-PDRF-NOQ,class_1_precision,0.9364168889083943,0.06467555279298053,15
RC-PDRF-NOQ,class_1_recall,0.925792241672858,0.047353609375658266,15
RC-PDRF-NOQ,class_2_auprc,0.3698465336934574,0.2192529764850961,15
RC-PDRF-NOQ,class_2_auroc,0.7232044985522109,0.31386238844652037,15
RC-PDRF-NOQ,class_2_f1,0.36417382080063526,0.228009859440212,15
RC-PDRF-NOQ,class_2_precision,0.3067546886648423,0.16704635507071722,15
RC-PDRF-NOQ,class_2_recall,0.4786258904279957,0.367106998059595,15
RC-PDRF-NOQ,inference_seconds,0.03840579999766002,0.015768807378568412,15
RC-PDRF-NOQ,macro_auprc,0.6433829664186868,0.1637052855395695,15
RC-PDRF-NOQ,macro_auroc,0.7232045043799512,0.31386238011734824,15
RC-PDRF-NOQ,macro_f1,0.6475491636160133,0.1408044593593104,15
RC-PDRF-NOQ,mean_temperature_group_weight_on_faults,0.3481466273466746,0.0759411410809538,15
RC-PDRF-NOQ,native_sensor_fault_recall,0.4786258904279957,0.367106998059595,15
RC-PDRF-NOQ,nll,0.44799255160710694,0.36171785288289005,15
RC-PDRF-NOQ,train_seconds,35.27605249333331,2.8381715754085106,15
UF-PD,accuracy,0.8945213850963696,0.08625846201790331,15
UF-PD,balanced_accuracy,0.7315672622932335,0.2106664265061754,15
UF-PD,class_1_auprc,0.9228888150738147,0.11067248748242978,15
UF-PD,class_1_auroc,0.7577020737623671,0.31588579232817365,15
UF-PD,class_1_f1,0.9414079641433547,0.04954805338305278,15
UF-PD,class_1_precision,0.9398421201246402,0.06679954090548798,15
UF-PD,class_1_recall,0.9437082452235939,0.033109494289790396,15
UF-PD,class_2_auprc,0.5059915912958967,0.31595042444895804,15
UF-PD,class_2_auroc,0.7577020325021527,0.3158858360131357,15
UF-PD,class_2_f1,0.4131315144371384,0.28142540136697436,15
UF-PD,class_2_precision,0.35594061636268104,0.2301129542302508,15
UF-PD,class_2_recall,0.5194262793628729,0.3921797445177386,15
UF-PD,inference_seconds,0.033700020000105725,0.014224237888445766,15
UF-PD,macro_auprc,0.7144402031848556,0.21088727389632084,15
UF-PD,macro_auroc,0.7577020531322599,0.31588581417064104,15
UF-PD,macro_f1,0.6772697392902465,0.16528908654012803,15
UF-PD,mean_temperature_group_weight_on_faults,0.3534308572610219,0.06817031885860608,15
UF-PD,native_sensor_fault_recall,0.5194262793628729,0.3921797445177386,15
UF-PD,nll,0.40830523898306065,0.4189487525370894,15
UF-PD,train_seconds,18.750145293331784,3.3915120406789274,15
