seed,model,regime,metric,value
11,GF,noise_shift,coverage_80_risk,0.24541666666666662
11,GF,outlier_shift,auroc,0.7378395822331748
11,GF,outlier_shift,auprc,0.6990278051237271
11,GF,outlier_shift,nll,0.6515321233560664
11,GF,outlier_shift,brier,0.21394939145410066
11,GF,outlier_shift,ece,0.07036780881881713
11,GF,outlier_shift,aurc,0.22366626984126986
11,GF,outlier_shift,mean_uncertainty,0.25170332193374634
11,GF,outlier_shift,coverage_80_risk,0.2795833333333333
11,GF,silent_failure,auroc,0.7500048905929889
11,GF,silent_failure,auprc,0.7534146466753867
11,GF,silent_failure,nll,0.6224801946964595
11,GF,silent_failure,brier,0.21014928147577705
11,GF,silent_failure,ece,0.07394857132434846
11,GF,silent_failure,aurc,0.2097190476190476
11,GF,silent_failure,mean_uncertainty,0.24654501676559448
11,GF,silent_failure,coverage_80_risk,0.2825
11,QWF,ID_missing,auroc,0.7941374231557377
11,QWF,ID_missing,auprc,0.7956906218341613
11,QWF,ID_missing,nll,0.5482548688085648
11,QWF,ID_missing,brier,0.1850522259064953
11,QWF,ID_missing,ece,0.015038430919249854
11,QWF,ID_missing,aurc,0.15970410052910056
11,QWF,ID_missing,mean_uncertainty,0.27547913789749146
11,QWF,ID_missing,coverage_80_risk,0.23958333333333337
11,QWF,noise_shift,auroc,0.7947525676937441
11,QWF,noise_shift,auprc,0.7791750325208244
11,QWF,noise_shift,nll,0.5504141500812078
11,QWF,noise_shift,brier,0.18534399183738542
11,QWF,noise_shift,ece,0.02769468836734692
11,QWF,noise_shift,aurc,0.16182460317460318
11,QWF,noise_shift,mean_uncertainty,0.28346267342567444
11,QWF,noise_shift,coverage_80_risk,0.23333333333333328
11,QWF,outlier_shift,auroc,0.7843044954028935
11,QWF,outlier_shift,auprc,0.7776432447254467
11,QWF,outlier_shift,nll,0.55941183264087
11,QWF,outlier_shift,brier,0.18949726941999068
11,QWF,outlier_shift,ece,0.01926433204859495
11,QWF,outlier_shift,aurc,0.17079986772486774
11,QWF,outlier_shift,mean_uncertainty,0.28015926480293274
11,QWF,outlier_shift,coverage_80_risk,0.24458333333333337
11,QWF,silent_failure,auroc,0.7783614379410425
11,QWF,silent_failure,auprc,0.7812503936952311
11,QWF,silent_failure,nll,0.5680110487657263
11,QWF,silent_failure,brier,0.19257578477086856
11,QWF,silent_failure,ece,0.03179425737261772
11,QWF,silent_failure,aurc,0.17552738095238096
11,QWF,silent_failure,mean_uncertainty,0.2672271430492401
11,QWF,silent_failure,coverage_80_risk,0.2554166666666666
11,LWF,ID_missing,auroc,0.7967189100922132
11,LWF,ID_missing,auprc,0.8002227974150353
11,LWF,ID_missing,nll,0.5466878698642762
11,LWF,ID_missing,brier,0.18433813650602293
11,LWF,ID_missing,ece,0.026718357520798843
11,LWF,ID_missing,aurc,0.1584095238095238
11,LWF,ID_missing,mean_uncertainty,0.2761021852493286
11,LWF,ID_missing,coverage_80_risk,0.23583333333333334
11,LWF,noise_shift,auroc,0.7946463029656308
11,LWF,noise_shift,auprc,0.7815140948463808
11,LWF,noise_shift,nll,0.5481793215267268
11,LWF,noise_shift,brier,0.18482806595445264
11,LWF,noise_shift,ece,0.017365693139533202
11,LWF,noise_shift,aurc,0.1611190476190476
11,LWF,noise_shift,mean_uncertainty,0.27445170283317566
11,LWF,noise_shift,coverage_80_risk,0.235
11,LWF,outlier_shift,auroc,0.7554047782880734
11,LWF,outlier_shift,auprc,0.7134690896964122
11,LWF,outlier_shift,nll,0.6203325909751225
11,LWF,outlier_shift,brier,0.2041755158081939
11,LWF,outlier_shift,ece,0.05164418843140205
11,LWF,outlier_shift,aurc,0.20483584656084655
11,LWF,outlier_shift,mean_uncertainty,0.2634355425834656
11,LWF,outlier_shift,coverage_80_risk,0.2645833333333333
11,LWF,silent_failure,auroc,0.7735313104655133
11,LWF,silent_failure,auprc,0.7715894465461384
11,LWF,silent_failure,nll,0.5804782178040448
11,LWF,silent_failure,brier,0.19579569946069664
11,LWF,silent_failure,ece,0.04426133736222982
11,LWF,silent_failure,aurc,0.18507619047619048
11,LWF,silent_failure,mean_uncertainty,0.2619956433773041
11,LWF,silent_failure,coverage_80_risk,0.25583333333333336
11,RWF,ID_missing,auroc,0.7976661223531422
11,RWF,ID_missing,auprc,0.8015812463967033
11,RWF,ID_missing,nll,0.5448874369263207
11,RWF,ID_missing,brier,0.18384091554483697
11,RWF,ID_missing,ece,0.024430402976771196
11,RWF,ID_missing,aurc,0.1563732804232804
11,RWF,ID_missing,mean_uncertainty,0.27801313996315
11,RWF,ID_missing,coverage_80_risk,0.23583333333333334
11,RWF,noise_shift,auroc,0.7990413943355119
11,RWF,noise_shift,auprc,0.7888597295097033
11,RWF,noise_shift,nll,0.5433109217508756
11,RWF,noise_shift,brier,0.1828502405889401
11,RWF,noise_shift,ece,0.018975446959336596
11,RWF,noise_shift,aurc,0.1569
11,RWF,noise_shift,mean_uncertainty,0.2809557020664215
11,RWF,noise_shift,coverage_80_risk,0.2316666666666667
11,RWF,outlier_shift,auroc,0.7854148775201406
11,RWF,outlier_shift,auprc,0.7809700020164955
11,RWF,outlier_shift,nll,0.5574844055430972
11,RWF,outlier_shift,brier,0.18889441319058903
11,RWF,outlier_shift,ece,0.02515193457466861
11,RWF,outlier_shift,aurc,0.16825291005291007
11,RWF,outlier_shift,mean_uncertainty,0.2788292169570923
11,RWF,outlier_shift,coverage_80_risk,0.24250000000000005
11,RWF,silent_failure,auroc,0.7785163808189164
11,RWF,silent_failure,auprc,0.7782921318094882
11,RWF,silent_failure,nll,0.5702523926615907
11,RWF,silent_failure,brier,0.19306764367245866
11,RWF,silent_failure,ece,0.03374570301175117
11,RWF,silent_failure,aurc,0.1774009259259259
11,RWF,silent_failure,mean_uncertainty,0.2679387629032135
11,RWF,silent_failure,coverage_80_risk,0.2520833333333333
11,CFA,ID_missing,auroc,0.7976652329519581
11,CFA,ID_missing,auprc,0.8022803296818775
11,CFA,ID_missing,nll,0.5439005286900744
11,CFA,ID_missing,brier,0.1835606116818688
11,CFA,ID_missing,ece,0.017524916696051756
11,CFA,ID_missing,aurc,0.1555755291005291
11,CFA,ID_missing,mean_uncertainty,0.2754330039024353
11,CFA,ID_missing,coverage_80_risk,0.23791666666666667
11,CFA,noise_shift,auroc,0.7981290293895336
11,CFA,noise_shift,auprc,0.7870369744254099
11,CFA,noise_shift,nll,0.544609153794625
11,CFA,noise_shift,brier,0.18344430889328509
11,CFA,noise_shift,ece,0.01910533682877819
11,CFA,noise_shift,aurc,0.1587936507936508
11,CFA,noise_shift,mean_uncertainty,0.2787337899208069
11,CFA,noise_shift,coverage_80_risk,0.23416666666666663
11,CFA,outlier_shift,auroc,0.7847778969060433
11,CFA,outlier_shift,auprc,0.7797964345459361
11,CFA,outlier_shift,nll,0.5583424833660641
11,CFA,outlier_shift,brier,0.18919363037280187
11,CFA,outlier_shift,ece,0.028777522534132006
11,CFA,outlier_shift,aurc,0.16807103174603175
11,CFA,outlier_shift,mean_uncertainty,0.2769221067428589
11,CFA,outlier_shift,coverage_80_risk,0.24375000000000002
11,CFA,silent_failure,auroc,0.7766835199465059
11,CFA,silent_failure,auprc,0.7769083792277577
11,CFA,silent_failure,nll,0.5712185465787649
11,CFA,silent_failure,brier,0.1935884014499071
11,CFA,silent_failure,ece,0.03409564286967118
11,CFA,silent_failure,aurc,0.17739973544973545
11,CFA,silent_failure,mean_uncertainty,0.2651338279247284
11,CFA,silent_failure,coverage_80_risk,0.25583333333333336
11,CRF_NR,ID_missing,auroc,0.797640774419399
11,CRF_NR,ID_missing,auprc,0.8023732169988835
11,CRF_NR,ID_missing,nll,0.5439136447332107
11,CRF_NR,ID_missing,brier,0.18356568103344126
11,CRF_NR,ID_missing,ece,0.019225263103842736
11,CRF_NR,ID_missing,aurc,0.15530119047619045
11,CRF_NR,ID_missing,mean_uncertainty,0.27542945742607117
11,CRF_NR,ID_missing,coverage_80_risk,0.23791666666666667
11,CRF_NR,noise_shift,auroc,0.7982028366902316
11,CRF_NR,noise_shift,auprc,0.7875602232031313
11,CRF_NR,noise_shift,nll,0.5443863069088808
11,CRF_NR,noise_shift,brier,0.18338077389023086
11,CRF_NR,noise_shift,ece,0.019285726090272265
11,CRF_NR,noise_shift,aurc,0.1579674603174603
11,CRF_NR,noise_shift,mean_uncertainty,0.27865397930145264
11,CRF_NR,noise_shift,coverage_80_risk,0.235
11,CRF_NR,outlier_shift,auroc,0.784897914188532
11,CRF_NR,outlier_shift,auprc,0.7799799528364978
11,CRF_NR,outlier_shift,nll,0.5582300389671593
11,CRF_NR,outlier_shift,brier,0.1891595173335948
11,CRF_NR,outlier_shift,ece,0.02752977315584819
11,CRF_NR,outlier_shift,aurc,0.16865661375661375
11,CRF_NR,outlier_shift,mean_uncertainty,0.2769474983215332
11,CRF_NR,outlier_shift,coverage_80_risk,0.24416666666666664
11,CRF_NR,silent_failure,auroc,0.7769969624971546
11,CRF_NR,silent_failure,auprc,0.7772142150454725
11,CRF_NR,silent_failure,nll,0.5707662360872531
11,CRF_NR,silent_failure,brier,0.19344840561620383
11,CRF_NR,silent_failure,ece,0.033879815295338636
11,CRF_NR,silent_failure,aurc,0.17675515873015876
11,CRF_NR,silent_failure,mean_uncertainty,0.2657727301120758
11,CRF_NR,silent_failure,coverage_80_risk,0.2554166666666666
11,CRF,ID_missing,auroc,0.7951353312841529
11,CRF,ID_missing,auprc,0.7994396428785269
11,CRF,ID_missing,nll,0.5470656583902819
11,CRF,ID_missing,brier,0.18470713893077845
11,CRF,ID_missing,ece,0.025366627380251878
11,CRF,ID_missing,aurc,0.1580595238095238
11,CRF,ID_missing,mean_uncertainty,0.280778706073761
11,CRF,ID_missing,coverage_80_risk,0.24083333333333334
11,CRF,noise_shift,auroc,0.8002830020897247
11,CRF,noise_shift,auprc,0.7904945173611605
11,CRF,noise_shift,nll,0.5422997835997131
