model,stress_type,level,metric,mean,sd,n,ci95
EF,sensor_noise,0.5,ece,0.028366830295665814,0.007184582085754203,20,0.0031487819310000295
EF,sensor_noise,0.5,nll,0.5608535438411112,0.00842903256633434,20,0.003694186401365085
EF,sensor_noise,1.0,aurc,0.17549811507936508,0.00678730775135118,20,0.002974668777181566
EF,sensor_noise,1.0,auroc,0.7793397588528681,0.0072905205521079175,20,0.0031952115109910298
EF,sensor_noise,1.0,ece,0.02754042113193621,0.004247156138369567,20,0.0018613982479441713
EF,sensor_noise,1.0,nll,0.5647480588343414,0.007270737779744085,20,0.0031865413287283984
EF,sensor_noise,1.5,aurc,0.17990584656084657,0.011425760474716624,20,0.005007560314754941
EF,sensor_noise,1.5,auroc,0.77568207470047,0.011601833531402228,20,0.0050847277342109575
EF,sensor_noise,1.5,ece,0.03049543381398544,0.004793626916650236,20,0.0021008996263029186
EF,sensor_noise,1.5,nll,0.5693085388953304,0.01208144068413728,20,0.0052949248366290546
EF,sensor_noise,2.0,aurc,0.18260537037037036,0.005993293239889921,20,0.0026266765743228277
EF,sensor_noise,2.0,auroc,0.7725014759029458,0.006578116811299464,20,0.0028829868053839524
EF,sensor_noise,2.0,ece,0.03051531242526447,0.007118884633179331,20,0.003119988752898457
EF,sensor_noise,2.0,nll,0.5728476857275593,0.006837989351403212,20,0.0029968809677548263
EF,sensor_noise,3.0,aurc,0.19416931878306878,0.008009439005916077,20,0.003510291415457871
EF,sensor_noise,3.0,auroc,0.7613055560509483,0.007735037657748679,20,0.003390029722204372
EF,sensor_noise,3.0,ece,0.0335652315216139,0.005128732004959214,20,0.002247765906687648
EF,sensor_noise,3.0,nll,0.5858552012142224,0.008050719022316775,20,0.003528383180323587
GF,missingness,0.5,aurc,0.16281890873015872,0.006715498718226544,20,0.0029431970808063822
GF,missingness,0.5,auroc,0.7920940247898194,0.007622254291322002,20,0.0033406002324883545
GF,missingness,0.5,ece,0.027268531738221646,0.006815798447460999,20,0.0029871553752942232
GF,missingness,0.5,nll,0.551546852592681,0.008212556547245037,20,0.0035993116029053693
GF,missingness,1.0,aurc,0.1680402447089947,0.0061324561451690076,20,0.002687667406688307
GF,missingness,1.0,auroc,0.7866276696895598,0.0068050983786014495,20,0.002982465863352782
GF,missingness,1.0,ece,0.029214883056158818,0.006092946459938231,20,0.0026703515236669623
GF,missingness,1.0,nll,0.5574840682785263,0.007562396675347619,20,0.003314366475623554
GF,missingness,1.5,aurc,0.17401699074074073,0.007859207791307964,20,0.0034444496826494747
GF,missingness,1.5,auroc,0.7806465049642287,0.007667998291539901,20,0.003360648424522152
GF,missingness,1.5,ece,0.030367900701550144,0.0068233926135817255,20,0.0029904836653431837
GF,missingness,1.5,nll,0.5644523683935441,0.008686158655103877,20,0.0038068768783674416
GF,missingness,2.0,aurc,0.17633800925925927,0.009781684911818144,20,0.004287012429872643
GF,missingness,2.0,auroc,0.7771609432918816,0.010852181293923015,20,0.004756178155163243
GF,missingness,2.0,ece,0.030403885202482345,0.006897682145911698,20,0.0030230424884272553
GF,missingness,2.0,nll,0.5671853922813747,0.011461988566134734,20,0.005023437975875711
GF,sensor_noise,0.0,aurc,0.16723123015873015,0.006653041240572546,20,0.00291582388432183
GF,sensor_noise,0.0,auroc,0.7876292830180804,0.0074133772010598975,20,0.003249055811425743
GF,sensor_noise,0.0,ece,0.028950553210514283,0.00746791666978275,20,0.0032729587874918632
GF,sensor_noise,0.0,nll,0.5566818410368433,0.007993757348107498,20,0.003503418625897336
GF,sensor_noise,0.5,aurc,0.16958693783068784,0.007969085246047952,20,0.003492605600416156
GF,sensor_noise,0.5,auroc,0.7845525686227353,0.008125732700786103,20,0.003561259374446334
GF,sensor_noise,0.5,ece,0.02991230234267811,0.006395965111247599,20,0.0028031553030114604
GF,sensor_noise,0.5,nll,0.5592133140180451,0.008777387647663434,20,0.0038468597472283124
GF,sensor_noise,1.0,aurc,0.1725596560846561,0.008450319037858686,20,0.0037035156088416777
GF,sensor_noise,1.0,auroc,0.7813263211378211,0.009126735215913255,20,0.003999968069662958
GF,sensor_noise,1.0,ece,0.029779156175255773,0.007248735131362564,20,0.0031768982429050416
GF,sensor_noise,1.0,nll,0.5631372789182089,0.009638199744110067,20,0.004224127282476032
GF,sensor_noise,1.5,aurc,0.17892035052910052,0.012319227137738056,20,0.005399139344807521
GF,sensor_noise,1.5,auroc,0.7752016511052368,0.012959697611997358,20,0.005679837906340485
GF,sensor_noise,1.5,ece,0.03293102020403991,0.00810091867874348,20,0.003550384149790167
GF,sensor_noise,1.5,nll,0.5703472533124421,0.014323101445558956,20,0.0062773759822554835
GF,sensor_noise,2.0,aurc,0.1813291931216931,0.00864025715494927,20,0.0037867596589429182
GF,sensor_noise,2.0,auroc,0.7721269992432881,0.008732516474908518,20,0.003827194088696327
GF,sensor_noise,2.0,ece,0.03489915650545929,0.008365403724711975,20,0.0036662998319864385
GF,sensor_noise,2.0,nll,0.5743499625842079,0.011560230046988246,20,0.005066494203237856
GF,sensor_noise,3.0,aurc,0.1946381283068783,0.010985955372917631,20,0.004814807230278083
GF,sensor_noise,3.0,auroc,0.7594701399503616,0.01140311784588848,20,0.004997636745134132
GF,sensor_noise,3.0,ece,0.04377151743508875,0.010942796032210385,20,0.00479589181521973
GF,sensor_noise,3.0,nll,0.5923082867405853,0.015486311565706781,20,0.0067871752948056654
LWF,missingness,0.5,aurc,0.1595180753968254,0.006565151653939297,20,0.0028773045746374746
LWF,missingness,0.5,auroc,0.7950644842061269,0.007474352267997006,20,0.003275779312768122
LWF,missingness,0.5,ece,0.02625612579481676,0.006027210612789955,20,0.0026415415184016743
LWF,missingness,0.5,nll,0.5476912393632591,0.008074292575538343,20,0.003538714745548615
LWF,missingness,1.0,aurc,0.16175720238095237,0.0067296514221790935,20,0.0029493997767946352
LWF,missingness,1.0,auroc,0.792856506427177,0.006924095496206699,20,0.0030346186495947896
LWF,missingness,1.0,ece,0.02487366763583074,0.006502809033087452,20,0.002849981716365911
LWF,missingness,1.0,nll,0.5502907586864005,0.0077554238703469855,20,0.003398964373810393
LWF,missingness,1.5,aurc,0.16524357804232803,0.006605043276077552,20,0.002894787848888914
LWF,missingness,1.5,auroc,0.789310358347669,0.006627725921585477,20,0.002904728956592903
LWF,missingness,1.5,ece,0.027336275963609418,0.005733752932593653,20,0.002512928019399763
LWF,missingness,1.5,nll,0.5539963804576615,0.00756935258857664,20,0.0033174150390093875
LWF,missingness,2.0,aurc,0.1654369312169312,0.009661739348483751,20,0.004234443968962462
LWF,missingness,2.0,auroc,0.78856190336531,0.01024702127472655,20,0.004490955082886322
LWF,missingness,2.0,ece,0.027065203562254708,0.005421066114729723,20,0.002375886979239041
LWF,missingness,2.0,nll,0.5546961789512713,0.011240419315861836,20,0.004926330970430274
LWF,sensor_noise,0.0,aurc,0.16234203703703703,0.005996117491133285,20,0.002627914357004905
LWF,sensor_noise,0.0,auroc,0.7926325357433429,0.006894141450198208,20,0.003021490710111866
LWF,sensor_noise,0.0,ece,0.02582962825683256,0.006143583134969945,20,0.002692544024981956
LWF,sensor_noise,0.0,nll,0.5505877454054311,0.007303086402479843,20,0.003200718737733866
LWF,sensor_noise,0.5,aurc,0.16357940476190475,0.008051802529770157,20,0.003528858048402286
LWF,sensor_noise,0.5,auroc,0.7905131864702402,0.009230660174465046,20,0.004045515190951567
LWF,sensor_noise,0.5,ece,0.0256188747777914,0.0062780614703549014,20,0.0027514817540686244
LWF,sensor_noise,0.5,nll,0.5524842102450782,0.009906338765704735,20,0.004341644390098401
