held_out_building,linear_mmd,rbf_mmd,coral_distance
auditorium,1.4480516,0.13268100485702605,0.0006218301884337146
hospital,3.1023402,0.19757434777797078,0.0010446132191701627
office,1.353819,0.07289201235252407,0.0010628541348244012
