representation,task,seed,method,fault,subset,metric,value
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,all,accuracy,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,all,macro_f1,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,all,macro_auroc,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,all,macro_auprc,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,all,nll,1.192092966562092e-07
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,affected,accuracy,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,affected,macro_f1,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,affected,macro_auroc,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,affected,macro_auprc,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,affected,nll,1.1920929665620916e-07
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,unaffected,accuracy,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,unaffected,macro_f1,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,unaffected,macro_auroc,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,unaffected,macro_auprc,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,vibration,unaffected,nll,1.1920929665620916e-07
linear_resampling,cooler,102,CAGF,pressure,all,accuracy,0.8853211009174312
linear_resampling,cooler,102,CAGF,pressure,all,macro_f1,0.8881996901927128
linear_resampling,cooler,102,CAGF,pressure,all,macro_auroc,0.9524670218163368
linear_resampling,cooler,102,CAGF,pressure,all,macro_auprc,0.9151859338100049
linear_resampling,cooler,102,CAGF,pressure,all,nll,1.1158868152830264
linear_resampling,cooler,102,CAGF,pressure,affected,accuracy,0.9240506329113924
linear_resampling,cooler,102,CAGF,pressure,affected,macro_f1,0.926057176473884
linear_resampling,cooler,102,CAGF,pressure,affected,macro_auroc,0.9722957397763169
linear_resampling,cooler,102,CAGF,pressure,affected,macro_auprc,0.9483292951633301
linear_resampling,cooler,102,CAGF,pressure,affected,nll,0.7522319089349656
linear_resampling,cooler,102,CAGF,pressure,unaffected,accuracy,0.8633093525179856
linear_resampling,cooler,102,CAGF,pressure,unaffected,macro_f1,0.8664516971747477
linear_resampling,cooler,102,CAGF,pressure,unaffected,macro_auroc,0.9407608602448788
linear_resampling,cooler,102,CAGF,pressure,unaffected,macro_auprc,0.895320814423176
linear_resampling,cooler,102,CAGF,pressure,unaffected,nll,1.3225683807614204
linear_resampling,cooler,102,CAGF,vibration,all,accuracy,0.8623853211009175
linear_resampling,cooler,102,CAGF,vibration,all,macro_f1,0.8650980786978772
linear_resampling,cooler,102,CAGF,vibration,all,macro_auroc,0.9303974351063392
linear_resampling,cooler,102,CAGF,vibration,all,macro_auprc,0.8772019542253083
linear_resampling,cooler,102,CAGF,vibration,all,nll,1.604558403192253
linear_resampling,cooler,102,CAGF,vibration,affected,accuracy,0.8888888888888888
linear_resampling,cooler,102,CAGF,vibration,affected,macro_f1,0.8867532467532467
linear_resampling,cooler,102,CAGF,vibration,affected,macro_auroc,0.9405161506527969
linear_resampling,cooler,102,CAGF,vibration,affected,macro_auprc,0.9048534205396951
linear_resampling,cooler,102,CAGF,vibration,affected,nll,1.1715568963123466
linear_resampling,cooler,102,CAGF,vibration,unaffected,accuracy,0.8467153284671532
linear_resampling,cooler,102,CAGF,vibration,unaffected,macro_f1,0.8491632763228925
linear_resampling,cooler,102,CAGF,vibration,unaffected,macro_auroc,0.9265766945728741
linear_resampling,cooler,102,CAGF,vibration,unaffected,macro_auprc,0.857467546052398
linear_resampling,cooler,102,CAGF,vibration,unaffected,nll,1.8605665933913218
linear_resampling,cooler,102,PDRF_NOQ,pressure,all,accuracy,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,all,macro_f1,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,all,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,all,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,all,nll,1.192092966562092e-07
linear_resampling,cooler,102,PDRF_NOQ,pressure,affected,accuracy,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,affected,macro_f1,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,affected,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,affected,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,affected,nll,1.192092966562091e-07
linear_resampling,cooler,102,PDRF_NOQ,pressure,unaffected,accuracy,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,unaffected,macro_f1,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,unaffected,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,unaffected,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_NOQ,pressure,unaffected,nll,1.1920929665620914e-07
linear_resampling,cooler,102,PDRF_NOQ,vibration,all,accuracy,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,all,macro_f1,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,all,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,all,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,all,nll,1.192092966562092e-07
linear_resampling,cooler,102,PDRF_NOQ,vibration,affected,accuracy,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,affected,macro_f1,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,affected,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,affected,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,affected,nll,1.1920929665620916e-07
linear_resampling,cooler,102,PDRF_NOQ,vibration,unaffected,accuracy,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,unaffected,macro_f1,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,unaffected,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,unaffected,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_NOQ,vibration,unaffected,nll,1.1920929665620916e-07
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,all,accuracy,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,all,macro_f1,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,all,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,all,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,all,nll,1.192092966562092e-07
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,affected,accuracy,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,affected,macro_f1,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,affected,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,affected,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,affected,nll,1.192092966562091e-07
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,unaffected,accuracy,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,unaffected,macro_f1,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,unaffected,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,unaffected,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,pressure,unaffected,nll,1.1920929665620914e-07
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,all,accuracy,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,all,macro_f1,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,all,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,all,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,all,nll,1.192092966562092e-07
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,affected,accuracy,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,affected,macro_f1,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,affected,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,affected,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,affected,nll,1.1920929665620916e-07
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,unaffected,accuracy,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,unaffected,macro_f1,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,unaffected,macro_auroc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,unaffected,macro_auprc,1.0
linear_resampling,cooler,102,PDRF_RCIA_R30_NOQ,vibration,unaffected,nll,1.1920929665620916e-07
linear_resampling,cooler,103,CAGF,pressure,all,accuracy,0.8944954128440367
linear_resampling,cooler,103,CAGF,pressure,all,macro_f1,0.893617900744269
linear_resampling,cooler,103,CAGF,pressure,all,macro_auroc,0.9563851094244931
linear_resampling,cooler,103,CAGF,pressure,all,macro_auprc,0.8878306162304167
linear_resampling,cooler,103,CAGF,pressure,all,nll,1.4838151107628792
linear_resampling,cooler,103,CAGF,pressure,affected,accuracy,0.810126582278481
linear_resampling,cooler,103,CAGF,pressure,affected,macro_f1,0.8141061066592981
linear_resampling,cooler,103,CAGF,pressure,affected,macro_auroc,0.9057665392663544
linear_resampling,cooler,103,CAGF,pressure,affected,macro_auprc,0.7979441064608932
linear_resampling,cooler,103,CAGF,pressure,affected,nll,2.6596359936273526
linear_resampling,cooler,103,CAGF,pressure,unaffected,accuracy,0.9424460431654677
linear_resampling,cooler,103,CAGF,pressure,unaffected,macro_f1,0.940325561378193
linear_resampling,cooler,103,CAGF,pressure,unaffected,macro_auroc,0.9809648116210455
linear_resampling,cooler,103,CAGF,pressure,unaffected,macro_auprc,0.9398515487892037
linear_resampling,cooler,103,CAGF,pressure,unaffected,nll,0.8155428104298329
linear_resampling,cooler,103,CAGF,vibration,all,accuracy,0.926605504587156
linear_resampling,cooler,103,CAGF,vibration,all,macro_f1,0.9259116341886938
linear_resampling,cooler,103,CAGF,vibration,all,macro_auroc,0.9681792237442922
linear_resampling,cooler,103,CAGF,vibration,all,macro_auprc,0.9134176805681804
linear_resampling,cooler,103,CAGF,vibration,all,nll,1.1161370373850927
linear_resampling,cooler,103,CAGF,vibration,affected,accuracy,0.9382716049382716
linear_resampling,cooler,103,CAGF,vibration,affected,macro_f1,0.9344739716053877
linear_resampling,cooler,103,CAGF,vibration,affected,macro_auroc,0.9702213148949849
linear_resampling,cooler,103,CAGF,vibration,affected,macro_auprc,0.9171384131570646
linear_resampling,cooler,103,CAGF,vibration,affected,nll,0.9851634840085471
linear_resampling,cooler,103,CAGF,vibration,unaffected,accuracy,0.9197080291970803
linear_resampling,cooler,103,CAGF,vibration,unaffected,macro_f1,0.9161904761904762
linear_resampling,cooler,103,CAGF,vibration,unaffected,macro_auroc,0.9656846707930299
linear_resampling,cooler,103,CAGF,vibration,unaffected,macro_auprc,0.9035372821985259
linear_resampling,cooler,103,CAGF,vibration,unaffected,nll,1.1935739558048024
linear_resampling,cooler,103,PDRF_NOQ,pressure,all,accuracy,1.0
linear_resampling,cooler,103,PDRF_NOQ,pressure,all,macro_f1,1.0
linear_resampling,cooler,103,PDRF_NOQ,pressure,all,macro_auroc,1.0
linear_resampling,cooler,103,PDRF_NOQ,pressure,all,macro_auprc,1.0
linear_resampling,cooler,103,PDRF_NOQ,pressure,all,nll,1.192092966562092e-07
linear_resampling,cooler,103,PDRF_NOQ,pressure,affected,accuracy,1.0
linear_resampling,cooler,103,PDRF_NOQ,pressure,affected,macro_f1,1.0
linear_resampling,cooler,103,PDRF_NOQ,pressure,affected,macro_auroc,1.0
