seed,method,fault,calibrated,metric,value
101,UF,silent_gaussian,True,class_1_recall,0.557163531114327
101,UF,silent_gaussian,True,class_2_auroc,0.8693615172323486
101,UF,silent_gaussian,True,class_2_auprc,0.6156580956200797
101,UF,silent_gaussian,True,class_2_recall,0.6744525547445256
101,UF,silent_gaussian,True,class_3_auroc,0.8971242765944752
101,UF,silent_gaussian,True,class_3_auprc,0.8045027813144117
101,UF,silent_gaussian,True,class_3_recall,0.7175675675675676
101,UF,silent_gaussian,True,class_4_auroc,0.7163153364487137
101,UF,silent_gaussian,True,class_4_auprc,0.2581677233368321
101,UF,silent_gaussian,True,class_4_recall,0.0522598870056497
101,UF,silent_gaussian,True,class_5_auroc,0.8434916355628072
101,UF,silent_gaussian,True,class_5_auprc,0.7121608168451593
101,UF,silent_gaussian,True,class_5_recall,0.6638246041412911
101,UF,silent_gaussian,True,class_6_auroc,0.7654977287079487
101,UF,silent_gaussian,True,class_6_auprc,0.3482821193987496
101,UF,silent_gaussian,True,class_6_recall,0.4714881780250348
101,UF,gain_loss,False,accuracy,0.5767644362969753
101,UF,gain_loss,False,macro_f1,0.5602210840759947
101,UF,gain_loss,False,macro_auroc,0.8611007888686152
101,UF,gain_loss,False,macro_auprc,0.6431089263645475
101,UF,gain_loss,False,micro_auprc,0.6609079327275071
101,UF,gain_loss,False,nll,1.585750340990635
101,UF,gain_loss,False,brier,0.603118215203874
101,UF,gain_loss,False,ece_10,0.1896107778035097
101,UF,gain_loss,False,ece_15,0.1896017606956602
101,UF,gain_loss,False,ece_20,0.1896117382796394
101,UF,gain_loss,False,adaptive_ece_15,0.1896017577249887
101,UF,gain_loss,False,class_1_auroc,0.8024123310755571
101,UF,gain_loss,False,class_1_auprc,0.6440390263272866
101,UF,gain_loss,False,class_1_recall,0.6396526772793053
101,UF,gain_loss,False,class_2_auroc,0.9354132648708492
101,UF,gain_loss,False,class_2_auprc,0.8285571237867094
101,UF,gain_loss,False,class_2_recall,0.7313868613138687
101,UF,gain_loss,False,class_3_auroc,0.9494365640474912
101,UF,gain_loss,False,class_3_auprc,0.8849886079002517
101,UF,gain_loss,False,class_3_recall,0.7756756756756756
101,UF,gain_loss,False,class_4_auroc,0.7680610157128904
101,UF,gain_loss,False,class_4_auprc,0.2891210816967837
101,UF,gain_loss,False,class_4_recall,0.0819209039548022
101,UF,gain_loss,False,class_5_auroc,0.8724528611941063
101,UF,gain_loss,False,class_5_auprc,0.7684944807584342
101,UF,gain_loss,False,class_5_recall,0.6881851400730816
101,UF,gain_loss,False,class_6_auroc,0.8388286963107959
101,UF,gain_loss,False,class_6_auprc,0.4434532377178197
101,UF,gain_loss,False,class_6_recall,0.5243393602225312
101,UF,gain_loss,True,accuracy,0.5767644362969753
101,UF,gain_loss,True,macro_f1,0.5602210840759947
101,UF,gain_loss,True,macro_auroc,0.8610916802736709
101,UF,gain_loss,True,macro_auprc,0.6431298413613596
101,UF,gain_loss,True,micro_auprc,0.6610081659540866
101,UF,gain_loss,True,nll,1.563546773739799
101,UF,gain_loss,True,brier,0.6000242821736784
101,UF,gain_loss,True,ece_10,0.1850033896735346
101,UF,gain_loss,True,ece_15,0.1849728476607832
101,UF,gain_loss,True,ece_20,0.1850033925554273
101,UF,gain_loss,True,adaptive_ece_15,0.1849702960179007
101,UF,gain_loss,True,class_1_auroc,0.8023737186485809
101,UF,gain_loss,True,class_1_auprc,0.6441648988656354
101,UF,gain_loss,True,class_1_recall,0.6396526772793053
101,UF,gain_loss,True,class_2_auroc,0.9353965989647296
101,UF,gain_loss,True,class_2_auprc,0.8283455772209027
101,UF,gain_loss,True,class_2_recall,0.7313868613138687
101,UF,gain_loss,True,class_3_auroc,0.9494164280174212
101,UF,gain_loss,True,class_3_auprc,0.8849050624993408
101,UF,gain_loss,True,class_3_recall,0.7756756756756756
101,UF,gain_loss,True,class_4_auroc,0.7678697814288716
101,UF,gain_loss,True,class_4_auprc,0.288811070288476
101,UF,gain_loss,True,class_4_recall,0.0819209039548022
101,UF,gain_loss,True,class_5_auroc,0.8725914061557279
101,UF,gain_loss,True,class_5_auprc,0.7688803692465839
101,UF,gain_loss,True,class_5_recall,0.6881851400730816
101,UF,gain_loss,True,class_6_auroc,0.8389021484266938
101,UF,gain_loss,True,class_6_auprc,0.4436720700472189
101,UF,gain_loss,True,class_6_recall,0.5243393602225312
101,UF,offset,False,accuracy,0.5025206232813932
101,UF,offset,False,macro_f1,0.502441052002044
101,UF,offset,False,macro_auroc,0.789805235665945
101,UF,offset,False,macro_auprc,0.5291954672460079
101,UF,offset,False,micro_auprc,0.551146406808084
101,UF,offset,False,nll,2.851394123673436
101,UF,offset,False,brier,0.7556202933065791
101,UF,offset,False,ece_10,0.2867407028304667
101,UF,offset,False,ece_15,0.2867406952774491
101,UF,offset,False,ece_20,0.2867407265582782
101,UF,offset,False,adaptive_ece_15,0.2867407111210303
101,UF,offset,False,class_1_auroc,0.766150928096963
101,UF,offset,False,class_1_auprc,0.4924788963650071
101,UF,offset,False,class_1_recall,0.5759768451519537
101,UF,offset,False,class_2_auroc,0.7952212498239167
101,UF,offset,False,class_2_auprc,0.6488063882189985
101,UF,offset,False,class_2_recall,0.5357664233576642
101,UF,offset,False,class_3_auroc,0.8345470884792077
101,UF,offset,False,class_3_auprc,0.7194810656425242
101,UF,offset,False,class_3_recall,0.5445945945945946
101,UF,offset,False,class_4_auroc,0.7179769498942996
101,UF,offset,False,class_4_auprc,0.2432008676063106
101,UF,offset,False,class_4_recall,0.1129943502824858
101,UF,offset,False,class_5_auroc,0.8125883739806373
101,UF,offset,False,class_5_auprc,0.6993889428761197
101,UF,offset,False,class_5_recall,0.5956151035322778
101,UF,offset,False,class_6_auroc,0.8123468237206454
101,UF,offset,False,class_6_auprc,0.3718166427670872
101,UF,offset,False,class_6_recall,0.6342141863699583
101,UF,offset,True,accuracy,0.5025206232813932
101,UF,offset,True,macro_f1,0.502441052002044
101,UF,offset,True,macro_auroc,0.7897526322148994
101,UF,offset,True,macro_auprc,0.5291108729445498
101,UF,offset,True,micro_auprc,0.5511261103767933
101,UF,offset,True,nll,2.8137748918033965
101,UF,offset,True,brier,0.7519998651423224
101,UF,offset,True,ece_10,0.2824239692182086
101,UF,offset,True,ece_15,0.2824239741215238
101,UF,offset,True,ece_20,0.2824239472932874
101,UF,offset,True,adaptive_ece_15,0.2824239626895606
101,UF,offset,True,class_1_auroc,0.7660930094564986
101,UF,offset,True,class_1_auprc,0.4921589707290014
101,UF,offset,True,class_1_recall,0.5759768451519537
101,UF,offset,True,class_2_auroc,0.7951966477720263
101,UF,offset,True,class_2_auprc,0.6486525539196818
101,UF,offset,True,class_2_recall,0.5357664233576642
101,UF,offset,True,class_3_auroc,0.8346164459161147
101,UF,offset,True,class_3_auprc,0.7195944717213751
101,UF,offset,True,class_3_recall,0.5445945945945946
101,UF,offset,True,class_4_auroc,0.7176561012622236
101,UF,offset,True,class_4_auprc,0.2429664807858518
101,UF,offset,True,class_4_recall,0.1129943502824858
101,UF,offset,True,class_5_auroc,0.8126762107987375
101,UF,offset,True,class_5_auprc,0.6996308449191049
101,UF,offset,True,class_5_recall,0.5956151035322778
101,UF,offset,True,class_6_auroc,0.8122773780837964
101,UF,offset,True,class_6_auprc,0.3716619155922843
101,UF,offset,True,class_6_recall,0.6342141863699583
101,UF,linear_drift,False,accuracy,0.5281851512373968
101,UF,linear_drift,False,macro_f1,0.5211895704196331
