seed,method,fault_realization,batch,subset,metric,value,n
101,EF-PD+CD,70001,10,unaffected,macro_f1,0.563754350146964,2150
101,EF-PD+CD,70001,10,unaffected,macro_auroc,0.851169611837161,2150
101,EF-PD+CD,70001,10,unaffected,macro_auprc,0.6323221403495255,2150
101,EF-PD+CD,70001,10,unaffected,nll,1.7469234429313192,2150
101,EF-PD+CD,70001,10,unaffected,brier,0.6315958949651855,2150
101,EF-PD+CD,70001,10,unaffected,ece15,0.2349072129781856,2150
101,UF-PD+CD,70001,all,all,accuracy,0.5167277726856095,4364
101,UF-PD+CD,70001,all,all,macro_f1,0.500728720579182,4364
101,UF-PD+CD,70001,all,all,macro_auroc,0.809603485261987,4364
101,UF-PD+CD,70001,all,all,macro_auprc,0.5404864318997272,4364
101,UF-PD+CD,70001,all,all,nll,2.3325668229990146,4364
101,UF-PD+CD,70001,all,all,brier,0.7240697429627733,4364
101,UF-PD+CD,70001,all,all,ece15,0.2733025629991899,4364
101,UF-PD+CD,70001,all,affected,accuracy,0.4396600566572238,1765
101,UF-PD+CD,70001,all,affected,macro_f1,0.4262102761994742,1765
101,UF-PD+CD,70001,all,affected,macro_auroc,0.7535387400170547,1765
101,UF-PD+CD,70001,all,affected,macro_auprc,0.45674683167250407,1765
101,UF-PD+CD,70001,all,affected,nll,3.3796795149601557,1765
101,UF-PD+CD,70001,all,affected,brier,0.9016252569579224,1765
101,UF-PD+CD,70001,all,affected,ece15,0.3867241063469192,1765
101,UF-PD+CD,70001,all,unaffected,accuracy,0.5690650250096191,2599
101,UF-PD+CD,70001,all,unaffected,macro_f1,0.5505799409789494,2599
101,UF-PD+CD,70001,all,unaffected,macro_auroc,0.8562273196794891,2599
101,UF-PD+CD,70001,all,unaffected,macro_auprc,0.6123261319615758,2599
101,UF-PD+CD,70001,all,unaffected,nll,1.6214648986775775,2599
101,UF-PD+CD,70001,all,unaffected,brier,0.6034904885566792,2599
101,UF-PD+CD,70001,all,unaffected,ece15,0.19627710113896,2599
101,UF-PD+CD,70001,8,all,accuracy,0.5204081632653061,294
101,UF-PD+CD,70001,8,all,macro_f1,0.5070474147210106,294
101,UF-PD+CD,70001,8,all,macro_auroc,0.8519721483155301,294
101,UF-PD+CD,70001,8,all,macro_auprc,0.6117979189507814,294
101,UF-PD+CD,70001,8,all,nll,1.7214891896356173,294
101,UF-PD+CD,70001,8,all,brier,0.6586716122936079,294
101,UF-PD+CD,70001,8,all,ece15,0.24646345003932507,294
101,UF-PD+CD,70001,8,affected,accuracy,0.43333333333333335,120
101,UF-PD+CD,70001,8,affected,macro_f1,0.42116851935815586,120
101,UF-PD+CD,70001,8,affected,macro_auroc,0.7829267858412138,120
101,UF-PD+CD,70001,8,affected,macro_auprc,0.5081567571626852,120
101,UF-PD+CD,70001,8,affected,nll,2.8071207869839316,120
101,UF-PD+CD,70001,8,affected,brier,0.874251253436848,120
101,UF-PD+CD,70001,8,affected,ece15,0.3763021980722745,120
101,UF-PD+CD,70001,8,unaffected,accuracy,0.5804597701149425,174
101,UF-PD+CD,70001,8,unaffected,macro_f1,0.5639597540107639,174
101,UF-PD+CD,70001,8,unaffected,macro_auroc,0.9214723906087716,174
101,UF-PD+CD,70001,8,unaffected,macro_auprc,0.7354133841482261,174
101,UF-PD+CD,70001,8,unaffected,nll,0.9727777431885037,174
101,UF-PD+CD,70001,8,unaffected,brier,0.509995997712063,174
101,UF-PD+CD,70001,8,unaffected,ece15,0.17672362649577789,174
101,UF-PD+CD,70001,9,all,accuracy,0.4957446808510638,470
101,UF-PD+CD,70001,9,all,macro_f1,0.46121894821013437,470
101,UF-PD+CD,70001,9,all,macro_auroc,0.8183401902182531,470
101,UF-PD+CD,70001,9,all,macro_auprc,0.572097792221409,470
101,UF-PD+CD,70001,9,all,nll,2.1372048228414844,470
101,UF-PD+CD,70001,9,all,brier,0.7173359427970598,470
101,UF-PD+CD,70001,9,all,ece15,0.2741161491008515,470
101,UF-PD+CD,70001,9,affected,accuracy,0.4256410256410256,195
101,UF-PD+CD,70001,9,affected,macro_f1,0.4100465392154374,195
101,UF-PD+CD,70001,9,affected,macro_auroc,0.7392363659271145,195
101,UF-PD+CD,70001,9,affected,macro_auprc,0.4694447016961303,195
101,UF-PD+CD,70001,9,affected,nll,3.2869755471168562,195
101,UF-PD+CD,70001,9,affected,brier,0.904021773232817,195
101,UF-PD+CD,70001,9,affected,ece15,0.38119545166309066,195
101,UF-PD+CD,70001,9,unaffected,accuracy,0.5454545454545454,275
101,UF-PD+CD,70001,9,unaffected,macro_f1,0.4885628692877602,275
101,UF-PD+CD,70001,9,unaffected,macro_auroc,0.8866872930432644,275
101,UF-PD+CD,70001,9,unaffected,macro_auprc,0.7115672001097252,275
101,UF-PD+CD,70001,9,unaffected,nll,1.3219128547189474,275
101,UF-PD+CD,70001,9,unaffected,brier,0.5849587175789772,275
101,UF-PD+CD,70001,9,unaffected,ece15,0.1995224061879245,275
101,UF-PD+CD,70001,10,all,accuracy,0.5191666666666667,3600
101,UF-PD+CD,70001,10,all,macro_f1,0.5056050683696733,3600
101,UF-PD+CD,70001,10,all,macro_auroc,0.8068729166666667,3600
101,UF-PD+CD,70001,10,all,macro_auprc,0.5435307318596312,3600
101,UF-PD+CD,70001,10,all,nll,2.4079770908553697,3600
101,UF-PD+CD,70001,10,all,brier,0.7302897253223898,3600
101,UF-PD+CD,70001,10,all,ece15,0.275388173394733,3600
101,UF-PD+CD,70001,10,affected,accuracy,0.4420689655172414,1450
101,UF-PD+CD,70001,10,affected,macro_f1,0.4290262365989068,1450
101,UF-PD+CD,70001,10,affected,macro_auroc,0.7532126718529124,1450
101,UF-PD+CD,70001,10,affected,macro_auprc,0.46500118920169675,1450
101,UF-PD+CD,70001,10,affected,nll,3.439530770881942,1450
101,UF-PD+CD,70001,10,affected,brier,0.9035684016123531,1450
101,UF-PD+CD,70001,10,affected,ece15,0.3889128878609887,1450
101,UF-PD+CD,70001,10,unaffected,accuracy,0.5711627906976744,2150
