method,mean,std
RO-CAGF KL=.001,0.7953228939125357,0.027536338568114646
RO-CAGF KL=.005,0.7969347900764326,0.021699409060373195
RO-CAGF KL=.020,0.799160274029828,0.017894483723613405
RO-CAGF KL=0,0.7958862340429537,0.03129380142487894
RO-PDRF interior=.001,0.8036778060880414,0.008916651119276142
RO-PDRF interior=.005,0.8042807070149781,0.00935931227663566
RO-PDRF interior=.020,0.8048044971741681,0.009282920891547725
RO-PDRF interior=0,0.8034529709208187,0.008678374085643842
