dataset,task,seed,method,parameters,train_seconds,epochs,inference_ms_per_observation
hydraulic,valve,105,PDRF,29465,9.619757700012997,80,0.008889449543507616
hydraulic,valve,105,RO-PDRF,29465,10.608388900000136,80,0.00903256883131289
hydraulic,pump,101,CAGF,37844,7.522454500009189,80,0.009374770668544592
hydraulic,pump,101,RO-CAGF,37844,8.627388399996562,80,0.012041743093922119
hydraulic,pump,101,PDRF,29300,9.590986100010923,80,0.009648165109657058
hydraulic,pump,101,RO-PDRF,29300,9.71404929998971,80,0.006489908277834637
hydraulic,pump,102,CAGF,37844,7.150077700003749,80,0.009349082533052243
hydraulic,pump,102,RO-CAGF,37844,8.536066000000574,80,0.011905504592455103
hydraulic,pump,102,PDRF,29300,9.422622300000512,80,0.011683944941160842
hydraulic,pump,102,RO-PDRF,29300,10.932851200006553,80,0.00983027525303817
hydraulic,pump,103,CAGF,37844,6.490193700010423,73,0.009362385319887635
hydraulic,pump,103,RO-CAGF,37844,5.602515599995968,51,0.011870183489593003
hydraulic,pump,103,PDRF,29300,9.147457400002168,80,0.01048623854422583
hydraulic,pump,103,RO-PDRF,29300,11.118157599994447,80,0.010199541249526066
hydraulic,pump,104,CAGF,37844,7.309964000000036,80,0.0090573394618749
hydraulic,pump,104,RO-CAGF,37844,8.634210500007612,80,0.011233944918985966
hydraulic,pump,104,PDRF,29300,9.702457000006689,80,0.009379816511774077
hydraulic,pump,104,RO-PDRF,29300,10.401397399997222,80,0.009853211007243312
hydraulic,pump,105,CAGF,37844,6.904470199995558,80,0.008632110070262036
hydraulic,pump,105,RO-CAGF,37844,6.402902100002393,62,0.011909633064258058
hydraulic,pump,105,PDRF,29300,8.846115600012126,80,0.009230275223471668
hydraulic,pump,105,RO-PDRF,29300,10.899784900000668,80,0.009160091736836684
hydraulic,accumulator,101,CAGF,38009,7.665968900008011,80,0.008681192679048747
hydraulic,accumulator,101,RO-CAGF,38009,8.707916600003955,80,0.008296330300279372
hydraulic,accumulator,101,PDRF,29465,8.652268699996057,80,0.009592660567125117
hydraulic,accumulator,101,RO-PDRF,29465,10.971727399999509,80,0.011600917386779682
hydraulic,accumulator,102,CAGF,38009,7.153461399997468,80,0.009306880777355694
hydraulic,accumulator,102,RO-CAGF,38009,8.720586999988882,80,0.009327064217025534
hydraulic,accumulator,102,PDRF,29465,8.810685799995554,80,0.009577981623022074
