confidence_bin,n,clean_confidence,ro_minus_base_true_probability,ro_fault_accuracy,base_fault_accuracy
"(0.225, 0.61]",13838,0.49265593139572905,-0.007017403300732969,0.244760803584333,0.24772365948836536
"(0.61, 0.82]",13838,0.7170139323305681,0.0009788229050158564,0.3057522763405116,0.304306980777569
"(0.82, 0.953]",13839,0.8965604565324307,0.01620116368637992,0.4477202109979045,0.4217067707204278
"(0.953, 0.995]",13837,0.9789969533597871,0.026494609773481025,0.6796270867962708,0.6463106164631062
"(0.995, 1.0]",13838,0.9987126741558852,0.017797157145338152,0.8276485041190924,0.8097268391386039
