seed,base_temperature,recovery_temperature,safe_threshold,balanced_threshold,elapsed_seconds,base_train_seconds,recovery_train_seconds,base_parameters,recovery_parameters
101,0.9380179113447048,1.013935838404347,0.75,0.625,42.181277700001374,18.01364050002303,21.804491300019436,19740,19740
102,0.818148697748099,0.870437656802158,0.75,0.6,28.541564599989215,11.748412999993889,15.395272699999623,19740,19740
103,0.5733853729876689,0.5810724158586605,0.875,0.55,27.13358869997319,11.673801900004037,14.110386399988784,19740,19740
104,0.7249484208941313,0.7216325307731521,0.65,0.65,36.45109930000035,16.573832399997627,18.44353720001527,19740,19740
105,0.8631412313532546,0.9340727830635891,0.9,0.625,36.012535100016976,11.652761200006353,22.772622599994065,19740,19740
106,0.6240788034666606,0.6554983609823735,0.75,0.625,26.22478309998405,11.992249300004914,12.789123399998061,19740,19740
107,0.9294273882872307,0.9445775684771087,0.8500000000000001,0.525,31.413656799995806,11.700273800001014,18.25563030000194,19740,19740
108,1.040919939729362,0.9556331802883052,0.9,0.55,54.39138759998605,24.9977777999884,27.82525279998663,19740,19740
109,0.8198120201213096,0.7637208321824376,0.525,0.525,39.11519030001364,16.88448919999064,20.888080800010357,19740,19740
110,0.8415205307008368,0.8999203536046791,0.575,0.575,49.59389810002176,22.43479810000281,25.44894109998131,19740,19740
