method,seed,temperature,inference_ms_per_observation,parameters,train_seconds,epochs
RO-PDRF-EMA,101,1.0545409359126812,0.0018168423491496828,19740,22.726261599978898,29
RO-PDRF-EMA,102,0.740232701629732,0.0015562786427787466,19740,21.813476199982688,25
RO-PDRF-EMA,103,0.7243787965079561,0.0015960128340438199,19740,21.308556300005876,24
RO-PDRF-EMA,104,0.7992723786710464,0.002026489464338616,19740,21.387729599984596,24
RO-PDRF-EMA,105,0.6751433220137637,0.0014570577426085388,19740,19.567830900021363,23
RO-PDRF-EMA,106,0.7539783211815659,0.0017926214465262807,19740,25.986221600003773,30
RO-PDRF-EMA,107,0.8814452439200421,0.001801443628496879,19740,21.476883199997246,25
RO-PDRF-EMA,108,0.8859783431987059,0.0018542163157993527,19740,36.16338869999163,41
RO-PDRF-EMA,109,0.6221977848548169,0.0017988771761662569,19740,24.598663199984003,28
RO-PDRF-EMA,110,0.8130890586650182,0.0014456920232389064,19740,23.373232599988114,27
