method,cost_scheme,coverage,reject_cost,fault_prevalence,expected_cost
EF,uniform,0.8,0.1,0.97,0.2678666361136572
EF,uniform,0.8,0.1,0.98,0.2681209899175068
EF,uniform,0.8,0.1,0.99,0.2683753437213565
EF,uniform,0.8,0.1,1.0,0.2686296975252062
EF,uniform,0.8,0.25,0.0,0.2732011915673694
EF,uniform,0.8,0.25,0.01,0.2734555453712191
EF,uniform,0.8,0.25,0.02,0.2737098991750687
EF,uniform,0.8,0.25,0.03,0.2739642529789184
EF,uniform,0.8,0.25,0.04,0.2742186067827681
EF,uniform,0.8,0.25,0.05,0.2744729605866178
EF,uniform,0.8,0.25,0.06,0.27472731439046744
EF,uniform,0.8,0.25,0.07,0.27498166819431713
EF,uniform,0.8,0.25,0.08,0.2752360219981669
EF,uniform,0.8,0.25,0.09,0.2754903758020165
EF,uniform,0.8,0.25,0.1,0.27574472960586616
EF,uniform,0.8,0.25,0.11,0.27599908340971585
EF,uniform,0.8,0.25,0.12,0.27625343721356554
EF,uniform,0.8,0.25,0.13,0.2765077910174152
EF,uniform,0.8,0.25,0.14,0.2767621448212649
EF,uniform,0.8,0.25,0.15,0.27701649862511457
EF,uniform,0.8,0.25,0.16,0.2772708524289642
EF,uniform,0.8,0.25,0.17,0.2775252062328139
EF,uniform,0.8,0.25,0.18,0.2777795600366636
EF,uniform,0.8,0.25,0.19,0.2780339138405133
EF,uniform,0.8,0.25,0.2,0.278288267644363
EF,uniform,0.8,0.25,0.21,0.2785426214482127
EF,uniform,0.8,0.25,0.22,0.2787969752520623
EF,uniform,0.8,0.25,0.23,0.279051329055912
EF,uniform,0.8,0.25,0.24,0.27930568285976165
EF,uniform,0.8,0.25,0.25,0.2795600366636114
EF,uniform,0.8,0.25,0.26,0.27981439046746104
EF,uniform,0.8,0.25,0.27,0.2800687442713107
EF,uniform,0.8,0.25,0.28,0.2803230980751604
EF,uniform,0.8,0.25,0.29,0.28057745187901006
EF,uniform,0.8,0.25,0.3,0.28083180568285976
EF,uniform,0.8,0.25,0.31,0.2810861594867094
EF,uniform,0.8,0.25,0.32,0.2813405132905591
EF,uniform,0.8,0.25,0.33,0.28159486709440873
EF,uniform,0.8,0.25,0.34,0.2818492208982585
EF,uniform,0.8,0.25,0.35000000000000003,0.2821035747021081
EF,uniform,0.8,0.25,0.36,0.2823579285059578
EF,uniform,0.8,0.25,0.37,0.2826122823098075
EF,uniform,0.8,0.25,0.38,0.2828666361136572
EF,uniform,0.8,0.25,0.39,0.28312098991750684
EF,uniform,0.8,0.25,0.4,0.28337534372135653
EF,uniform,0.8,0.25,0.41000000000000003,0.2836296975252062
EF,uniform,0.8,0.25,0.42,0.2838840513290559
EF,uniform,0.8,0.25,0.43,0.2841384051329056
EF,uniform,0.8,0.25,0.44,0.2843927589367553
EF,uniform,0.8,0.25,0.45,0.28464711274060495
EF,uniform,0.8,0.25,0.46,0.28490146654445464
EF,uniform,0.8,0.25,0.47000000000000003,0.28515582034830433
EF,uniform,0.8,0.25,0.48,0.285410174152154
EF,uniform,0.8,0.25,0.49,0.28566452795600367
EF,uniform,0.8,0.25,0.5,0.28591888175985336
EF,uniform,0.8,0.25,0.51,0.286173235563703
EF,uniform,0.8,0.25,0.52,0.2864275893675527
EF,uniform,0.8,0.25,0.53,0.2866819431714024
EF,uniform,0.8,0.25,0.54,0.286936296975252
EF,uniform,0.8,0.25,0.55,0.2871906507791017
EF,uniform,0.8,0.25,0.56,0.2874450045829514
EF,uniform,0.8,0.25,0.5700000000000001,0.2876993583868011
EF,uniform,0.8,0.25,0.58,0.2879537121906508
EF,uniform,0.8,0.25,0.59,0.28820806599450044
EF,uniform,0.8,0.25,0.6,0.28846241979835013
EF,uniform,0.8,0.25,0.61,0.2887167736021998
EF,uniform,0.8,0.25,0.62,0.28897112740604947
EF,uniform,0.8,0.25,0.63,0.28922548120989916
EF,uniform,0.8,0.25,0.64,0.28947983501374885
EF,uniform,0.8,0.25,0.65,0.2897341888175985
EF,uniform,0.8,0.25,0.66,0.2899885426214482
EF,uniform,0.8,0.25,0.67,0.2902428964252979
EF,uniform,0.8,0.25,0.68,0.2904972502291475
EF,uniform,0.8,0.25,0.6900000000000001,0.2907516040329972
EF,uniform,0.8,0.25,0.7000000000000001,0.2910059578368469
EF,uniform,0.8,0.25,0.71,0.2912603116406966
EF,uniform,0.8,0.25,0.72,0.2915146654445463
EF,uniform,0.8,0.25,0.73,0.29176901924839593
EF,uniform,0.8,0.25,0.74,0.2920233730522456
EF,uniform,0.8,0.25,0.75,0.2922777268560953
EF,uniform,0.8,0.25,0.76,0.29253208065994496
EF,uniform,0.8,0.25,0.77,0.29278643446379465
EF,uniform,0.8,0.25,0.78,0.29304078826764435
EF,uniform,0.8,0.25,0.79,0.29329514207149404
EF,uniform,0.8,0.25,0.8,0.29354949587534374
EF,uniform,0.8,0.25,0.81,0.2938038496791934
EF,uniform,0.8,0.25,0.8200000000000001,0.29405820348304307
EF,uniform,0.8,0.25,0.8300000000000001,0.29431255728689276
EF,uniform,0.8,0.25,0.84,0.2945669110907424
EF,uniform,0.8,0.25,0.85,0.2948212648945921
EF,uniform,0.8,0.25,0.86,0.2950756186984418
EF,uniform,0.8,0.25,0.87,0.2953299725022915
EF,uniform,0.8,0.25,0.88,0.2955843263061412
EF,uniform,0.8,0.25,0.89,0.2958386801099908
EF,uniform,0.8,0.25,0.9,0.2960930339138405
EF,uniform,0.8,0.25,0.91,0.2963473877176902
EF,uniform,0.8,0.25,0.92,0.29660174152153984
EF,uniform,0.8,0.25,0.93,0.29685609532538954
EF,uniform,0.8,0.25,0.9400000000000001,0.29711044912923923
EF,uniform,0.8,0.25,0.9500000000000001,0.2973648029330889
EF,uniform,0.8,0.25,0.96,0.29761915673693856
EF,uniform,0.8,0.25,0.97,0.29787351054078826
EF,uniform,0.8,0.25,0.98,0.2981278643446379
EF,uniform,0.8,0.25,0.99,0.2983822181484876
EF,uniform,0.8,0.25,1.0,0.2986365719523373
EF,uniform,0.8,0.5,0.0,0.32321264894592117
EF,uniform,0.8,0.5,0.01,0.32346700274977086
EF,uniform,0.8,0.5,0.02,0.3237213565536205
EF,uniform,0.8,0.5,0.03,0.3239757103574702
EF,uniform,0.8,0.5,0.04,0.3242300641613199
EF,uniform,0.8,0.5,0.05,0.3244844179651695
EF,uniform,0.8,0.5,0.06,0.3247387717690192
EF,uniform,0.8,0.5,0.07,0.3249931255728689
EF,uniform,0.8,0.5,0.08,0.3252474793767186
EF,uniform,0.8,0.5,0.09,0.3255018331805683
EF,uniform,0.8,0.5,0.1,0.325756186984418
EF,uniform,0.8,0.5,0.11,0.32601054078826763
EF,uniform,0.8,0.5,0.12,0.3262648945921173
EF,uniform,0.8,0.5,0.13,0.326519248395967
EF,uniform,0.8,0.5,0.14,0.32677360219981666
EF,uniform,0.8,0.5,0.15,0.32702795600366635
EF,uniform,0.8,0.5,0.16,0.32728230980751605
EF,uniform,0.8,0.5,0.17,0.3275366636113657
EF,uniform,0.8,0.5,0.18,0.32779101741521544
EF,uniform,0.8,0.5,0.19,0.3280453712190651
EF,uniform,0.8,0.5,0.2,0.32829972502291477
EF,uniform,0.8,0.5,0.21,0.32855407882676446
EF,uniform,0.8,0.5,0.22,0.3288084326306141
EF,uniform,0.8,0.5,0.23,0.3290627864344638
EF,uniform,0.8,0.5,0.24,0.3293171402383135
EF,uniform,0.8,0.5,0.25,0.3295714940421631
EF,uniform,0.8,0.5,0.26,0.3298258478460128
EF,uniform,0.8,0.5,0.27,0.3300802016498625
EF,uniform,0.8,0.5,0.28,0.3303345554537122
EF,uniform,0.8,0.5,0.29,0.33058890925756185
EF,uniform,0.8,0.5,0.3,0.33084326306141154
EF,uniform,0.8,0.5,0.31,0.3310976168652612
EF,uniform,0.8,0.5,0.32,0.33135197066911093
EF,uniform,0.8,0.5,0.33,0.33160632447296057
EF,uniform,0.8,0.5,0.34,0.33186067827681026
EF,uniform,0.8,0.5,0.35000000000000003,0.33211503208065996
EF,uniform,0.8,0.5,0.36,0.3323693858845096
EF,uniform,0.8,0.5,0.37,0.33262373968835934
EF,uniform,0.8,0.5,0.38,0.332878093492209
EF,uniform,0.8,0.5,0.39,0.3331324472960587
EF,uniform,0.8,0.5,0.4,0.33338680109990837
EF,uniform,0.8,0.5,0.41000000000000003,0.333641154903758
EF,uniform,0.8,0.5,0.42,0.33389550870760776
EF,uniform,0.8,0.5,0.43,0.3341498625114574
EF,uniform,0.8,0.5,0.44,0.3344042163153071
EF,uniform,0.8,0.5,0.45,0.3346585701191568
EF,uniform,0.8,0.5,0.46,0.3349129239230064
EF,uniform,0.8,0.5,0.47000000000000003,0.3351672777268561
EF,uniform,0.8,0.5,0.48,0.3354216315307058
EF,uniform,0.8,0.5,0.49,0.33567598533455545
EF,uniform,0.8,0.5,0.5,0.33593033913840514
EF,uniform,0.8,0.5,0.51,0.33618469294225484
EF,uniform,0.8,0.5,0.52,0.3364390467461045
EF,uniform,0.8,0.5,0.53,0.33669340054995417
EF,uniform,0.8,0.5,0.54,0.33694775435380386
EF,uniform,0.8,0.5,0.55,0.33720210815765356
EF,uniform,0.8,0.5,0.56,0.33745646196150325
EF,uniform,0.8,0.5,0.5700000000000001,0.3377108157653529
EF,uniform,0.8,0.5,0.58,0.33796516956920253
EF,uniform,0.8,0.5,0.59,0.3382195233730523
EF,uniform,0.8,0.5,0.6,0.3384738771769019
EF,uniform,0.8,0.5,0.61,0.3387282309807516
EF,uniform,0.8,0.5,0.62,0.3389825847846013
EF,uniform,0.8,0.5,0.63,0.33923693858845094
EF,uniform,0.8,0.5,0.64,0.33949129239230064
EF,uniform,0.8,0.5,0.65,0.33974564619615033
EF,uniform,0.8,0.5,0.66,0.34
EF,uniform,0.8,0.5,0.67,0.3402543538038497
EF,uniform,0.8,0.5,0.68,0.34050870760769936
EF,uniform,0.8,0.5,0.6900000000000001,0.34076306141154905
EF,uniform,0.8,0.5,0.7000000000000001,0.34101741521539874
EF,uniform,0.8,0.5,0.71,0.34127176901924844
EF,uniform,0.8,0.5,0.72,0.34152612282309813
EF,uniform,0.8,0.5,0.73,0.34178047662694777
EF,uniform,0.8,0.5,0.74,0.34203483043079747
EF,uniform,0.8,0.5,0.75,0.34228918423464716
EF,uniform,0.8,0.5,0.76,0.3425435380384968
EF,uniform,0.8,0.5,0.77,0.3427978918423465
EF,uniform,0.8,0.5,0.78,0.3430522456461962
EF,uniform,0.8,0.5,0.79,0.3433065994500458
EF,uniform,0.8,0.5,0.8,0.3435609532538955
EF,uniform,0.8,0.5,0.81,0.3438153070577452
EF,uniform,0.8,0.5,0.8200000000000001,0.34406966086159485
EF,uniform,0.8,0.5,0.8300000000000001,0.34432401466544454
EF,uniform,0.8,0.5,0.84,0.34457836846929424
EF,uniform,0.8,0.5,0.85,0.34483272227314393
EF,uniform,0.8,0.5,0.86,0.3450870760769936
EF,uniform,0.8,0.5,0.87,0.34534142988084326
EF,uniform,0.8,0.5,0.88,0.34559578368469296
EF,uniform,0.8,0.5,0.89,0.34585013748854265
EF,uniform,0.8,0.5,0.9,0.3461044912923923
EF,uniform,0.8,0.5,0.91,0.346358845096242
EF,uniform,0.8,0.5,0.92,0.3466131989000917
EF,uniform,0.8,0.5,0.93,0.3468675527039414
EF,uniform,0.8,0.5,0.9400000000000001,0.347121906507791
EF,uniform,0.8,0.5,0.9500000000000001,0.3473762603116407
EF,uniform,0.8,0.5,0.96,0.3476306141154904
EF,uniform,0.8,0.5,0.97,0.3478849679193401
EF,uniform,0.8,0.5,0.98,0.3481393217231898
EF,uniform,0.8,0.5,0.99,0.3483936755270394
EF,uniform,0.8,0.5,1.0,0.3486480293308891
EF,uniform,0.9,0.1,0.0,0.30100824931255726
EF,uniform,0.9,0.1,0.01,0.30124656278643447
EF,uniform,0.9,0.1,0.02,0.3014848762603116
EF,uniform,0.9,0.1,0.03,0.30172318973418877
EF,uniform,0.9,0.1,0.04,0.3019615032080659
EF,uniform,0.9,0.1,0.05,0.3021998166819431
EF,uniform,0.9,0.1,0.06,0.30243813015582033
EF,uniform,0.9,0.1,0.07,0.3026764436296975
EF,uniform,0.9,0.1,0.08,0.3029147571035747
EF,uniform,0.9,0.1,0.09,0.3031530705774519
EF,uniform,0.9,0.1,0.1,0.30339138405132904
EF,uniform,0.9,0.1,0.11,0.30362969752520624
EF,uniform,0.9,0.1,0.12,0.30386801099908334
EF,uniform,0.9,0.1,0.13,0.30410632447296054
EF,uniform,0.9,0.1,0.14,0.30434463794683775
EF,uniform,0.9,0.1,0.15,0.3045829514207149
EF,uniform,0.9,0.1,0.16,0.3048212648945921
EF,uniform,0.9,0.1,0.17,0.30505957836846925
EF,uniform,0.9,0.1,0.18,0.30529789184234646
EF,uniform,0.9,0.1,0.19,0.30553620531622366
EF,uniform,0.9,0.1,0.2,0.3057745187901008
EF,uniform,0.9,0.1,0.21,0.306012832263978
EF,uniform,0.9,0.1,0.22,0.30625114573785517
EF,uniform,0.9,0.1,0.23,0.3064894592117323
EF,uniform,0.9,0.1,0.24,0.3067277726856095
EF,uniform,0.9,0.1,0.25,0.30696608615948673
EF,uniform,0.9,0.1,0.26,0.3072043996333639
EF,uniform,0.9,0.1,0.27,0.30744271310724103
EF,uniform,0.9,0.1,0.28,0.3076810265811182
EF,uniform,0.9,0.1,0.29,0.3079193400549954
EF,uniform,0.9,0.1,0.3,0.3081576535288726
EF,uniform,0.9,0.1,0.31,0.30839596700274974
EF,uniform,0.9,0.1,0.32,0.3086342804766269
EF,uniform,0.9,0.1,0.33,0.3088725939505041
EF,uniform,0.9,0.1,0.34,0.30911090742438124
EF,uniform,0.9,0.1,0.35000000000000003,0.30934922089825845
EF,uniform,0.9,0.1,0.36,0.30958753437213565
EF,uniform,0.9,0.1,0.37,0.3098258478460128
EF,uniform,0.9,0.1,0.38,0.31006416131989
EF,uniform,0.9,0.1,0.39,0.31030247479376716
EF,uniform,0.9,0.1,0.4,0.3105407882676443
EF,uniform,0.9,0.1,0.41000000000000003,0.3107791017415215
EF,uniform,0.9,0.1,0.42,0.3110174152153987
EF,uniform,0.9,0.1,0.43,0.31125572868927587
EF,uniform,0.9,0.1,0.44,0.3114940421631531
EF,uniform,0.9,0.1,0.45,0.3117323556370303
EF,uniform,0.9,0.1,0.46,0.31197066911090743
