omitted,mean_difference,ci_low,ci_high,wins,losses,p
recovery,0.010494201070795805,0.00833613257887933,0.012565215557741927,10,0,0.001953125
brier,0.0018385435062105437,0.0006182034495649122,0.0033828683787040657,9,1,0.009765625
interior,0.0008277360941595258,-9.321077652791692e-05,0.002024161622604785,6,4,0.275390625
auc,0.0022874182971467484,0.0005859495798277029,0.004204583592226069,8,2,0.064453125
