grouping,groups,n_groups,seed,method,macro_auroc,accuracy
random_01,"[[15, 12, 14, 7], [10, 11, 9, 8], [4, 5, 1, 6], [3, 13, 2, 0]]",4,102,PDRF,0.8379889027289976,0.5382676443629697
random_01,"[[15, 12, 14, 7], [10, 11, 9, 8], [4, 5, 1, 6], [3, 13, 2, 0]]",4,103,CAGF,0.8389868381292028,0.5536205316223648
random_01,"[[15, 12, 14, 7], [10, 11, 9, 8], [4, 5, 1, 6], [3, 13, 2, 0]]",4,103,PDRF,0.8305058242221586,0.5341429880843263
random_01,"[[15, 12, 14, 7], [10, 11, 9, 8], [4, 5, 1, 6], [3, 13, 2, 0]]",4,104,CAGF,0.8337231733803189,0.5219981668194317
random_01,"[[15, 12, 14, 7], [10, 11, 9, 8], [4, 5, 1, 6], [3, 13, 2, 0]]",4,104,PDRF,0.8484437692082804,0.5637030247479377
random_01,"[[15, 12, 14, 7], [10, 11, 9, 8], [4, 5, 1, 6], [3, 13, 2, 0]]",4,105,CAGF,0.8238256777130665,0.5091659028414299
random_01,"[[15, 12, 14, 7], [10, 11, 9, 8], [4, 5, 1, 6], [3, 13, 2, 0]]",4,105,PDRF,0.853534987620504,0.5627864344637947
random_02,"[[15, 1, 10, 9], [14, 0, 11, 8], [4, 7, 12, 13], [6, 5, 2, 3]]",4,101,CAGF,0.8442696380620521,0.5368927589367553
random_02,"[[15, 1, 10, 9], [14, 0, 11, 8], [4, 7, 12, 13], [6, 5, 2, 3]]",4,101,PDRF,0.8147866350284222,0.5128322639780019
random_02,"[[15, 1, 10, 9], [14, 0, 11, 8], [4, 7, 12, 13], [6, 5, 2, 3]]",4,102,CAGF,0.8152310218375081,0.4894592117323556
random_02,"[[15, 1, 10, 9], [14, 0, 11, 8], [4, 7, 12, 13], [6, 5, 2, 3]]",4,102,PDRF,0.8382731058592238,0.5444546287809349
random_02,"[[15, 1, 10, 9], [14, 0, 11, 8], [4, 7, 12, 13], [6, 5, 2, 3]]",4,103,CAGF,0.7911424731453455,0.49885426214482126
random_02,"[[15, 1, 10, 9], [14, 0, 11, 8], [4, 7, 12, 13], [6, 5, 2, 3]]",4,103,PDRF,0.833837157414916,0.5673693858845096
random_02,"[[15, 1, 10, 9], [14, 0, 11, 8], [4, 7, 12, 13], [6, 5, 2, 3]]",4,104,CAGF,0.8084523288247717,0.5084784601283227
random_02,"[[15, 1, 10, 9], [14, 0, 11, 8], [4, 7, 12, 13], [6, 5, 2, 3]]",4,104,PDRF,0.8476409141290225,0.5483501374885427
random_02,"[[15, 1, 10, 9], [14, 0, 11, 8], [4, 7, 12, 13], [6, 5, 2, 3]]",4,105,CAGF,0.8165405302482216,0.513519706691109
random_02,"[[15, 1, 10, 9], [14, 0, 11, 8], [4, 7, 12, 13], [6, 5, 2, 3]]",4,105,PDRF,0.8275954643524703,0.5334555453712191
random_03,"[[5, 9, 0, 3], [11, 12, 6, 15], [7, 8, 10, 4], [14, 1, 13, 2]]",4,101,CAGF,0.8353748991729647,0.5469752520623281
random_03,"[[5, 9, 0, 3], [11, 12, 6, 15], [7, 8, 10, 4], [14, 1, 13, 2]]",4,101,PDRF,0.8698211915144509,0.6184692942254812
random_03,"[[5, 9, 0, 3], [11, 12, 6, 15], [7, 8, 10, 4], [14, 1, 13, 2]]",4,102,CAGF,0.8290602339406966,0.5297891842346472
random_03,"[[5, 9, 0, 3], [11, 12, 6, 15], [7, 8, 10, 4], [14, 1, 13, 2]]",4,102,PDRF,0.8467788560870594,0.5549954170485792
random_03,"[[5, 9, 0, 3], [11, 12, 6, 15], [7, 8, 10, 4], [14, 1, 13, 2]]",4,103,CAGF,0.8795247997157012,0.6097616865261228
random_03,"[[5, 9, 0, 3], [11, 12, 6, 15], [7, 8, 10, 4], [14, 1, 13, 2]]",4,103,PDRF,0.8520032773771816,0.5802016498625114
random_03,"[[5, 9, 0, 3], [11, 12, 6, 15], [7, 8, 10, 4], [14, 1, 13, 2]]",4,104,CAGF,0.8471526422305024,0.580659945004583
random_03,"[[5, 9, 0, 3], [11, 12, 6, 15], [7, 8, 10, 4], [14, 1, 13, 2]]",4,104,PDRF,0.8557779413469113,0.5921173235563703
random_03,"[[5, 9, 0, 3], [11, 12, 6, 15], [7, 8, 10, 4], [14, 1, 13, 2]]",4,105,CAGF,0.8087494548595563,0.5080201649862511
random_03,"[[5, 9, 0, 3], [11, 12, 6, 15], [7, 8, 10, 4], [14, 1, 13, 2]]",4,105,PDRF,0.8532451388474008,0.5916590284142988
random_04,"[[13, 7, 1, 10], [8, 14, 2, 15], [6, 3, 4, 12], [11, 9, 0, 5]]",4,101,CAGF,0.8560814786692795,0.5572868927589367
random_04,"[[13, 7, 1, 10], [8, 14, 2, 15], [6, 3, 4, 12], [11, 9, 0, 5]]",4,101,PDRF,0.8547752416461368,0.5893675527039414
random_04,"[[13, 7, 1, 10], [8, 14, 2, 15], [6, 3, 4, 12], [11, 9, 0, 5]]",4,102,CAGF,0.8218146932905862,0.5128322639780019
random_04,"[[13, 7, 1, 10], [8, 14, 2, 15], [6, 3, 4, 12], [11, 9, 0, 5]]",4,102,PDRF,0.8439313196629713,0.5737855178735105
random_04,"[[13, 7, 1, 10], [8, 14, 2, 15], [6, 3, 4, 12], [11, 9, 0, 5]]",4,103,CAGF,0.8361085570619414,0.5602658111824015
random_04,"[[13, 7, 1, 10], [8, 14, 2, 15], [6, 3, 4, 12], [11, 9, 0, 5]]",4,103,PDRF,0.8344236655174745,0.5648487626031164
random_04,"[[13, 7, 1, 10], [8, 14, 2, 15], [6, 3, 4, 12], [11, 9, 0, 5]]",4,104,CAGF,0.8380724283174269,0.5536205316223648
random_04,"[[13, 7, 1, 10], [8, 14, 2, 15], [6, 3, 4, 12], [11, 9, 0, 5]]",4,104,PDRF,0.8541937586746752,0.5914298808432631
random_04,"[[13, 7, 1, 10], [8, 14, 2, 15], [6, 3, 4, 12], [11, 9, 0, 5]]",4,105,CAGF,0.8343187264667624,0.5414757103574702
random_04,"[[13, 7, 1, 10], [8, 14, 2, 15], [6, 3, 4, 12], [11, 9, 0, 5]]",4,105,PDRF,0.8569105356802574,0.5928047662694775
random_05,"[[0, 1, 12, 9], [10, 3, 15, 6], [4, 8, 5, 2], [13, 14, 7, 11]]",4,101,CAGF,0.8427897677559267,0.5655362053162236
random_05,"[[0, 1, 12, 9], [10, 3, 15, 6], [4, 8, 5, 2], [13, 14, 7, 11]]",4,101,PDRF,0.8109856488801722,0.538955087076077
random_05,"[[0, 1, 12, 9], [10, 3, 15, 6], [4, 8, 5, 2], [13, 14, 7, 11]]",4,102,CAGF,0.8040754725555117,0.5054995417048579
random_05,"[[0, 1, 12, 9], [10, 3, 15, 6], [4, 8, 5, 2], [13, 14, 7, 11]]",4,102,PDRF,0.8663420625967649,0.6024289642529789
random_05,"[[0, 1, 12, 9], [10, 3, 15, 6], [4, 8, 5, 2], [13, 14, 7, 11]]",4,103,CAGF,0.7818067113313901,0.5075618698441796
random_05,"[[0, 1, 12, 9], [10, 3, 15, 6], [4, 8, 5, 2], [13, 14, 7, 11]]",4,103,PDRF,0.8215132947465195,0.5527039413382218
