task,test_index,nearest_train_index,same_class,euclidean_distance,cosine_similarity
cooler,409,188,True,3.9883501529693604,0.9780713319778442
cooler,410,173,True,3.2742137908935547,0.9910799264907837
cooler,411,265,True,2.8936989307403564,0.9931148886680603
cooler,412,178,True,5.982260704040527,0.9470597505569458
cooler,413,193,True,2.4218881130218506,0.9950927495956421
cooler,414,276,True,2.376769542694092,0.9953616857528687
cooler,415,194,True,2.784815549850464,0.9926244020462036
cooler,416,267,True,2.412757635116577,0.995212197303772
cooler,417,264,True,2.669489622116089,0.9940627217292786
cooler,418,266,True,2.8581302165985107,0.9932125806808472
cooler,419,276,True,2.684804916381836,0.9942246079444885
cooler,420,198,True,2.4627292156219482,0.9952877759933472
cooler,421,262,True,4.715825080871582,0.9939652681350708
cooler,422,129,True,9.990596771240234,0.9425761699676514
cooler,423,172,True,5.082859039306641,0.9708442687988281
cooler,424,190,True,4.614602565765381,0.9820351004600525
cooler,425,272,True,2.7553863525390625,0.9936272501945496
cooler,426,178,True,7.303081035614014,0.9242067337036133
cooler,427,193,True,2.372809410095215,0.9953402280807495
cooler,428,270,True,2.581705331802368,0.9945481419563293
cooler,429,267,True,2.5878541469573975,0.9945009350776672
cooler,430,195,True,3.1095693111419678,0.9859822988510132
cooler,431,193,True,2.6401309967041016,0.994199275970459
cooler,432,270,True,2.751427173614502,0.9937585592269897
cooler,433,198,True,2.4236810207366943,0.9951124787330627
cooler,434,198,True,2.4975204467773438,0.9946821928024292
cooler,435,198,True,2.576279401779175,0.9942863583564758
cooler,436,264,True,2.918518304824829,0.992899477481842
cooler,437,194,True,3.0843560695648193,0.9908350110054016
cooler,438,198,True,2.6310737133026123,0.9942988157272339
cooler,439,198,True,2.7361583709716797,0.9935973882675171
cooler,440,200,True,4.232390403747559,0.9893466234207153
cooler,441,217,True,3.4071123600006104,0.9923275113105774
cooler,442,201,True,2.937593698501587,0.9901512861251831
cooler,443,223,True,2.9101643562316895,0.9908096194267273
cooler,444,219,True,2.865112781524658,0.9901778101921082
cooler,445,219,True,2.7191483974456787,0.9923086166381836
cooler,446,209,True,2.592012643814087,0.9934707880020142
cooler,447,214,True,2.541367292404175,0.993208110332489
cooler,448,219,True,2.3737144470214844,0.9959255456924438
cooler,449,180,True,6.19923734664917,0.9694042801856995
cooler,450,213,True,5.1574273109436035,0.9758559465408325
cooler,451,211,True,4.7522382736206055,0.9785526990890503
cooler,452,201,True,2.3566746711730957,0.9933586120605469
cooler,453,210,True,4.423959255218506,0.9754457473754883
cooler,454,211,True,4.2051005363464355,0.983366847038269
cooler,455,226,True,3.1724026203155518,0.9873709678649902
cooler,456,213,True,3.6489319801330566,0.9856132864952087
cooler,457,226,True,2.9460866451263428,0.9873643517494202
cooler,458,226,True,3.06422758102417,0.9884898662567139
cooler,459,227,True,3.3248400688171387,0.9840725064277649
cooler,460,226,True,4.3734893798828125,0.9706141948699951
cooler,461,228,True,4.038842678070068,0.979893684387207
cooler,462,211,True,3.778992176055908,0.9821540117263794
cooler,463,228,True,5.12863826751709,0.9676992893218994
cooler,464,211,True,5.118988990783691,0.9655492305755615
cooler,465,227,True,5.094634056091309,0.95694899559021
cooler,466,226,True,4.719674110412598,0.9689439535140991
cooler,467,228,True,4.042901515960693,0.9753658175468445
cooler,468,226,True,4.1749186515808105,0.9736524820327759
cooler,469,229,True,2.9885382652282715,0.9848461151123047
cooler,470,217,True,2.1734423637390137,0.9940068125724792
cooler,471,227,True,2.491791248321533,0.9895869493484497
cooler,472,220,True,3.496075391769409,0.9785608053207397
cooler,473,233,True,2.368067741394043,0.9910793304443359
cooler,474,231,True,2.1724610328674316,0.9921292066574097
cooler,475,227,True,4.399574279785156,0.9647048711776733
cooler,476,228,True,4.169860363006592,0.9706000089645386
cooler,477,227,True,2.4984261989593506,0.9887779951095581
cooler,478,229,True,2.668384313583374,0.986926257610321
cooler,479,220,True,2.7023544311523438,0.9872959852218628
cooler,889,676,True,1.840946912765503,0.9377245306968689
cooler,890,734,True,3.2491774559020996,0.9039573073387146
cooler,891,663,True,3.151858329772949,0.8955197334289551
cooler,892,706,True,3.118884801864624,0.8555124402046204
cooler,893,658,True,2.4090077877044678,0.8933300375938416
cooler,894,672,True,1.6746026277542114,0.9516358375549316
cooler,895,673,True,2.1119585037231445,0.9023197889328003
cooler,896,663,True,2.3521783351898193,0.9314793944358826
cooler,897,668,True,2.2008049488067627,0.9300891160964966
cooler,898,663,True,2.803546667098999,0.9527989029884338
cooler,899,659,True,2.318643808364868,0.8993022441864014
cooler,900,665,True,2.206249237060547,0.8956655263900757
cooler,901,628,True,2.4017677307128906,0.9042230844497681
cooler,902,663,True,1.9804582595825195,0.9584170579910278
cooler,903,663,True,2.2013111114501953,0.9515554904937744
cooler,904,658,True,2.8318233489990234,0.8591761589050293
cooler,905,734,True,2.727536678314209,0.90981125831604
cooler,906,663,True,2.1459310054779053,0.9437618255615234
cooler,907,658,True,1.7525609731674194,0.9466195106506348
cooler,908,627,True,2.979062557220459,0.9322696328163147
