seed,method,subset,metric,value,n
104,RO-PDRF,assigned,macro_auprc,0.5084275561646918,1765
104,RO-PDRF,assigned,nll,2.9846043812566334,1765
104,RO-PDRF,assigned,brier,0.8474269318505615,1765
104,RO-PDRF,assigned,ece15,0.37051991001953544,1765
105,CAGF,assigned,accuracy,0.47195467422096316,1765
105,CAGF,assigned,macro_f1,0.4581109782694781,1765
105,CAGF,assigned,macro_auroc,0.7956014525147026,1765
105,CAGF,assigned,macro_auprc,0.5200464314154593,1765
105,CAGF,assigned,nll,2.8381718350888807,1765
105,CAGF,assigned,brier,0.8550422040161362,1765
105,CAGF,assigned,ece15,0.37405864708618075,1765
105,PDRF,assigned,accuracy,0.4679886685552408,1765
105,PDRF,assigned,macro_f1,0.4653120292873358,1765
105,PDRF,assigned,macro_auroc,0.7950469773378895,1765
105,PDRF,assigned,macro_auprc,0.5349130788715498,1765
105,PDRF,assigned,nll,2.658148902310408,1765
105,PDRF,assigned,brier,0.7943974865588307,1765
105,PDRF,assigned,ece15,0.3225582832492303,1765
105,RO-CAGF,assigned,accuracy,0.45155807365439093,1765
105,RO-CAGF,assigned,macro_f1,0.43897637976034704,1765
105,RO-CAGF,assigned,macro_auroc,0.7798716256654333,1765
105,RO-CAGF,assigned,macro_auprc,0.47575969849397887,1765
105,RO-CAGF,assigned,nll,2.089195004908054,1765
105,RO-CAGF,assigned,brier,0.7965335021833987,1765
105,RO-CAGF,assigned,ece15,0.29343414789384903,1765
105,RO-PDRF,assigned,accuracy,0.484985835694051,1765
105,RO-PDRF,assigned,macro_f1,0.4659212281305476,1765
105,RO-PDRF,assigned,macro_auroc,0.8056656279935911,1765
105,RO-PDRF,assigned,macro_auprc,0.5249347885687509,1765
105,RO-PDRF,assigned,nll,2.5787152413442707,1765
105,RO-PDRF,assigned,brier,0.817281969872261,1765
105,RO-PDRF,assigned,ece15,0.3355592154138708,1765
106,CAGF,assigned,accuracy,0.543342776203966,1765
106,CAGF,assigned,macro_f1,0.5147936875085862,1765
106,CAGF,assigned,macro_auroc,0.8360167532053234,1765
106,CAGF,assigned,macro_auprc,0.5681631142815394,1765
106,CAGF,assigned,nll,1.615938725797928,1765
106,CAGF,assigned,brier,0.6437158306103836,1765
106,CAGF,assigned,ece15,0.1827160381510928,1765
106,PDRF,assigned,accuracy,0.4810198300283286,1765
106,PDRF,assigned,macro_f1,0.47291716008094054,1765
106,PDRF,assigned,macro_auroc,0.7989605187289753,1765
106,PDRF,assigned,macro_auprc,0.523426986018986,1765
106,PDRF,assigned,nll,3.8601231998571115,1765
106,PDRF,assigned,brier,0.8730189394054887,1765
106,PDRF,assigned,ece15,0.39471220319894473,1765
106,RO-CAGF,assigned,accuracy,0.49745042492917846,1765
106,RO-CAGF,assigned,macro_f1,0.49087655408923386,1765
106,RO-CAGF,assigned,macro_auroc,0.8020284169144482,1765
106,RO-CAGF,assigned,macro_auprc,0.5292741422679476,1765
106,RO-CAGF,assigned,nll,2.6517091562483666,1765
106,RO-CAGF,assigned,brier,0.8051006404762837,1765
106,RO-CAGF,assigned,ece15,0.3254054193794984,1765
106,RO-PDRF,assigned,accuracy,0.4889518413597734,1765
106,RO-PDRF,assigned,macro_f1,0.477539089178419,1765
106,RO-PDRF,assigned,macro_auroc,0.8086708645611083,1765
106,RO-PDRF,assigned,macro_auprc,0.5379333146186326,1765
106,RO-PDRF,assigned,nll,3.1783662761437945,1765
106,RO-PDRF,assigned,brier,0.8316516831790843,1765
106,RO-PDRF,assigned,ece15,0.37223881172023743,1765
107,CAGF,assigned,accuracy,0.43796033994334277,1765
107,CAGF,assigned,macro_f1,0.4330027234396321,1765
107,CAGF,assigned,macro_auroc,0.7874376690536468,1765
107,CAGF,assigned,macro_auprc,0.49825635032953425,1765
107,CAGF,assigned,nll,2.2241743486669625,1765
107,CAGF,assigned,brier,0.8037602798099722,1765
107,CAGF,assigned,ece15,0.31771049757689196,1765
107,PDRF,assigned,accuracy,0.4668555240793201,1765
107,PDRF,assigned,macro_f1,0.4628436203859274,1765
107,PDRF,assigned,macro_auroc,0.7878097532217896,1765
107,PDRF,assigned,macro_auprc,0.5144922200087549,1765
107,PDRF,assigned,nll,3.066718649547653,1765
107,PDRF,assigned,brier,0.8390991314723855,1765
107,PDRF,assigned,ece15,0.36006666312926205,1765
107,RO-CAGF,assigned,accuracy,0.48158640226628896,1765
107,RO-CAGF,assigned,macro_f1,0.4725961883547594,1765
107,RO-CAGF,assigned,macro_auroc,0.8049461600699296,1765
107,RO-CAGF,assigned,macro_auprc,0.5022809855811916,1765
107,RO-CAGF,assigned,nll,1.8859694424266076,1765
107,RO-CAGF,assigned,brier,0.7462418576445116,1765
107,RO-CAGF,assigned,ece15,0.2607320601472465,1765
107,RO-PDRF,assigned,accuracy,0.4963172804532578,1765
107,RO-PDRF,assigned,macro_f1,0.4839313625694441,1765
107,RO-PDRF,assigned,macro_auroc,0.811069450195803,1765
107,RO-PDRF,assigned,macro_auprc,0.5432756937497726,1765
107,RO-PDRF,assigned,nll,2.3968929546177065,1765
107,RO-PDRF,assigned,brier,0.7867632152578379,1765
107,RO-PDRF,assigned,ece15,0.32448874976157016,1765
108,CAGF,assigned,accuracy,0.5138810198300283,1765
108,CAGF,assigned,macro_f1,0.4982084982973582,1765
108,CAGF,assigned,macro_auroc,0.8202073300591287,1765
108,CAGF,assigned,macro_auprc,0.5443068137571759,1765
108,CAGF,assigned,nll,1.8116995339622108,1765
108,CAGF,assigned,brier,0.7025434242446382,1765
108,CAGF,assigned,ece15,0.2194682185866853,1765
108,PDRF,assigned,accuracy,0.5042492917847026,1765
108,PDRF,assigned,macro_f1,0.5028899716976313,1765
108,PDRF,assigned,macro_auroc,0.8011954393729647,1765
108,PDRF,assigned,macro_auprc,0.5221901770950287,1765
108,PDRF,assigned,nll,2.9338528723483575,1765
108,PDRF,assigned,brier,0.8129611784291151,1765
108,PDRF,assigned,ece15,0.3457793302578322,1765
108,RO-CAGF,assigned,accuracy,0.5167138810198301,1765
108,RO-CAGF,assigned,macro_f1,0.5051874899319984,1765
108,RO-CAGF,assigned,macro_auroc,0.8225019050072282,1765
108,RO-CAGF,assigned,macro_auprc,0.5477477632681512,1765
108,RO-CAGF,assigned,nll,1.9426229247398052,1765
108,RO-CAGF,assigned,brier,0.7359054854187165,1765
108,RO-CAGF,assigned,ece15,0.26086867733678976,1765
108,RO-PDRF,assigned,accuracy,0.511614730878187,1765
108,RO-PDRF,assigned,macro_f1,0.5038859554148747,1765
108,RO-PDRF,assigned,macro_auroc,0.8164679317780664,1765
108,RO-PDRF,assigned,macro_auprc,0.5409378169482968,1765
108,RO-PDRF,assigned,nll,2.4940696666873863,1765
108,RO-PDRF,assigned,brier,0.7704150540526913,1765
108,RO-PDRF,assigned,ece15,0.3255504470243671,1765
109,CAGF,assigned,accuracy,0.47195467422096316,1765
109,CAGF,assigned,macro_f1,0.4520400580461392,1765
109,CAGF,assigned,macro_auroc,0.7865373863388108,1765
109,CAGF,assigned,macro_auprc,0.49108503721293584,1765
109,CAGF,assigned,nll,1.7395523493450582,1765
109,CAGF,assigned,brier,0.7310447342233539,1765
109,CAGF,assigned,ece15,0.218371789849453,1765
109,PDRF,assigned,accuracy,0.4912181303116147,1765
109,PDRF,assigned,macro_f1,0.48660424356086435,1765
109,PDRF,assigned,macro_auroc,0.7994194722333643,1765
109,PDRF,assigned,macro_auprc,0.5202563739786258,1765
109,PDRF,assigned,nll,3.5838973978594755,1765
109,PDRF,assigned,brier,0.8426108902010718,1765
109,PDRF,assigned,ece15,0.37560716172910436,1765
109,RO-CAGF,assigned,accuracy,0.45609065155807366,1765
