method,metric,mean,ci_low,ci_high,n_seeds
ENT-PD,macro_auroc,0.754107394870536,0.744347616900144,0.7638671728409281,10
ENT-PD,macro_auprc,0.46670205129811604,0.452496840569548,0.4809072620266841,10
ENT-PD,nll,2.84772470009377,2.6742504660112245,3.0211989341763155,10
ENT-PD,brier,0.8560880560667012,0.839917925476973,0.8722581866564295,10
ENT-PD,ece15,0.3481880956660249,0.3331005018125393,0.36327568951951045,10
ModDrop-SD,macro_auroc,0.706354658743445,0.6987223788114213,0.7139869386754688,10
ModDrop-SD,macro_auprc,0.38002570506590444,0.36574698888418444,0.39430442124762444,10
ModDrop-SD,nll,4.677123339239238,4.13890869878965,5.215337979688827,10
ModDrop-SD,brier,1.033278219317703,0.9998897898579563,1.0666666487774497,10
ModDrop-SD,ece15,0.4633657057790175,0.4370495554563125,0.48968185610172243,10
RO-AT-GATE,macro_auroc,0.7841199768460659,0.7635986009680592,0.8046413527240727,10
RO-AT-GATE,macro_auprc,0.5042652003733458,0.4811029839527334,0.5274274167939582,10
RO-AT-GATE,nll,1.8260625967453965,1.5775036724372717,2.0746215210535213,10
RO-AT-GATE,brier,0.7356331004125154,0.6918093075097941,0.7794568933152367,10
RO-AT-GATE,ece15,0.21023135770734913,0.15967855729223848,0.2607841581224598,10
RO-CAGF,macro_auroc,0.7969347900764328,0.7814119679492288,0.8124576122036367,10
RO-CAGF,macro_auprc,0.5123764093039425,0.4857672135217923,0.5389856050860926,10
RO-CAGF,nll,2.0706823791286015,1.8587246805034037,2.282640077753799,10
RO-CAGF,brier,0.7699519160534105,0.7301272363814628,0.8097765957253582,10
RO-CAGF,ece15,0.27453697950492156,0.24065213573822108,0.30842182327162204,10
PDRF+CD,macro_auroc,0.8023150010083662,0.7963832332916433,0.808246768725089,10
PDRF+CD,macro_auprc,0.5262291423658348,0.5149072155753688,0.5375510691563009,10
PDRF+CD,nll,2.717401550656679,2.4687086290171845,2.9660944722961737,10
PDRF+CD,brier,0.809499627250017,0.7842369888029723,0.8347622656970617,10
PDRF+CD,ece15,0.3416030871446004,0.3184435709168979,0.36476260337230293,10
PDRF+EMA-CD,macro_auroc,0.8029967099770505,0.7961665496593329,0.8098268702947682,10
PDRF+EMA-CD,macro_auprc,0.5248082156937611,0.5137461016206537,0.5358703297668685,10
PDRF+EMA-CD,nll,2.4557120898656937,2.2923907129954704,2.619033466735917,10
PDRF+EMA-CD,brier,0.7995779340657999,0.7842818154997042,0.8148740526318956,10
PDRF+EMA-CD,ece15,0.3277158307311555,0.3144862504916324,0.3409454109706786,10
RO-PDRF,macro_auroc,0.8042807070149781,0.7975854583425853,0.8109759556873709,10
RO-PDRF,macro_auprc,0.5254328379286616,0.5148395289209036,0.5360261469364196,10
RO-PDRF,nll,2.6502918628609295,2.407680449632079,2.89290327608978,10
RO-PDRF,brier,0.8090224759029461,0.7864639221437091,0.8315810296621831,10
RO-PDRF,ece15,0.3422019377443675,0.32310344199126845,0.3613004334974666,10
RO-PDRF-EMA,macro_auroc,0.8058740851403471,0.7994492930161176,0.8122988772645766,10
RO-PDRF-EMA,macro_auprc,0.527330837238952,0.5162452915331432,0.5384163829447608,10
RO-PDRF-EMA,nll,2.413437273039747,2.248533743619456,2.578340802460038,10
RO-PDRF-EMA,brier,0.792224671574408,0.7741713578176623,0.8102779853311537,10
RO-PDRF-EMA,ece15,0.3214927646289804,0.30635834924628397,0.33662718001167685,10
RO-PDRF-CAL,macro_auroc,0.8044348032243931,0.7984486826921317,0.8104209237566545,10
RO-PDRF-CAL,macro_auprc,0.5278531079802858,0.5177299457665637,0.537976270194008,10
RO-PDRF-CAL,nll,2.6812675591312347,2.4194221830924594,2.94311293517001,10
RO-PDRF-CAL,brier,0.8088804219219783,0.7834806512074552,0.8342801926365013,10
RO-PDRF-CAL,ece15,0.3415558278974325,0.31864845167908207,0.3644632041157829,10
