seed,fault_type,method,subset,metric,value,n
101,gaussian,SR-PDRF-Safe,assigned_unavailable,macro_f1,0.5194350838792736,329
101,gaussian,SR-PDRF-Safe,assigned_unavailable,macro_auroc,0.8412516482975717,329
101,gaussian,SR-PDRF-Safe,assigned_unavailable,macro_auprc,0.6272929011749923,329
101,gaussian,SR-PDRF-Safe,assigned_unavailable,nll,2.317262559091766,329
101,gaussian,SR-PDRF-Safe,assigned_unavailable,brier,0.7526857493741526,329
101,gaussian,SR-PDRF-Safe,assigned_unavailable,ece15,0.33123851963814266,329
101,gaussian,PDRF,unaffected,accuracy,0.5952289342054636,2599
101,gaussian,PDRF,unaffected,macro_f1,0.5678425090401407,2599
101,gaussian,PDRF,unaffected,macro_auroc,0.8707090628307216,2599
101,gaussian,PDRF,unaffected,macro_auprc,0.6525005468297764,2599
101,gaussian,PDRF,unaffected,nll,1.8167823182321787,2599
101,gaussian,PDRF,unaffected,brier,0.6316594640550582,2599
101,gaussian,PDRF,unaffected,ece15,0.24570131812154355,2599
101,gaussian,RO-PDRF-Full,unaffected,accuracy,0.5852250865717584,2599
101,gaussian,RO-PDRF-Full,unaffected,macro_f1,0.5587407928915825,2599
101,gaussian,RO-PDRF-Full,unaffected,macro_auroc,0.8649073922656622,2599
101,gaussian,RO-PDRF-Full,unaffected,macro_auprc,0.6330105770015481,2599
101,gaussian,RO-PDRF-Full,unaffected,nll,1.7314622711746674,2599
101,gaussian,RO-PDRF-Full,unaffected,brier,0.6391555720070532,2599
101,gaussian,RO-PDRF-Full,unaffected,ece15,0.23947082220842952,2599
101,gaussian,SR-PDRF-Balanced,unaffected,accuracy,0.5944594074644094,2599
101,gaussian,SR-PDRF-Balanced,unaffected,macro_f1,0.5671737265103304,2599
101,gaussian,SR-PDRF-Balanced,unaffected,macro_auroc,0.8696661200490263,2599
101,gaussian,SR-PDRF-Balanced,unaffected,macro_auprc,0.6415190513374517,2599
101,gaussian,SR-PDRF-Balanced,unaffected,nll,1.7123049065976872,2599
101,gaussian,SR-PDRF-Balanced,unaffected,brier,0.6309680616583296,2599
101,gaussian,SR-PDRF-Balanced,unaffected,ece15,0.23824567976434585,2599
101,gaussian,SR-PDRF-Safe,unaffected,accuracy,0.5944594074644094,2599
101,gaussian,SR-PDRF-Safe,unaffected,macro_f1,0.5671875675302885,2599
101,gaussian,SR-PDRF-Safe,unaffected,macro_auroc,0.8699590332982291,2599
101,gaussian,SR-PDRF-Safe,unaffected,macro_auprc,0.6422729889511888,2599
101,gaussian,SR-PDRF-Safe,unaffected,nll,1.72996722984314,2599
101,gaussian,SR-PDRF-Safe,unaffected,brier,0.6315306115270144,2599
101,gaussian,SR-PDRF-Safe,unaffected,ece15,0.24065330657834227,2599
101,gaussian,PDRF,all,accuracy,0.5527039413382218,4364
101,gaussian,PDRF,all,macro_f1,0.5334262086412084,4364
101,gaussian,PDRF,all,macro_auroc,0.8434240949409149,4364
101,gaussian,PDRF,all,macro_auprc,0.5881921510181716,4364
101,gaussian,PDRF,all,nll,2.1595964146947555,4364
101,gaussian,PDRF,all,brier,0.7063452671686999,4364
101,gaussian,PDRF,all,ece15,0.28640382076544457,4364
101,gaussian,RO-PDRF-Full,all,accuracy,0.5529330889092575,4364
101,gaussian,RO-PDRF-Full,all,macro_f1,0.5313352668990738,4364
101,gaussian,RO-PDRF-Full,all,macro_auroc,0.8429702233188588,4364
101,gaussian,RO-PDRF-Full,all,macro_auprc,0.5823498600063656,4364
101,gaussian,RO-PDRF-Full,all,nll,1.9589926508921194,4364
101,gaussian,RO-PDRF-Full,all,brier,0.6951485545442139,4364
101,gaussian,RO-PDRF-Full,all,ece15,0.26793856225655127,4364
101,gaussian,SR-PDRF-Balanced,all,accuracy,0.5559120073327223,4364
101,gaussian,SR-PDRF-Balanced,all,macro_f1,0.5360164226711928,4364
101,gaussian,SR-PDRF-Balanced,all,macro_auroc,0.8455358795919371,4364
101,gaussian,SR-PDRF-Balanced,all,macro_auprc,0.5855724806661305,4364
