cost_scheme,coverage,reject_cost,comparator,break_even_fault_prevalence,pdrf_cost_at_zero,comparator_cost_at_zero,pdrf_cost_at_one,comparator_cost_at_one
class1_double,0.8,0.1,EF,0.0,0.2805453712190651,0.2965857011915674,0.29131530705774517,0.3247708524289642
class1_double,0.8,0.1,UF,0.0,0.2805453712190651,0.3066681943171402,0.29131530705774517,0.3156049495875344
class1_double,0.8,0.1,CAGF,0.0,0.2805453712190651,0.29727314390467463,0.29131530705774517,0.3215627864344638
class1_double,0.8,0.1,DWR,0.0,0.2805453712190651,0.30323098075160404,0.29131530705774517,0.3185838680109991
class1_double,0.8,0.25,EF,0.0,0.31055224564619616,0.3265925756186984,0.32132218148487623,0.3547777268560953
class1_double,0.8,0.25,UF,0.0,0.31055224564619616,0.33667506874427133,0.32132218148487623,0.34561182401466545
class1_double,0.8,0.25,CAGF,0.0,0.31055224564619616,0.3272800183318057,0.32132218148487623,0.35156966086159486
class1_double,0.8,0.25,DWR,0.0,0.31055224564619616,0.3332378551787351,0.32132218148487623,0.34859074243813015
class1_double,0.8,0.5,EF,0.0,0.36056370302474794,0.3766040329972502,0.3713336388634281,0.4047891842346471
class1_double,0.8,0.5,UF,0.0,0.36056370302474794,0.3866865261228231,0.3713336388634281,0.39562328139321723
class1_double,0.8,0.5,CAGF,0.0,0.36056370302474794,0.3772914757103575,0.3713336388634281,0.40158111824014664
class1_double,0.8,0.5,DWR,0.0,0.36056370302474794,0.3832493125572869,0.3713336388634281,0.39860219981668193
class1_double,0.9,0.1,EF,0.0,0.35760769935838677,0.36219065077910173,0.3647112740604949,0.38968835930339135
class1_double,0.9,0.1,UF,0.0,0.35760769935838677,0.3747937671860678,0.3647112740604949,0.38075160403299724
class1_double,0.9,0.1,CAGF,0.0,0.35760769935838677,0.3704399633363886,0.3647112740604949,0.38716773602199817
class1_double,0.9,0.1,DWR,0.0,0.35760769935838677,0.3713565536205316,0.3647112740604949,0.3901466544454629
class1_double,0.9,0.25,EF,0.0,0.37259395050412464,0.3771769019248396,0.3796975252062328,0.4046746104491292
class1_double,0.9,0.25,UF,0.0,0.37259395050412464,0.3897800183318057,0.3796975252062328,0.3957378551787351
class1_double,0.9,0.25,CAGF,0.0,0.37259395050412464,0.3854262144821265,0.3796975252062328,0.40215398716773604
class1_double,0.9,0.25,DWR,0.0,0.37259395050412464,0.3863428047662695,0.3796975252062328,0.40513290559120074
class1_double,0.9,0.5,EF,0.0,0.3975710357470211,0.40215398716773604,0.4046746104491292,0.42965169569202566
class1_double,0.9,0.5,UF,0.0,0.3975710357470211,0.41475710357470214,0.4046746104491292,0.42071494042163154
class1_double,0.9,0.5,CAGF,0.0,0.3975710357470211,0.41040329972502293,0.4046746104491292,0.4271310724106325
class1_double,0.9,0.5,DWR,0.0,0.3975710357470211,0.4113198900091659,0.4046746104491292,0.4301099908340972
class1_double,1.0,0.1,EF,0.31,0.43583868010999083,0.4321723189734189,0.44087992667277726,0.44912923923006415
class1_double,1.0,0.1,UF,0.0,0.43583868010999083,0.4486709440879927,0.44087992667277726,0.4502749770852429
class1_double,1.0,0.1,CAGF,0.0,0.43583868010999083,0.4443171402383135,0.44087992667277726,0.46333638863428045
class1_double,1.0,0.1,DWR,0.0,0.43583868010999083,0.45119156736938587,0.44087992667277726,0.4635655362053162
class1_double,1.0,0.25,EF,0.31,0.43583868010999083,0.4321723189734189,0.44087992667277726,0.44912923923006415
class1_double,1.0,0.25,UF,0.0,0.43583868010999083,0.4486709440879927,0.44087992667277726,0.4502749770852429
class1_double,1.0,0.25,CAGF,0.0,0.43583868010999083,0.4443171402383135,0.44087992667277726,0.46333638863428045
class1_double,1.0,0.25,DWR,0.0,0.43583868010999083,0.45119156736938587,0.44087992667277726,0.4635655362053162
class1_double,1.0,0.5,EF,0.31,0.43583868010999083,0.4321723189734189,0.44087992667277726,0.44912923923006415
class1_double,1.0,0.5,UF,0.0,0.43583868010999083,0.4486709440879927,0.44087992667277726,0.4502749770852429
class1_double,1.0,0.5,CAGF,0.0,0.43583868010999083,0.4443171402383135,0.44087992667277726,0.46333638863428045
class1_double,1.0,0.5,DWR,0.0,0.43583868010999083,0.45119156736938587,0.44087992667277726,0.4635655362053162
class6_double,0.8,0.1,EF,0.0,0.26450504124656277,0.26565077910174156,0.27664986251145735,0.2961274060494959
class6_double,0.8,0.1,UF,0.0,0.26450504124656277,0.32247937671860677,0.27664986251145735,0.31445921173235564
class6_double,0.8,0.1,CAGF,0.0,0.26450504124656277,0.27550412465627866,0.27664986251145735,0.29429422548120987
class6_double,0.8,0.1,DWR,0.0,0.26450504124656277,0.2917736021998167,0.27664986251145735,0.2968148487626031
class6_double,0.8,0.25,EF,0.0,0.29451191567369384,0.2956576535288726,0.30665673693858847,0.32613428047662696
class6_double,0.8,0.25,UF,0.0,0.29451191567369384,0.35248625114573784,0.30665673693858847,0.3444660861594867
class6_double,0.8,0.25,CAGF,0.0,0.29451191567369384,0.30551099908340973,0.30665673693858847,0.324301099908341
class6_double,0.8,0.25,DWR,0.0,0.29451191567369384,0.32178047662694775,0.30665673693858847,0.3268217231897342
class6_double,0.8,0.5,EF,0.0,0.3445233730522457,0.34566911090742436,0.35666819431714025,0.37614573785517874
class6_double,0.8,0.5,UF,0.0,0.3445233730522457,0.4024977085242896,0.35666819431714025,0.3944775435380385
class6_double,0.8,0.5,CAGF,0.0,0.3445233730522457,0.3555224564619615,0.35666819431714025,0.3743125572868928
class6_double,0.8,0.5,DWR,0.0,0.3445233730522457,0.37179193400549954,0.35666819431714025,0.37683318056828596
class6_double,0.9,0.1,EF,0.0,0.33446379468377635,0.3436296975252062,0.34775435380384967,0.3690650779101742
class6_double,0.9,0.1,UF,0.0,0.33446379468377635,0.4107699358386801,0.34775435380384967,0.39335472043996333
class6_double,0.9,0.1,CAGF,0.0,0.33446379468377635,0.35852428964252975,0.34775435380384967,0.3631072410632447
class6_double,0.9,0.1,DWR,0.0,0.33446379468377635,0.35600366636113656,0.34775435380384967,0.3644821264894592
class6_double,0.9,0.25,EF,0.0,0.3494500458295142,0.3586159486709441,0.36274060494958754,0.384051329055912
class6_double,0.9,0.25,UF,0.0,0.3494500458295142,0.425756186984418,0.36274060494958754,0.4083409715857012
class6_double,0.9,0.25,CAGF,0.0,0.3494500458295142,0.3735105407882676,0.36274060494958754,0.3780934922089826
class6_double,0.9,0.25,DWR,0.0,0.3494500458295142,0.37098991750687443,0.36274060494958754,0.3794683776351971
class6_double,0.9,0.5,EF,0.0,0.37442713107241066,0.38359303391384053,0.387717690192484,0.40902841429880843
class6_double,0.9,0.5,UF,0.0,0.37442713107241066,0.4507332722273144,0.387717690192484,0.43331805682859764
class6_double,0.9,0.5,CAGF,0.0,0.37442713107241066,0.39848762603116406,0.387717690192484,0.403070577451879
class6_double,0.9,0.5,DWR,0.0,0.37442713107241066,0.39596700274977087,0.387717690192484,0.40444546287809346
class6_double,1.0,0.1,EF,0.13,0.4159028414298808,0.4142988084326306,0.42758936755270394,0.43835930339138407
class6_double,1.0,0.1,UF,0.0,0.4159028414298808,0.49060494958753437,0.42758936755270394,0.4784601283226398
class6_double,1.0,0.1,CAGF,0.0,0.4159028414298808,0.44385884509624196,0.42758936755270394,0.44317140238313474
class6_double,1.0,0.1,DWR,0.0,0.4159028414298808,0.4406507791017415,0.42758936755270394,0.442025664527956
class6_double,1.0,0.25,EF,0.13,0.4159028414298808,0.4142988084326306,0.42758936755270394,0.43835930339138407
class6_double,1.0,0.25,UF,0.0,0.4159028414298808,0.49060494958753437,0.42758936755270394,0.4784601283226398
class6_double,1.0,0.25,CAGF,0.0,0.4159028414298808,0.44385884509624196,0.42758936755270394,0.44317140238313474
class6_double,1.0,0.25,DWR,0.0,0.4159028414298808,0.4406507791017415,0.42758936755270394,0.442025664527956
class6_double,1.0,0.5,EF,0.13,0.4159028414298808,0.4142988084326306,0.42758936755270394,0.43835930339138407
class6_double,1.0,0.5,UF,0.0,0.4159028414298808,0.49060494958753437,0.42758936755270394,0.4784601283226398
class6_double,1.0,0.5,CAGF,0.0,0.4159028414298808,0.44385884509624196,0.42758936755270394,0.44317140238313474
class6_double,1.0,0.5,DWR,0.0,0.4159028414298808,0.4406507791017415,0.42758936755270394,0.442025664527956
uniform,0.8,0.1,EF,0.0,0.23677818515123739,0.24319431714023831,0.24869385884509623,0.2686296975252062
uniform,0.8,0.1,UF,0.0,0.23677818515123739,0.27069202566452794,0.24869385884509623,0.2732126489459212
uniform,0.8,0.1,CAGF,0.0,0.23677818515123739,0.2528185151237397,0.24869385884509623,0.27367094408799264
uniform,0.8,0.1,DWR,0.0,0.23677818515123739,0.2626718606782768,0.24869385884509623,0.2748166819431714
uniform,0.8,0.25,EF,0.0,0.26678505957836846,0.2732011915673694,0.27870073327222733,0.2986365719523373
uniform,0.8,0.25,UF,0.0,0.26678505957836846,0.300698900091659,0.27870073327222733,0.30321952337305225
uniform,0.8,0.25,CAGF,0.0,0.26678505957836846,0.2828253895508708,0.27870073327222733,0.30367781851512377
uniform,0.8,0.25,DWR,0.0,0.26678505957836846,0.2926787351054079,0.27870073327222733,0.30482355637030245
uniform,0.8,0.5,EF,0.0,0.31679651695692024,0.32321264894592117,0.3287121906507791,0.3486480293308891
uniform,0.8,0.5,UF,0.0,0.31679651695692024,0.35071035747021084,0.3287121906507791,0.35323098075160403
uniform,0.8,0.5,CAGF,0.0,0.31679651695692024,0.33283684692942256,0.3287121906507791,0.35368927589367555
uniform,0.8,0.5,DWR,0.0,0.31679651695692024,0.34269019248395965,0.3287121906507791,0.3548350137488543
uniform,0.9,0.1,EF,0.05,0.3016956920256645,0.30100824931255726,0.3087992667277727,0.32483959670027496
uniform,0.9,0.1,UF,0.0,0.3016956920256645,0.3294225481209899,0.3087992667277727,0.3305682859761686
uniform,0.9,0.1,CAGF,0.0,0.3016956920256645,0.3161319890009166,0.3087992667277727,0.3296516956920256
uniform,0.9,0.1,DWR,0.0,0.3016956920256645,0.31750687442713105,0.3087992667277727,0.3324014665444546
uniform,0.9,0.25,EF,0.05,0.31668194317140236,0.31599450045829514,0.32378551787351056,0.33982584784601283
uniform,0.9,0.25,UF,0.0,0.31668194317140236,0.3444087992667278,0.32378551787351056,0.34555453712190654
uniform,0.9,0.25,CAGF,0.0,0.31668194317140236,0.3311182401466544,0.32378551787351056,0.3446379468377635
uniform,0.9,0.25,DWR,0.0,0.31668194317140236,0.3324931255728689,0.32378551787351056,0.3473877176901925
uniform,0.9,0.5,EF,0.05,0.3416590284142988,0.34097158570119157,0.34876260311640694,0.36480293308890926
uniform,0.9,0.5,UF,0.0,0.3416590284142988,0.3693858845096242,0.34876260311640694,0.3705316223648029
uniform,0.9,0.5,CAGF,0.0,0.3416590284142988,0.35609532538955085,0.34876260311640694,0.36961503208065993
uniform,0.9,0.5,DWR,0.0,0.3416590284142988,0.35747021081576535,0.34876260311640694,0.37236480293308893
uniform,1.0,0.1,EF,0.67,0.3693858845096242,0.3620531622364803,0.3764894592117324,0.3801558203483043
uniform,1.0,0.1,UF,0.0,0.3693858845096242,0.39298808432630616,0.3764894592117324,0.39390467461044915
uniform,1.0,0.1,CAGF,0.0,0.3693858845096242,0.38290559120073325,0.3764894592117324,0.3961961503208066
uniform,1.0,0.1,DWR,0.0,0.3693858845096242,0.3863428047662695,0.3764894592117324,0.39688359303391385
uniform,1.0,0.25,EF,0.67,0.3693858845096242,0.3620531622364803,0.3764894592117324,0.3801558203483043
uniform,1.0,0.25,UF,0.0,0.3693858845096242,0.39298808432630616,0.3764894592117324,0.39390467461044915
uniform,1.0,0.25,CAGF,0.0,0.3693858845096242,0.38290559120073325,0.3764894592117324,0.3961961503208066
uniform,1.0,0.25,DWR,0.0,0.3693858845096242,0.3863428047662695,0.3764894592117324,0.39688359303391385
uniform,1.0,0.5,EF,0.67,0.3693858845096242,0.3620531622364803,0.3764894592117324,0.3801558203483043
