seed,variant,subset,metric,value,parameters,train_seconds,inference_ms_per_observation
101,full,all,accuracy,0.5444546287809349,19740,26.299202299996978,0.002448189735856918
101,full,all,macro_f1,0.5243876827295353,19740,26.299202299996978,0.002448189735856918
101,full,all,macro_auroc,0.8417344611211264,19740,26.299202299996978,0.002448189735856918
101,full,all,macro_auprc,0.5817871874303618,19740,26.299202299996978,0.002448189735856918
101,full,all,nll,1.8020311182048474,19740,26.299202299996978,0.002448189735856918
101,full,all,brier,0.6844353482613299,19740,26.299202299996978,0.002448189735856918
101,full,all,ece15,0.2513511512431937,19740,26.299202299996978,0.002448189735856918
101,full,affected,accuracy,0.48441926345609065,19740,26.299202299996978,0.002448189735856918
101,full,affected,macro_f1,0.4686924543667839,19740,26.299202299996978,0.002448189735856918
101,full,affected,macro_auroc,0.8081841118847747,19740,26.299202299996978,0.002448189735856918
101,full,affected,macro_auprc,0.5191156074810293,19740,26.299202299996978,0.002448189735856918
101,full,affected,nll,2.1301526905774435,19740,26.299202299996978,0.002448189735856918
101,full,affected,brier,0.7759174282809859,19740,26.299202299996978,0.002448189735856918
101,full,affected,ece15,0.30557939207587637,19740,26.299202299996978,0.002448189735856918
101,full,unaffected,accuracy,0.5852250865717584,19740,26.299202299996978,0.002448189735856918
101,full,unaffected,macro_f1,0.5587407928915825,19740,26.299202299996978,0.002448189735856918
101,full,unaffected,macro_auroc,0.8653044915946438,19740,26.299202299996978,0.002448189735856918
101,full,unaffected,macro_auprc,0.6328965083851467,19740,26.299202299996978,0.002448189735856918
101,full,unaffected,nll,1.5792013470476203,19740,26.299202299996978,0.002448189735856918
101,full,unaffected,brier,0.6223091954199705,19740,26.299202299996978,0.002448189735856918
101,full,unaffected,ece15,0.2146409492898143,19740,26.299202299996978,0.002448189735856918
101,minus_recovery,all,accuracy,0.5501833180568286,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,all,macro_f1,0.5264505929488769,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,all,macro_auroc,0.8406661834738755,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,all,macro_auprc,0.5982556121100817,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,all,nll,2.0763810128206823,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,all,brier,0.6761331022329107,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,all,ece15,0.26204928980438563,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,affected,accuracy,0.47592067988668557,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,affected,macro_f1,0.46227130794951865,19740,17.538191800005734,0.002451031160697522
101,minus_recovery,affected,macro_auroc,0.7985596510506193,19740,17.538191800005734,0.002451031160697522
