method,epochs,median_gradient_norm,maximum_gradient_norm,final_selection_ce
CAGF+CD,26,0.45768527407199144,0.7662211346129576,0.5873711109161377
EF-PD+CD,32,0.42531642566124594,1.1046326905488968,0.3820952475070953
ModDrop-SD,17,0.42187166120857,1.0137420768539112,0.7175114750862122
PDRF+CD,41,0.3729894695182641,0.539623654137055,0.4571342170238495
PDRF+CD-T07,41,0.374059318875273,0.5347188711166382,0.466003805398941
UF-PD+CD,46,0.2122634397819638,0.3533614420642455,0.4561223089694977
