method,seed,subset,metric,value,n
RO-PDRF-CEG,104,unaffected,nll,1.8380587244965678,2599
RO-PDRF-CEG,104,unaffected,brier,0.6419544535583652,2599
RO-PDRF-CEG,104,unaffected,ece15,0.26086024901599963,2599
RO-PDRF-CEG,105,all,accuracy,0.5616406966086159,4364
RO-PDRF-CEG,105,all,macro_f1,0.5340563946333243,4364
RO-PDRF-CEG,105,all,macro_auroc,0.841751529480043,4364
RO-PDRF-CEG,105,all,macro_auprc,0.5929967953572489,4364
RO-PDRF-CEG,105,all,nll,1.9909097619374425,4364
RO-PDRF-CEG,105,all,brier,0.687380111711064,4364
RO-PDRF-CEG,105,all,ece15,0.261129793117726,4364
RO-PDRF-CEG,105,affected,accuracy,0.49461756373937676,1765
RO-PDRF-CEG,105,affected,macro_f1,0.4742444470713382,1765
RO-PDRF-CEG,105,affected,macro_auroc,0.8112291251965736,1765
RO-PDRF-CEG,105,affected,macro_auprc,0.5369105876089154,1765
RO-PDRF-CEG,105,affected,nll,2.452737414001007,1765
RO-PDRF-CEG,105,affected,brier,0.8019068689719776,1765
RO-PDRF-CEG,105,affected,ece15,0.32712927244540313,1765
RO-PDRF-CEG,105,unaffected,accuracy,0.6071565986918045,2599
RO-PDRF-CEG,105,unaffected,macro_f1,0.5712300887948717,2599
RO-PDRF-CEG,105,unaffected,macro_auroc,0.8652077006798827,2599
RO-PDRF-CEG,105,unaffected,macro_auprc,0.6401541672400443,2599
RO-PDRF-CEG,105,unaffected,nll,1.6772792094587228,2599
RO-PDRF-CEG,105,unaffected,brier,0.6096041492002857,2599
RO-PDRF-CEG,105,unaffected,ece15,0.21779009708994945,2599
RO-PDRF-CEG,106,all,accuracy,0.5520164986251146,4364
RO-PDRF-CEG,106,all,macro_f1,0.5355449910571144,4364
RO-PDRF-CEG,106,all,macro_auroc,0.8436996611236611,4364
RO-PDRF-CEG,106,all,macro_auprc,0.5994622150102832,4364
RO-PDRF-CEG,106,all,nll,2.3293801733445583,4364
RO-PDRF-CEG,106,all,brier,0.7079099647416149,4364
RO-PDRF-CEG,106,all,ece15,0.30104610933064324,4364
RO-PDRF-CEG,106,affected,accuracy,0.49461756373937676,1765
RO-PDRF-CEG,106,affected,macro_f1,0.4821867612900772,1765
RO-PDRF-CEG,106,affected,macro_auroc,0.8107658074292673,1765
RO-PDRF-CEG,106,affected,macro_auprc,0.5394938757967493,1765
RO-PDRF-CEG,106,affected,nll,2.9220823163792895,1765
RO-PDRF-CEG,106,affected,brier,0.8255914914176127,1765
RO-PDRF-CEG,106,affected,ece15,0.36542190554797144,1765
RO-PDRF-CEG,106,unaffected,accuracy,0.5909965371296653,2599
RO-PDRF-CEG,106,unaffected,macro_f1,0.5701339134716228,2599
RO-PDRF-CEG,106,unaffected,macro_auroc,0.8680532896843264,2599
RO-PDRF-CEG,106,unaffected,macro_auprc,0.6489493012518927,2599
RO-PDRF-CEG,106,unaffected,nll,1.9268717922532537,2599
RO-PDRF-CEG,106,unaffected,brier,0.6279915751367146,2599
RO-PDRF-CEG,106,unaffected,ece15,0.2578312897507894,2599
RO-PDRF-CEG,107,all,accuracy,0.5719523373052245,4364
RO-PDRF-CEG,107,all,macro_f1,0.5466800640158188,4364
