task,seed,method,fault,subset,metric,value,n
cooler,101,RO-PDRF,vibration,affected,ece15,0.02177554499972001,91
cooler,101,RO-PDRF,vibration,unaffected,accuracy,1.0,123
cooler,101,RO-PDRF,vibration,unaffected,macro_f1,1.0,123
cooler,101,RO-PDRF,vibration,unaffected,macro_auroc,1.0,123
cooler,101,RO-PDRF,vibration,unaffected,macro_auprc,1.0,123
cooler,101,RO-PDRF,vibration,unaffected,nll,1.192092966562092e-07,123
cooler,101,RO-PDRF,vibration,unaffected,brier,2.0072300125974275e-24,123
cooler,101,RO-PDRF,vibration,unaffected,ece15,0.0,123
cooler,102,RO-CAGF,pressure,all,accuracy,0.9299065420560748,214
cooler,102,RO-CAGF,pressure,all,macro_f1,0.930903709249208,214
cooler,102,RO-CAGF,pressure,all,macro_auroc,0.953410162477064,214
cooler,102,RO-CAGF,pressure,all,macro_auprc,0.9073985109294219,214
cooler,102,RO-CAGF,pressure,all,nll,1.0322744611360253,214
cooler,102,RO-CAGF,pressure,all,brier,0.13990860742809735,214
cooler,102,RO-CAGF,pressure,all,ece15,0.07001799846363954,214
cooler,102,RO-CAGF,pressure,affected,accuracy,0.925,80
cooler,102,RO-CAGF,pressure,affected,macro_f1,0.9234257876108577,80
cooler,102,RO-CAGF,pressure,affected,macro_auroc,0.9599520449328655,80
cooler,102,RO-CAGF,pressure,affected,macro_auprc,0.9035862417972867,80
cooler,102,RO-CAGF,pressure,affected,nll,1.1145276122286387,80
cooler,102,RO-CAGF,pressure,affected,brier,0.14999606972809826,80
cooler,102,RO-CAGF,pressure,affected,ece15,0.07499129772186275,80
cooler,102,RO-CAGF,pressure,unaffected,accuracy,0.9328358208955224,134
cooler,102,RO-CAGF,pressure,unaffected,macro_f1,0.9343818261249455,134
cooler,102,RO-CAGF,pressure,unaffected,macro_auroc,0.9479142104939977,134
cooler,102,RO-CAGF,pressure,unaffected,macro_auprc,0.9079370596597078,134
cooler,102,RO-CAGF,pressure,unaffected,nll,0.9831681022747637,134
cooler,102,RO-CAGF,pressure,unaffected,brier,0.13388624187585801,134
cooler,102,RO-CAGF,pressure,unaffected,ece15,0.0670488441168372,134
cooler,102,RO-CAGF,vibration,all,accuracy,0.9065420560747663,214
cooler,102,RO-CAGF,vibration,all,macro_f1,0.9084849056011057,214
cooler,102,RO-CAGF,vibration,all,macro_auroc,0.929908738887612,214
cooler,102,RO-CAGF,vibration,all,macro_auprc,0.8673600701404472,214
cooler,102,RO-CAGF,vibration,all,nll,1.4619731449414801,214
cooler,102,RO-CAGF,vibration,all,brier,0.18691504951666696,214
cooler,102,RO-CAGF,vibration,all,ece15,0.0934413738339861,214
cooler,102,RO-CAGF,vibration,affected,accuracy,0.9010989010989011,91
cooler,102,RO-CAGF,vibration,affected,macro_f1,0.9026337310880637,91
cooler,102,RO-CAGF,vibration,affected,macro_auroc,0.9277120315581854,91
cooler,102,RO-CAGF,vibration,affected,macro_auprc,0.8526169908522849,91
cooler,102,RO-CAGF,vibration,affected,nll,1.5767325014220923,91
cooler,102,RO-CAGF,vibration,affected,brier,0.19780220804695955,91
cooler,102,RO-CAGF,vibration,affected,ece15,0.09888816469318262,91
cooler,102,RO-CAGF,vibration,unaffected,accuracy,0.9105691056910569,123
cooler,102,RO-CAGF,vibration,unaffected,macro_f1,0.9086444710691014,123
cooler,102,RO-CAGF,vibration,unaffected,macro_auroc,0.9287101787101788,123
cooler,102,RO-CAGF,vibration,unaffected,macro_auprc,0.8710741105346241,123
cooler,102,RO-CAGF,vibration,unaffected,nll,1.3770698812037914,123
cooler,102,RO-CAGF,vibration,unaffected,brier,0.17886032247393016,123
cooler,102,RO-CAGF,vibration,unaffected,ece15,0.08941164200868068,123
cooler,102,RO-PDRF,pressure,all,accuracy,0.9953271028037384,214
cooler,102,RO-PDRF,pressure,all,macro_f1,0.9953049314751442,214
cooler,102,RO-PDRF,pressure,all,macro_auroc,0.9964870809941232,214
cooler,102,RO-PDRF,pressure,all,macro_auprc,0.9922331670883731,214
cooler,102,RO-PDRF,pressure,all,nll,0.07449724553485482,214
cooler,102,RO-PDRF,pressure,all,brier,0.009345794392514019,214
cooler,102,RO-PDRF,pressure,all,ece15,0.004672897196261627,214
cooler,102,RO-PDRF,pressure,affected,accuracy,0.9875,80
cooler,102,RO-PDRF,pressure,affected,macro_f1,0.9859587538394031,80
cooler,102,RO-PDRF,pressure,affected,macro_auroc,0.991002301736765,80
cooler,102,RO-PDRF,pressure,affected,macro_auprc,0.9766694725028059,80
cooler,102,RO-PDRF,pressure,affected,nll,0.19927993213016473,80
cooler,102,RO-PDRF,pressure,affected,brier,0.024999999999975,80
cooler,102,RO-PDRF,pressure,affected,ece15,0.012499999999999956,80
