method,seed,subset,metric,value,n
RO-PDRF-CAL,101,all,macro_f1,0.5245665261544522,4364
RO-PDRF-CAL,101,all,macro_auroc,0.8432071163275641,4364
RO-PDRF-CAL,101,all,macro_auprc,0.5820973130998708,4364
RO-PDRF-CAL,101,all,nll,1.7696464596231456,4364
RO-PDRF-CAL,101,all,brier,0.6824752146085209,4364
RO-PDRF-CAL,101,all,ece15,0.24798533581299698,4364
RO-PDRF-CAL,101,affected,accuracy,0.488385269121813,1765
RO-PDRF-CAL,101,affected,macro_f1,0.47196889760242877,1765
RO-PDRF-CAL,101,affected,macro_auroc,0.8106803880543296,1765
RO-PDRF-CAL,101,affected,macro_auprc,0.5207471144160501,1765
RO-PDRF-CAL,101,affected,nll,2.091680504277337,1765
RO-PDRF-CAL,101,affected,brier,0.7729828520426809,1765
RO-PDRF-CAL,101,affected,ece15,0.3035745920270428,1765
RO-PDRF-CAL,101,unaffected,accuracy,0.5844555598307041,2599
RO-PDRF-CAL,101,unaffected,macro_f1,0.5571610664434857,2599
RO-PDRF-CAL,101,unaffected,macro_auroc,0.8659894471734354,2599
RO-PDRF-CAL,101,unaffected,macro_auprc,0.6312503538399282,2599
RO-PDRF-CAL,101,unaffected,nll,1.5509507732766095,2599
RO-PDRF-CAL,101,unaffected,brier,0.6210108128881311,2599
RO-PDRF-CAL,101,unaffected,ece15,0.2133089097108507,2599
PDRF+CD,102,all,accuracy,0.5556828597616865,4364
PDRF+CD,102,all,macro_f1,0.5362756048398499,4364
PDRF+CD,102,all,macro_auroc,0.8440396264213347,4364
PDRF+CD,102,all,macro_auprc,0.5990085612187203,4364
PDRF+CD,102,all,nll,1.996123762240361,4364
PDRF+CD,102,all,brier,0.6658048523906488,4364
PDRF+CD,102,all,ece15,0.25268683985121526,4364
PDRF+CD,102,affected,accuracy,0.4985835694050991,1765
PDRF+CD,102,affected,macro_f1,0.4938395937065472,1765
PDRF+CD,102,affected,macro_auroc,0.8059179689394201,1765
PDRF+CD,102,affected,macro_auprc,0.5347007767743678,1765
PDRF+CD,102,affected,nll,2.5092390164574017,1765
PDRF+CD,102,affected,brier,0.7811183120734099,1765
PDRF+CD,102,affected,ece15,0.31395138882037266,1765
PDRF+CD,102,unaffected,accuracy,0.5944594074644094,2599
PDRF+CD,102,unaffected,macro_f1,0.559394865267224,2599
PDRF+CD,102,unaffected,macro_auroc,0.8726854100083797,2599
PDRF+CD,102,unaffected,macro_auprc,0.6518310904168625,2599
PDRF+CD,102,unaffected,nll,1.6476634222276343,2599
PDRF+CD,102,unaffected,brier,0.5874946344837333,2599
PDRF+CD,102,unaffected,ece15,0.211081635526576,2599
PDRF+EMA-CD,102,all,accuracy,0.5705774518790101,4364
PDRF+EMA-CD,102,all,macro_f1,0.5405077326508502,4364
PDRF+EMA-CD,102,all,macro_auroc,0.8439261322145981,4364
PDRF+EMA-CD,102,all,macro_auprc,0.5814237593733432,4364
PDRF+EMA-CD,102,all,nll,2.0698411259035185,4364
PDRF+EMA-CD,102,all,brier,0.6785273403373961,4364
PDRF+EMA-CD,102,all,ece15,0.2683011524509007,4364
PDRF+EMA-CD,102,affected,accuracy,0.5025495750708215,1765
PDRF+EMA-CD,102,affected,macro_f1,0.4866589622532204,1765
PDRF+EMA-CD,102,affected,macro_auroc,0.8045516445952593,1765
PDRF+EMA-CD,102,affected,macro_auprc,0.5161974247577484,1765
PDRF+EMA-CD,102,affected,nll,2.522086604372797,1765
PDRF+EMA-CD,102,affected,brier,0.7922410734958276,1765
PDRF+EMA-CD,102,affected,ece15,0.31984136933645513,1765
PDRF+EMA-CD,102,unaffected,accuracy,0.6167756829549826,2599
PDRF+EMA-CD,102,unaffected,macro_f1,0.5735263617659612,2599
PDRF+EMA-CD,102,unaffected,macro_auroc,0.8728352486805947,2599
PDRF+EMA-CD,102,unaffected,macro_auprc,0.6355041746632394,2599
PDRF+EMA-CD,102,unaffected,nll,1.762717897931885,2599
PDRF+EMA-CD,102,unaffected,brier,0.6013035084695116,2599
PDRF+EMA-CD,102,unaffected,ece15,0.23329986415720297,2599
PDRF+Soft-CD,102,all,accuracy,0.5545371219065078,4364
PDRF+Soft-CD,102,all,macro_f1,0.5359432093896496,4364
PDRF+Soft-CD,102,all,macro_auroc,0.8421488426758738,4364
PDRF+Soft-CD,102,all,macro_auprc,0.5950046182677123,4364
PDRF+Soft-CD,102,all,nll,2.0460554654948715,4364
PDRF+Soft-CD,102,all,brier,0.6728847177671863,4364
PDRF+Soft-CD,102,all,ece15,0.2577055540588009,4364
PDRF+Soft-CD,102,affected,accuracy,0.49688385269121815,1765
PDRF+Soft-CD,102,affected,macro_f1,0.49212610540771257,1765
PDRF+Soft-CD,102,affected,macro_auroc,0.8030222719806882,1765
PDRF+Soft-CD,102,affected,macro_auprc,0.5298576600863233,1765
PDRF+Soft-CD,102,affected,nll,2.5899974499942413,1765
PDRF+Soft-CD,102,affected,brier,0.7906646582053063,1765
PDRF+Soft-CD,102,affected,ece15,0.32022619585139894,1765
PDRF+Soft-CD,102,unaffected,accuracy,0.5936898807233552,2599
PDRF+Soft-CD,102,unaffected,macro_f1,0.5603735538443994,2599
PDRF+Soft-CD,102,unaffected,macro_auroc,0.8714724976445095,2599
PDRF+Soft-CD,102,unaffected,macro_auprc,0.6486342431614965,2599
PDRF+Soft-CD,102,unaffected,nll,1.6766604664023792,2599
PDRF+Soft-CD,102,unaffected,brier,0.5928994946531878,2599
PDRF+Soft-CD,102,unaffected,ece15,0.21524733378365207,2599
RO-AT-GATE,102,all,accuracy,0.5252062328139322,4364
RO-AT-GATE,102,all,macro_f1,0.5166925990501348,4364
RO-AT-GATE,102,all,macro_auroc,0.805540590608989,4364
RO-AT-GATE,102,all,macro_auprc,0.5452434100158331,4364
RO-AT-GATE,102,all,nll,1.8573722488930482,4364
RO-AT-GATE,102,all,brier,0.6814505152480854,4364
RO-AT-GATE,102,all,ece15,0.21472900381310067,4364
RO-AT-GATE,102,affected,accuracy,0.4855524079320113,1765
RO-AT-GATE,102,affected,macro_f1,0.48277582107005673,1765
RO-AT-GATE,102,affected,macro_auroc,0.7901952248001063,1765
RO-AT-GATE,102,affected,macro_auprc,0.519557257093056,1765
RO-AT-GATE,102,affected,nll,1.9349947704323092,1765
RO-AT-GATE,102,affected,brier,0.7236972383697706,1765
RO-AT-GATE,102,affected,ece15,0.23399115832939363,1765
RO-AT-GATE,102,unaffected,accuracy,0.5521354367064255,2599
RO-AT-GATE,102,unaffected,macro_f1,0.5382144791960367,2599
RO-AT-GATE,102,unaffected,macro_auroc,0.8175555578223389,2599
RO-AT-GATE,102,unaffected,macro_auprc,0.5680697398532756,2599
RO-AT-GATE,102,unaffected,nll,1.8046582240693483,2599
RO-AT-GATE,102,unaffected,brier,0.6527604551058099,2599
RO-AT-GATE,102,unaffected,ece15,0.20356495584970075,2599
RO-PDRF-CAL,102,all,accuracy,0.5488084326306141,4364
RO-PDRF-CAL,102,all,macro_f1,0.5272569254491632,4364
RO-PDRF-CAL,102,all,macro_auroc,0.8424396056316,4364
RO-PDRF-CAL,102,all,macro_auprc,0.5967369685914533,4364
RO-PDRF-CAL,102,all,nll,1.8493868077036801,4364
RO-PDRF-CAL,102,all,brier,0.6527300618227383,4364
RO-PDRF-CAL,102,all,ece15,0.23643336031247889,4364
RO-PDRF-CAL,102,affected,accuracy,0.4951841359773371,1765
RO-PDRF-CAL,102,affected,macro_f1,0.4878376345887813,1765
RO-PDRF-CAL,102,affected,macro_auroc,0.8052824552905631,1765
RO-PDRF-CAL,102,affected,macro_auprc,0.536035283211825,1765
RO-PDRF-CAL,102,affected,nll,2.2917945293666695,1765
RO-PDRF-CAL,102,affected,brier,0.7571495989001573,1765
RO-PDRF-CAL,102,affected,ece15,0.2937423084511635,1765
RO-PDRF-CAL,102,unaffected,accuracy,0.5852250865717584,2599
RO-PDRF-CAL,102,unaffected,macro_f1,0.5485567895650387,2599
RO-PDRF-CAL,102,unaffected,macro_auroc,0.8697252958178417,2599
RO-PDRF-CAL,102,unaffected,macro_auprc,0.6435688687828518,2599
RO-PDRF-CAL,102,unaffected,nll,1.5489444726766788,2599
RO-PDRF-CAL,102,unaffected,brier,0.5818179868163341,2599
RO-PDRF-CAL,102,unaffected,ece15,0.19751440340071838,2599
PDRF+CD,103,all,accuracy,0.538038496791934,4364
PDRF+CD,103,all,macro_f1,0.5288926980386511,4364
PDRF+CD,103,all,macro_auroc,0.8309171123947431,4364
PDRF+CD,103,all,macro_auprc,0.5689433543064754,4364
PDRF+CD,103,all,nll,2.460301471332571,4364
PDRF+CD,103,all,brier,0.7255915940152494,4364
PDRF+CD,103,all,ece15,0.30855683005123813,4364
PDRF+CD,103,affected,accuracy,0.4696883852691218,1765
PDRF+CD,103,affected,macro_f1,0.4680475190258397,1765
PDRF+CD,103,affected,macro_auroc,0.7883281956860887,1765
PDRF+CD,103,affected,macro_auprc,0.5041799006100568,1765
PDRF+CD,103,affected,nll,3.2837647493704023,1765
