method,seed,subset,metric,value
PDRF,103,affected,macro_auprc,0.4852526387292024
PDRF,103,affected,nll,3.8401873442886396
PDRF,103,affected,brier,0.9030290170649826
PDRF,103,affected,ece15,0.41081776423089567
PDRF,103,unaffected,accuracy,0.5867641400538669
PDRF,103,unaffected,macro_f1,0.5714721248824718
PDRF,103,unaffected,macro_auroc,0.8666891186886266
PDRF,103,unaffected,macro_auprc,0.625770783280464
PDRF,103,unaffected,nll,1.9406925367125938
PDRF,103,unaffected,brier,0.6289483928886521
PDRF,103,unaffected,ece15,0.255635477788818
PDRF_INT,101,all,accuracy,0.5508707607699358
PDRF_INT,101,all,macro_f1,0.5303503516423663
PDRF_INT,101,all,macro_auroc,0.8385448826362651
PDRF_INT,101,all,macro_auprc,0.5839580081906919
PDRF_INT,101,all,nll,2.283604710144662
PDRF_INT,101,all,brier,0.7155400864250039
PDRF_INT,101,all,ece15,0.28919979123403783
PDRF_INT,101,affected,accuracy,0.47875354107648727
PDRF_INT,101,affected,macro_f1,0.46298896295960607
PDRF_INT,101,affected,macro_auroc,0.7994638195198229
PDRF_INT,101,affected,macro_auprc,0.5081911709848158
PDRF_INT,101,affected,nll,2.8456497184283456
PDRF_INT,101,affected,brier,0.8366181531618847
PDRF_INT,101,affected,ece15,0.3623059331526499
PDRF_INT,101,unaffected,accuracy,0.5998460946517892
PDRF_INT,101,unaffected,macro_f1,0.5694769495399703
PDRF_INT,101,unaffected,macro_auroc,0.8670394851244891
PDRF_INT,101,unaffected,macro_auprc,0.6490551366309981
PDRF_INT,101,unaffected,nll,1.9019158145614758
PDRF_INT,101,unaffected,brier,0.6333150815036516
PDRF_INT,101,unaffected,ece15,0.2395528319960789
PDRF_INT,102,all,accuracy,0.536205316223648
PDRF_INT,102,all,macro_f1,0.5169644903199998
PDRF_INT,102,all,macro_auroc,0.8313448404868048
PDRF_INT,102,all,macro_auprc,0.5810034652540578
PDRF_INT,102,all,nll,2.2164351483947002
PDRF_INT,102,all,brier,0.6983667231235459
PDRF_INT,102,all,ece15,0.2711031100448941
PDRF_INT,102,affected,accuracy,0.46855524079320116
PDRF_INT,102,affected,macro_f1,0.46402259497579085
PDRF_INT,102,affected,macro_auroc,0.7864120160469601
