held_out_group,seed,method,macro_auroc,accuracy
1,101,CAGF,0.7408060653426795,0.44156736938588453
1,101,PDRF,0.7648327361105219,0.4747937671860678
2,101,CAGF,0.6958501202103893,0.39550870760769935
2,101,PDRF,0.7805234640319281,0.4738771769019248
3,101,CAGF,0.7324611200054213,0.4195692025664528
3,101,PDRF,0.8027980232819022,0.49747937671860676
4,101,CAGF,0.7326955967435147,0.425756186984418
4,101,PDRF,0.7794981101830273,0.479147571035747
