seed,x,y,spearman_r,p
101,score_change,true_probability_change,-0.06996029937716175,0.003274856306264509
101,score_change,fault_correct,0.09245767530518571,0.00010028330174754431
101,weight_reduction,true_probability_change,-0.13380684646642904,1.6721910586667662e-08
101,weight_reduction,fault_correct,0.011896943963681277,0.6174434978178875
102,score_change,true_probability_change,-0.2065110218869059,1.877535958394223e-18
102,score_change,fault_correct,0.035338303850951144,0.1377980112490884
102,weight_reduction,true_probability_change,-0.22860106562022675,2.330704250930353e-22
102,weight_reduction,fault_correct,-0.06638761645209576,0.005267994947574127
103,score_change,true_probability_change,-0.204830590778028,3.5756914093216774e-18
103,score_change,fault_correct,-0.062416203403420745,0.008717887106910849
103,weight_reduction,true_probability_change,-0.22800980085738923,3.003502051975288e-22
103,weight_reduction,fault_correct,-0.12173169597707358,2.902901275954857e-07
104,score_change,true_probability_change,-0.19218915474254739,3.806938311402416e-16
104,score_change,fault_correct,0.07830232732187616,0.000993520722981093
104,weight_reduction,true_probability_change,-0.23919473072445077,2.1936009993096038e-24
104,weight_reduction,fault_correct,-0.06266240034485485,0.008456218526146746
105,score_change,true_probability_change,-0.21943043112342625,1.0989567061627256e-20
105,score_change,fault_correct,-0.014627001440405877,0.5391455008483501
105,weight_reduction,true_probability_change,-0.23833322269327858,3.233779783397234e-24
105,weight_reduction,fault_correct,-0.1110317448390598,2.9278988716910766e-06
106,score_change,true_probability_change,-0.16305745270979946,5.51404598783768e-12
106,score_change,fault_correct,-0.022235065087312208,0.35051489576944617
106,weight_reduction,true_probability_change,-0.20361627602404808,5.675679430754245e-18
106,weight_reduction,fault_correct,-0.09176031128972009,0.00011318264102195786
107,score_change,true_probability_change,-0.19573211471169277,1.0620316679676218e-16
107,score_change,fault_correct,0.13989987356280578,3.583725361517151e-09
107,weight_reduction,true_probability_change,-0.21543409718148346,5.586074305641468e-20
107,weight_reduction,fault_correct,0.007929962700446692,0.7391931337373159
108,score_change,true_probability_change,-0.12178445541120658,2.868558994264459e-07
108,score_change,fault_correct,0.13663258386207036,8.254618828125439e-09
108,weight_reduction,true_probability_change,-0.21323262128205703,1.3493876166432199e-19
108,weight_reduction,fault_correct,0.005167132816991057,0.828263878909217
109,score_change,true_probability_change,-0.1642582114221856,3.835331575734888e-12
109,score_change,fault_correct,0.0419622101131704,0.07799504463642351
109,weight_reduction,true_probability_change,-0.19794022903928024,4.7336995026022396e-17
109,weight_reduction,fault_correct,-0.06338796119369786,0.00772539819377613
110,score_change,true_probability_change,-0.22653972053910407,5.625083064076936e-22
110,score_change,fault_correct,0.08471673343979506,0.00036664580553750505
110,weight_reduction,true_probability_change,-0.2522167711620272,5.143041452519343e-27
110,weight_reduction,fault_correct,-0.027693998353578365,0.24487967695058904
