seed,method,parameters,train_seconds,epochs,temperature,inference_ms_natural,inference_ms_silent
101,EF,26182,0.5083540999912657,3,0.8474549503558543,0.0008518102695767646,0.0005482813932631578
101,EF_PD,26182,0.4759388999955263,3,0.9974685960905805,0.0004764894594623614,0.0003540329987270285
101,UF,17560,0.5650804000033531,3,0.6334535221299841,0.0006563244687348918,0.0007137946836675127
101,UF_PD,17560,0.8060954000102356,3,0.5352399500344946,0.0006224564666109455,0.0004494958767931188
101,Q_ONLY,17560,0.8744312000053469,3,0.523172598345024,0.0006074472931260627,0.0006046287832170465
101,CAGF,26588,1.0258998000063002,3,0.6782015902287257,0.00099472960416231,0.0008835930329334335
101,DWR,26588,1.0900040999986231,3,0.5718641810822361,0.001007561872484492,0.0010245875332728165
101,ENTROPY_PD,17560,0.9951725999999326,3,0.37938090669222985,0.0007255270352734784,0.0008199129182240122
101,PD_ONLY,19740,1.0736383000039496,3,0.5636578651939929,0.0014034830393695626,0.0008928505919351286
101,PD_MONO,19740,1.1792282999958843,3,0.5564882713994531,0.001080682858979239,0.0007105866199215033
101,PD_RANK,19740,1.1027166999992914,3,0.570530679418299,0.0007672777271801375,0.0009108157649185546
101,NO_LSCORE,19740,1.2568916000018362,3,0.567751022463404,0.001189894589292881,0.0007503666343806802
101,LSCORE_NO_LRANK,19740,1.3557998999895062,3,0.5481734955058744,0.0007496104483073534,0.0009092804778403134
101,PDRF_NOQ,19740,1.3604267000046093,3,0.607687617736664,0.0007965627896700201,0.0006359303396794429
101,PDRF,19740,1.1933534999843687,3,0.5823368855755294,0.0006649633379218593,0.0006922089848385682
