fault,contrast,metric,aligned_difference,sample_ci_low,sample_ci_high,batch_stratified_ci_low,batch_stratified_ci_high,bootstrap_reps
natural,PDRF-EF,macro_auroc,0.010289470450373206,0.008171823200757797,0.01244068017707925,0.008355892455123562,0.012407244507514322,300
natural,PDRF-EF,macro_auprc,0.022131866723555493,0.017954592509836283,0.026993056443114033,0.018203307836618283,0.02722843336782891,300
natural,PDRF-EF,accuracy,-0.007332722273143855,-0.012603116406966097,-0.0018331805682860163,-0.013290559120073323,-0.001374885426214556,300
natural,PDRF-EF,macro_f1,-0.022408729316278686,-0.028961583063433226,-0.015146483222024085,-0.028700426267806483,-0.01592587975410591,300
natural,PDRF-EF,nll,0.039044877331646966,0.017654539842703397,0.060809529476301756,0.016904462033395674,0.05560716350538378,300
natural,PDRF-UF,macro_auroc,0.003639438203845824,0.002079271718814904,0.005272526364649907,0.0022219374174903134,0.005351783268002574,300
natural,PDRF-UF,macro_auprc,0.01889514375931367,0.014255579656680142,0.023037035741890647,0.015343875182283617,0.022647617579564596,300
natural,PDRF-UF,accuracy,0.02360219981668199,0.013038496791934041,0.03299725022914757,0.015003437213565512,0.03253895508707605,300
natural,PDRF-UF,macro_f1,0.010809180131252205,0.0021854835854738745,0.019404352137387545,0.003600313824797899,0.019016241861351545,300
natural,PDRF-UF,nll,-0.19860706088710955,-0.22202148929116078,-0.17467340619634925,-0.22049562175909063,-0.17292567625813754,300
natural,PDRF-CAGF,macro_auroc,0.008497378733945626,0.005798281670162464,0.011457040162679689,0.00525297871289776,0.011324731932342078,300
natural,PDRF-CAGF,macro_auprc,0.011797426150765844,0.00673982220485439,0.01856086854180529,0.005914971217001877,0.018498073483646408,300
natural,PDRF-CAGF,accuracy,0.013519706691109135,0.005476626947754374,0.021769019248395974,0.0056083868010999354,0.021889321723189737,300
natural,PDRF-CAGF,macro_f1,0.016013904609217477,0.007231144024501113,0.024550695039343866,0.007277978850367101,0.024884566247408348,300
natural,PDRF-CAGF,nll,-0.26632786134360287,-0.30072367244114806,-0.23157934300770644,-0.30042279425308327,-0.23195434410053686,300
natural,PDRF-DWR,macro_auroc,0.008133723319069364,0.005787332373295773,0.010738435164701245,0.005680627265549557,0.010492605528999274,300
natural,PDRF-DWR,macro_auprc,0.013690941175421911,0.008222714729069233,0.019358639347000134,0.008390902398537892,0.020864731448813092,300
natural,PDRF-DWR,accuracy,0.016956920256645303,0.008816452795600343,0.02521769019248397,0.00939505041246563,0.0237225022914757,300
natural,PDRF-DWR,macro_f1,0.020612695946087833,0.010649249329105864,0.028969121660449168,0.01136465203225662,0.02950567594083694,300
natural,PDRF-DWR,nll,-0.24541957284907,-0.27794344979239805,-0.21113587584579693,-0.2789106876670743,-0.2109037236770789,300
silent_gaussian,PDRF-EF,macro_auroc,0.008155497664517952,0.005092754180420589,0.011222982131560826,0.004996454916628637,0.01197006518779083,300
silent_gaussian,PDRF-EF,macro_auprc,0.026461007281367577,0.021086661009306902,0.03163828220817599,0.021023202129228508,0.03231690417005757,300
silent_gaussian,PDRF-EF,accuracy,0.0036663611365719273,-0.0047032538955086274,0.011577681026581122,-0.0028700733272227163,0.010999083409715782,300
silent_gaussian,PDRF-EF,macro_f1,-0.010959864424046617,-0.01975151536675288,-0.00222624247174511,-0.020067725376510467,-0.002543734961130818,300
silent_gaussian,PDRF-EF,nll,-0.12861987630460603,-0.15886657789759226,-0.09590172860850142,-0.1595325850331081,-0.10318151322519178,300
silent_gaussian,PDRF-UF,macro_auroc,0.008189948273269243,0.0052266345647921705,0.011199328980344198,0.005616098234363267,0.011383205278003853,300
silent_gaussian,PDRF-UF,macro_auprc,0.026457905226465184,0.020768300082691246,0.03245674864858271,0.0203119218268092,0.031974314996877085,300
silent_gaussian,PDRF-UF,accuracy,0.01741521539871671,0.00893675527039417,0.025555682859761668,0.009841888175985308,0.02612282309807512,300
silent_gaussian,PDRF-UF,macro_f1,0.009435340854832441,0.0006807700782378774,0.018583189343063734,0.0003945298066920039,0.018359293019936433,300
silent_gaussian,PDRF-UF,nll,-0.12281427414790436,-0.15027160984508403,-0.10189379408211806,-0.15017847499530113,-0.09952308717306302,300
