method,metric,mean,std
RO-PDRF-EMA95,ece15,0.32581616222689574,0.022170670654607927
RO-PDRF-EMA95,macro_auroc,0.8074646210559615,0.009506648391790036
RO-PDRF-EMA95,nll,2.5502561252204243,0.21351556433082605
RO-PDRF-EMA99,ece15,0.30085119315821457,0.019674735696565623
RO-PDRF-EMA99,macro_auroc,0.8063991311824281,0.008450001814032415
RO-PDRF-EMA99,nll,2.264417309321328,0.17785350826953314
RO-PDRF-EMA995,ece15,0.30168085146895884,0.017912510791877154
RO-PDRF-EMA995,macro_auroc,0.8053311810358144,0.009619682629108211
RO-PDRF-EMA995,nll,2.2050825141209383,0.07677598806748731
