held_out_building,seed,method,regime,metric,value
auditorium,101,EF-PD,coral_adapt,inference_ms_per_observation,0.00031220392256455485
auditorium,101,RO-PDRF-NOQ,source_norm,accuracy,0.95910643552448
auditorium,101,RO-PDRF-NOQ,source_norm,macro_f1,0.7947310232818114
auditorium,101,RO-PDRF-NOQ,source_norm,macro_auroc,0.9840642634272652
auditorium,101,RO-PDRF-NOQ,source_norm,macro_auprc,0.808824280767013
auditorium,101,RO-PDRF-NOQ,source_norm,nll,0.15898047686542913
auditorium,101,RO-PDRF-NOQ,source_norm,class_1_precision,0.9976699632371977
auditorium,101,RO-PDRF-NOQ,source_norm,class_1_recall,0.9598963782194988
auditorium,101,RO-PDRF-NOQ,source_norm,class_1_f1,0.9784187274666125
auditorium,101,RO-PDRF-NOQ,source_norm,class_1_auroc,0.9840642576019419
auditorium,101,RO-PDRF-NOQ,source_norm,class_1_auprc,0.9994200556813941
auditorium,101,RO-PDRF-NOQ,source_norm,class_2_precision,0.45337256677229515
auditorium,101,RO-PDRF-NOQ,source_norm,class_2_recall,0.9368568755846586
auditorium,101,RO-PDRF-NOQ,source_norm,class_2_f1,0.6110433190970104
auditorium,101,RO-PDRF-NOQ,source_norm,class_2_auroc,0.9840642692525883
auditorium,101,RO-PDRF-NOQ,source_norm,class_2_auprc,0.6182285058526318
auditorium,101,RO-PDRF-NOQ,source_norm,brier,0.07060479730484899
auditorium,101,RO-PDRF-NOQ,source_norm,ece15,0.02032894628483853
auditorium,101,RO-PDRF-NOQ,source_norm,reversed_auroc,0.015935730747411794
auditorium,101,RO-PDRF-NOQ,source_norm,recall_return_air_temperature_fault,0.9705882352941176
auditorium,101,RO-PDRF-NOQ,source_norm,recall_supply_air_temperature_fault,0.7920792079207921
auditorium,101,RO-PDRF-NOQ,source_norm,selective_error_at_0.5,0.0016999166078645045
auditorium,101,RO-PDRF-NOQ,source_norm,selective_error_at_0.8,0.015736193244462293
auditorium,101,RO-PDRF-NOQ,source_norm,selective_error_at_1,0.04089356447551995
auditorium,101,RO-PDRF-NOQ,source_norm,parameters,15055.0
auditorium,101,RO-PDRF-NOQ,source_norm,train_seconds,65.02644959998725
auditorium,101,RO-PDRF-NOQ,source_norm,epochs,12.0
auditorium,101,RO-PDRF-NOQ,source_norm,inference_ms_per_observation,0.000683139021910186
auditorium,101,RO-PDRF-NOQ,target_norm,accuracy,0.9287008675850346
auditorium,101,RO-PDRF-NOQ,target_norm,macro_f1,0.7157426691670117
auditorium,101,RO-PDRF-NOQ,target_norm,macro_auroc,0.9715228863510053
auditorium,101,RO-PDRF-NOQ,target_norm,macro_auprc,0.7670898193733148
auditorium,101,RO-PDRF-NOQ,target_norm,nll,0.19542589589791146
auditorium,101,RO-PDRF-NOQ,target_norm,class_1_precision,0.9969881128477482
auditorium,101,RO-PDRF-NOQ,target_norm,class_1_recall,0.9289759046148226
auditorium,101,RO-PDRF-NOQ,target_norm,class_1_f1,0.961781139860741
auditorium,101,RO-PDRF-NOQ,target_norm,class_1_auroc,0.9715228921763285
auditorium,101,RO-PDRF-NOQ,target_norm,class_1_auprc,0.9989279315864041
auditorium,101,RO-PDRF-NOQ,target_norm,class_2_precision,0.31524175472302274
auditorium,101,RO-PDRF-NOQ,target_norm,class_2_recall,0.9209541627689429
auditorium,101,RO-PDRF-NOQ,target_norm,class_2_f1,0.46970419847328243
auditorium,101,RO-PDRF-NOQ,target_norm,class_2_auroc,0.9715228805256821
auditorium,101,RO-PDRF-NOQ,target_norm,class_2_auprc,0.5352517071602254
auditorium,101,RO-PDRF-NOQ,target_norm,brier,0.10986992013427663
auditorium,101,RO-PDRF-NOQ,target_norm,ece15,0.015275308109796795
auditorium,101,RO-PDRF-NOQ,target_norm,reversed_auroc,0.028477119474317865
auditorium,101,RO-PDRF-NOQ,target_norm,recall_return_air_temperature_fault,0.9492502883506344
auditorium,101,RO-PDRF-NOQ,target_norm,recall_supply_air_temperature_fault,0.7995049504950495
auditorium,101,RO-PDRF-NOQ,target_norm,selective_error_at_0.5,0.011033421001988564
auditorium,101,RO-PDRF-NOQ,target_norm,selective_error_at_0.8,0.02219103939059841
auditorium,101,RO-PDRF-NOQ,target_norm,selective_error_at_1,0.07129913241496544
auditorium,101,RO-PDRF-NOQ,target_norm,parameters,15055.0
auditorium,101,RO-PDRF-NOQ,target_norm,train_seconds,65.02644959998725
auditorium,101,RO-PDRF-NOQ,target_norm,epochs,12.0
auditorium,101,RO-PDRF-NOQ,target_norm,inference_ms_per_observation,0.0005232997099311761
auditorium,101,RO-PDRF-NOQ,coral_adapt,accuracy,0.9297272158699104
auditorium,101,RO-PDRF-NOQ,coral_adapt,macro_f1,0.7177716645006413
auditorium,101,RO-PDRF-NOQ,coral_adapt,macro_auroc,0.9722489429795775
auditorium,101,RO-PDRF-NOQ,coral_adapt,macro_auprc,0.797291911086889
auditorium,101,RO-PDRF-NOQ,coral_adapt,nll,0.2169695712215261
auditorium,101,RO-PDRF-NOQ,coral_adapt,class_1_precision,0.9969738505082151
auditorium,101,RO-PDRF-NOQ,coral_adapt,class_1_recall,0.9300552981617097
auditorium,101,RO-PDRF-NOQ,coral_adapt,class_1_f1,0.9623526581669474
auditorium,101,RO-PDRF-NOQ,coral_adapt,class_1_auroc,0.9722489332707057
auditorium,101,RO-PDRF-NOQ,coral_adapt,class_1_auprc,0.9989277185819145
auditorium,101,RO-PDRF-NOQ,coral_adapt,class_2_precision,0.31844660194174756
auditorium,101,RO-PDRF-NOQ,coral_adapt,class_2_recall,0.9204864359214219
auditorium,101,RO-PDRF-NOQ,coral_adapt,class_2_f1,0.4731906708343352
auditorium,101,RO-PDRF-NOQ,coral_adapt,class_2_auroc,0.9722489526884495
auditorium,101,RO-PDRF-NOQ,coral_adapt,class_2_auprc,0.5956561035918634
auditorium,101,RO-PDRF-NOQ,coral_adapt,brier,0.11275928060868501
auditorium,101,RO-PDRF-NOQ,coral_adapt,ece15,0.02091988549192035
auditorium,101,RO-PDRF-NOQ,coral_adapt,reversed_auroc,0.027751043428001672
auditorium,101,RO-PDRF-NOQ,coral_adapt,recall_return_air_temperature_fault,0.9584775086505191
auditorium,101,RO-PDRF-NOQ,coral_adapt,recall_supply_air_temperature_fault,0.7574257425742574
auditorium,101,RO-PDRF-NOQ,coral_adapt,selective_error_at_0.5,0.017768939636923498
auditorium,101,RO-PDRF-NOQ,coral_adapt,selective_error_at_0.8,0.02878620827904177
auditorium,101,RO-PDRF-NOQ,coral_adapt,selective_error_at_1,0.07027278413008964
auditorium,101,RO-PDRF-NOQ,coral_adapt,parameters,15055.0
auditorium,101,RO-PDRF-NOQ,coral_adapt,train_seconds,65.02644959998725
auditorium,101,RO-PDRF-NOQ,coral_adapt,epochs,12.0
auditorium,101,RO-PDRF-NOQ,coral_adapt,inference_ms_per_observation,0.00046574081492348294
auditorium,101,GroupDRO-EF-PD,source_only,accuracy,0.9947399650400115
auditorium,101,GroupDRO-EF-PD,source_only,macro_f1,0.9624482891151421
auditorium,101,GroupDRO-EF-PD,source_only,macro_auroc,0.9996486786435
auditorium,101,GroupDRO-EF-PD,source_only,macro_auprc,0.9955389452518284
auditorium,101,GroupDRO-EF-PD,source_only,nll,0.012337797218359432
auditorium,101,GroupDRO-EF-PD,source_only,class_1_precision,0.9993996297716925
auditorium,101,GroupDRO-EF-PD,source_only,class_1_recall,0.9951510320662914
auditorium,101,GroupDRO-EF-PD,source_only,class_1_f1,0.9972708059443178
auditorium,101,GroupDRO-EF-PD,source_only,class_1_auroc,0.9996486786435
auditorium,101,GroupDRO-EF-PD,source_only,class_1_auprc,0.9999875125960946
auditorium,101,GroupDRO-EF-PD,source_only,class_2_precision,0.8780284043441938
auditorium,101,GroupDRO-EF-PD,source_only,class_2_recall,0.9831618334892422
auditorium,101,GroupDRO-EF-PD,source_only,class_2_f1,0.9276257722859664
auditorium,101,GroupDRO-EF-PD,source_only,class_2_auroc,0.9996486786435
auditorium,101,GroupDRO-EF-PD,source_only,class_2_auprc,0.991090377907562
auditorium,101,GroupDRO-EF-PD,source_only,brier,0.007536212050874187
auditorium,101,GroupDRO-EF-PD,source_only,ece15,0.0014990623706112917
auditorium,101,GroupDRO-EF-PD,source_only,reversed_auroc,0.0003513213564999757
auditorium,101,GroupDRO-EF-PD,source_only,recall_return_air_temperature_fault,0.9925028835063437
auditorium,101,GroupDRO-EF-PD,source_only,recall_supply_air_temperature_fault,0.943069306930693
auditorium,101,GroupDRO-EF-PD,source_only,selective_error_at_0.5,0.0
auditorium,101,GroupDRO-EF-PD,source_only,selective_error_at_0.8,0.0
auditorium,101,GroupDRO-EF-PD,source_only,selective_error_at_1,0.005260034959988502
auditorium,101,GroupDRO-EF-PD,source_only,train_seconds,21.78700349999417
auditorium,101,GroupDRO-EF-PD,source_only,parameters,12354.0
auditorium,101,GroupDRO-EF-PD,source_only,epochs,12.0
auditorium,101,GroupDRO-EF-PD,source_only,inference_ms_per_observation,0.00028386708774504597
