fault_type,ro_cagf,ro_pdrf,difference,ci_low,ci_high
gaussian,0.7921342913896051,0.8033842728223402,0.011249981432735107,-0.009488890752678707,0.02800517730695847
offset,0.7856515023615579,0.815561372769974,0.029909870408415962,0.00267691564685347,0.056885784316779
drift,0.7909484225260142,0.8260248636589799,0.0350764411329656,0.012003991160629699,0.05730209683977825
stuck_at,0.7776659385312004,0.8112186504823209,0.0335527119511204,0.0030257981581405004,0.06222014988829244
