seed,method,fault_realization,batch,subset,metric,value,n
101,EF-PD+CD,70001,10,unaffected,macro_f1,0.5620271883495628,2150
101,EF-PD+CD,70001,10,unaffected,macro_auroc,0.8476194095882216,2150
101,EF-PD+CD,70001,10,unaffected,macro_auprc,0.6283785793103058,2150
101,EF-PD+CD,70001,10,unaffected,nll,1.5495671044356085,2150
101,EF-PD+CD,70001,10,unaffected,brier,0.5907863824936219,2150
101,EF-PD+CD,70001,10,unaffected,ece15,0.16583235139070557,2150
101,UF-PD+CD,70001,all,all,accuracy,0.5405591200733272,4364
101,UF-PD+CD,70001,all,all,macro_f1,0.5235494340054662,4364
101,UF-PD+CD,70001,all,all,macro_auroc,0.8242002126371973,4364
101,UF-PD+CD,70001,all,all,macro_auprc,0.5729636820746876,4364
101,UF-PD+CD,70001,all,all,nll,1.8569916834905975,4364
101,UF-PD+CD,70001,all,all,brier,0.683070212085061,4364
101,UF-PD+CD,70001,all,all,ece15,0.24467272593492106,4364
101,UF-PD+CD,70001,all,affected,accuracy,0.4838526912181303,1765
101,UF-PD+CD,70001,all,affected,macro_f1,0.46712225410471636,1765
101,UF-PD+CD,70001,all,affected,macro_auroc,0.7906571502841744,1765
101,UF-PD+CD,70001,all,affected,macro_auprc,0.5067591216352685,1765
101,UF-PD+CD,70001,all,affected,nll,2.271254777955054,1765
101,UF-PD+CD,70001,all,affected,brier,0.7883831734830282,1765
101,UF-PD+CD,70001,all,affected,ece15,0.30380544993424885,1765
101,UF-PD+CD,70001,all,unaffected,accuracy,0.5790688726433244,2599
101,UF-PD+CD,70001,all,unaffected,macro_f1,0.5616280225169403,2599
101,UF-PD+CD,70001,all,unaffected,macro_auroc,0.8478678548358136,2599
101,UF-PD+CD,70001,all,unaffected,macro_auprc,0.6228517481194712,2599
101,UF-PD+CD,70001,all,unaffected,nll,1.575662571628433,2599
101,UF-PD+CD,70001,all,unaffected,brier,0.6115514060568146,2599
101,UF-PD+CD,70001,all,unaffected,ece15,0.20451523317149528,2599
101,UF-PD+CD,70001,8,all,accuracy,0.6156462585034014,294
101,UF-PD+CD,70001,8,all,macro_f1,0.5988733871727658,294
101,UF-PD+CD,70001,8,all,macro_auroc,0.9103557026672293,294
101,UF-PD+CD,70001,8,all,macro_auprc,0.701586592085142,294
101,UF-PD+CD,70001,8,all,nll,1.0130203253665182,294
101,UF-PD+CD,70001,8,all,brier,0.49281784523517674,294
101,UF-PD+CD,70001,8,all,ece15,0.14567392922583083,294
101,UF-PD+CD,70001,8,affected,accuracy,0.5416666666666666,120
101,UF-PD+CD,70001,8,affected,macro_f1,0.5108026083832536,120
101,UF-PD+CD,70001,8,affected,macro_auroc,0.8642069050588147,120
101,UF-PD+CD,70001,8,affected,macro_auprc,0.6285340837406382,120
101,UF-PD+CD,70001,8,affected,nll,1.445875977883282,120
101,UF-PD+CD,70001,8,affected,brier,0.6605285668630066,120
