subset,difference
all,-0.002232132282192767
all,-0.0020469645187621843
all,-0.0015790715591676996
all,0.003374223552538469
all,9.747478304233947e-05
all,-0.0027847812753316603
all,0.0006191830920124763
all,0.0011739142608122588
all,5.681436513715887e-05
all,0.002594512548794503
all,-0.003394381305452887
all,0.0028280200448822512
all,-0.0006887858947073333
all,0.001909067423237154
all,-0.0012942632636515627
all,-0.002151520507055915
all,-0.0014344077458325888
all,0.00029888639145703166
all,-0.0004456919067992171
all,0.0003409210030016485
all,4.668233893290186e-05
all,0.0029656776826726405
all,-0.00011855966566742815
all,0.0034474256393524083
all,0.0036030946390530616
all,-0.0006721032053206288
all,-0.0004133928758283112
all,-0.0001278313073944659
all,-0.00010974195774648976
all,0.004597917837007803
all,0.003968033514329061
all,-0.0029872669035582167
all,-0.001305629901980132
all,-0.002919196990135431
all,0.0037797622340440817
all,-0.002921410684339265
all,0.00220043644844492
all,-0.002744417962075696
all,-0.0001238851900040583
all,0.00031797393237442684
all,0.0015229014398450147
all,-0.0002012024516275801
all,0.0022355545631321805
all,-0.0001251788846799995
all,7.758499577759093e-05
all,0.0024125982826768144
all,0.0010211198458282
all,0.0027250774294823588
all,-0.00020283168225931902
all,-0.0006052433953596115
all,-0.0019367992583133598
all,-0.0015157288844874772
all,0.0005197840294876022
all,0.001794073082037717
all,-0.0021696786498683895
all,-0.0044203365956699825
all,0.0019333817535410747
all,-0.0005730175948761573
all,0.001096238127665683
all,-0.00022746966664799473
all,0.003979786540955654
all,-0.00369750469656005
all,-0.0010893133932954324
all,0.0020376380342903566
all,0.0013033415927335978
all,0.0034795367522818532
all,-0.004254775122792598
all,-0.000503251973812513
all,-0.0006928747459769014
all,-0.002413510752161452
all,0.0009520369813376117
all,0.0013142075826797495
all,-0.0022165790419627074
all,-0.0031240059688112387
all,0.0013998010786715476
all,-0.002282405657058728
all,-0.004742578596997116
all,-0.0017711164966803805
all,0.001475835448200069
all,-0.003764513264841507
all,0.0008398711921062674
all,0.004539792151754374
all,-0.001445270082994221
all,0.003516322647832526
all,0.0005534718510785686
all,-0.0010854669242436055
all,0.0016591628182953677
all,-0.0030868095185908606
all,-0.002036110963963722
all,9.461540429089865e-05
all,-0.00022102568143300694
all,0.001788904701637395
all,-0.0006765403786029855
all,-0.0008421679007609706
all,0.0006714775259130112
all,0.0017168223442154407
all,0.0009907140004598025
all,-0.00040587031010030916
all,0.000476699505569389
all,0.0004970142823528256
all,0.0013356625754894491
all,0.0022202605757474236
all,-0.0016410083983594559
all,0.00027442546390743505
all,0.004658614187475152
all,0.0009288531261948396
all,0.0012431663827764394
all,-0.00362381682156665
all,-0.0018583047700784228
all,-0.0006646201668657481
all,7.859656070041687e-05
all,-0.0020436488827703103
all,-0.0020713619284691287
all,0.0007882989003800134
all,0.0018277019563757158
all,-0.0002904676550994356
all,0.00195721648359648
all,-0.0022115931774676634
all,-0.002056485136249897
all,-0.0035038888984789684
all,-0.0001576252017336799
all,0.002981681322001606
all,-0.0009595943517244354
all,-0.0014695939212175935
all,-0.002186877427279521
all,-0.0005472122439613702
all,0.0008625437547606918
all,0.0005307194019300576
all,-0.0017723542920378144
all,-0.0030442255109006666
all,-0.000896629645515068
all,-0.0018947049218891454
all,0.0018115405460873424
all,0.00018100057921932589
all,0.0003379907864389242
all,0.00042075460546175947
all,-0.0022354161675485207
all,-0.0018648551690418902
all,0.0007639487592512317
all,0.0013070582248247975
all,0.002160392129455735
all,-0.0036432107465181884
all,0.0010921800860168585
all,-0.0007807109742948848
all,0.00015967084429524547
all,0.00039030907424353334
all,0.002042589778735615
all,-0.0005801371252265319
all,0.002024780956252803
all,0.0006014167036471063
all,0.0008085847784021771
all,0.00462838086948647
all,-0.0020889508263296497
all,0.0009372989786955443
all,-0.0030174656984215398
all,-0.0013959079668477425
all,-0.0025515072584614273
all,0.0006831070420987295
all,0.0008115378055617573
all,0.0017893843345976324
all,0.001704211493599339
all,0.0026634110626746477
all,0.0011200475190031867
all,0.0003051669851998895
all,-0.0016856857910098055
all,-0.0021397926418645907
all,-0.000248891757726466
all,0.0010657030420748725
all,0.00018288615031014643
all,5.447604858044297e-05
all,0.00040520952212141914
all,-0.00035697425312564146
all,0.001832060155876003
all,0.0008907529260240299
all,-0.0005241307877648094
all,-0.0020311374969044227
all,0.0023040096658680786
all,0.0009168813900697348
all,0.000530846346043834
all,0.00034076964450957536
all,-0.0017752058511272262
all,0.0036168992851086657
all,-0.001044167583540423
all,-0.0008654096476473638
all,0.002431966760537141
all,0.0021323273166079515
all,0.0011408466231610515
all,0.002469148016858602
all,-0.001098976794952189
all,-0.0002809517504381853
all,0.000997477319635398
all,0.003068133654391736
all,-0.001356713673602461
all,0.0009410400243439199
all,-0.002397238785692979
all,0.0028178551612494385
all,0.000487300077371966
all,0.0008193215769566331
all,0.00174074819576997
all,-0.001742701263762081
all,0.00494984316967606
all,-0.003509405006100308
all,0.0015143930169841946
all,-4.741640607830444e-05
all,0.0027189309118266225
all,0.00450736422902831
all,-0.0007225160745771841
all,-0.0006589669001716425
all,-0.00014285199572494633
all,0.0003777683855091807
all,0.0003396180848396213
all,-0.0003968317948972455
all,0.003966879140768209
all,0.001184717301112137
all,0.0007586758725252052
all,-0.0017081516778563177
all,0.0018882187511461979
all,0.0018835475400605928
all,0.0031161381646195307
all,-0.002322534016673705
all,0.00020237771260778192
all,-0.0014536021677740152
all,0.001336262189297166
all,0.00105104108594134
all,0.0020651780514295837
all,-0.0003079886723181824
all,-0.002976465419612606
all,-0.0013738682109804001
all,-0.0012927024808488952
all,0.002907236084443321
all,-0.001194854817464286
all,0.00037682959847851194
all,-0.00042709533042861736
all,-0.00010628980261584431
all,-0.0005267057650625295
all,7.560242726345479e-05
all,0.001850530172324949
all,0.0008261771226751868
all,0.0030807236602395927
all,0.0009552416736324787
all,0.0021357452186627768
all,0.002814644635592778
all,-4.738570084728e-05
all,-0.0003574052441976949
all,0.00011668466759129359
all,0.0016059849230506407
all,0.002072412068388818
all,0.003836209898205656
all,0.0039284861710910945
all,-0.0021132126019465236
all,-0.0017427269817691382
all,-0.004243374338099959
all,-0.0008567654910786038
all,0.0008398872475057217
all,0.0030767746025200937
all,0.001627768772640481
all,-0.0011285552144638666
all,0.001159373997587032
all,0.001718934204506195
all,-0.0003547302674641317
all,0.002219029417925733
all,0.0019738216605587056
all,-0.0014271559080333285
all,0.0011137917085398685
all,-0.002339926300637951
all,0.0006695143348931509
all,2.504419809268299e-05
all,0.0014399942951466294
all,0.0006147537375134071
all,0.0005873803020587376
all,-0.0012820457692017673
all,-0.0007494139493986474
all,-0.0023241483178504385
all,-0.0005431041578911611
all,-0.0004528474191337617
all,-0.003052294324032201
all,0.0036570376396045656
all,0.0002593141807188948
all,0.0017037562432319353
all,0.0006854361759082161
all,-0.0007754278501237444
