dataset,method,parameters,train_mean,train_sd,infer_mean,infer_sd
chemical,CAGF,26588,13.513916829999653,3.9573886011216057,0.00187216315350292,0.00032832102178552593
chemical,PDRF,19740,18.05945223000017,5.921254039979559,0.00199421173112362,0.00020277836537609695
chemical,RO-CAGF,26588,14.097588250003174,2.981706894296549,0.00195263748819163,0.00015671400407945036
chemical,RO-PDRF,19740,22.666738400000032,5.639640202300172,0.0019771035739139403,0.00017514561180186623
hydraulic,CAGF,37844,7.480874484997185,2.3848454945535704,0.01161885320304017,0.0011495912647263055
hydraulic,PDRF,29300,10.44707289999933,1.8167910337958533,0.011519655960968645,0.0010269447329010275
hydraulic,RO-CAGF,37844,8.451366684999083,2.959105325544924,0.014522637616001316,0.005442750818407312
hydraulic,RO-PDRF,29300,11.81233428499836,1.8820899927269181,0.011894472471786485,0.0018701207544959784
