method,seed,epoch,train_loss,gradient_norm,selection_ce
EF-PD+CD,101,1,1.2939299369851749,0.6724243586262068,0.6714642643928528
EF-PD+CD,101,2,0.4605521907409032,0.8822700555125872,0.5175070762634277
EF-PD+CD,101,3,0.2895701328913371,0.8182036926349004,0.45473459362983704
EF-PD+CD,101,4,0.22694365431865057,0.6351744843026003,0.406497061252594
EF-PD+CD,101,5,0.20630001835525036,0.6644797635575136,0.40968161821365356
EF-PD+CD,101,6,0.17551402499278387,0.5229983478784561,0.3730854392051697
EF-PD+CD,101,7,0.17184437066316605,0.5053826359411081,0.4087865650653839
EF-PD+CD,101,8,0.15755077513555685,0.444350133339564,0.41504842042922974
EF-PD+CD,101,9,0.15329804302503666,0.43085532387097675,0.3499915897846222
EF-PD+CD,101,10,0.14865291273842254,0.5042027924209833,0.4226948618888855
EF-PD+CD,101,11,0.13700993219390512,0.460556723177433,0.46180176734924316
EF-PD+CD,101,12,0.13396428044264516,0.36923877398173016,0.3726114332675934
EF-PD+CD,101,13,0.12803549350549778,0.34484631195664406,0.3497622013092041
EF-PD+CD,101,14,0.12106960949798425,0.3530628817776839,0.34794408082962036
EF-PD+CD,101,15,0.11819888992855947,0.38663535254697007,0.3941808342933655
EF-PD+CD,101,16,0.11640883640696605,0.3747808765619993,0.38822853565216064
EF-PD+CD,101,17,0.1255498525376121,0.4243553063521783,0.40113410353660583
EF-PD+CD,101,18,0.1213095107426246,0.44818781564633053,0.3191136419773102
EF-PD+CD,101,19,0.11530004690090816,0.33819267464180786,0.3458813428878784
EF-PD+CD,101,20,0.10739532687390844,0.3148546215767662,0.4320785701274872
EF-PD+CD,101,21,0.11073605219523112,0.3807422971973817,0.3228580057621002
EF-PD+CD,101,22,0.12016626851012309,0.4830947232743104,0.34824907779693604
EF-PD+CD,101,23,0.10282556929936011,0.2981079885115226,0.4568502902984619
EF-PD+CD,101,24,0.10312517592683434,0.31462699982027215,0.3823263347148895
EF-PD+CD,101,25,0.10396553451816241,0.28339480608701706,0.4648391604423523
EF-PD+CD,101,26,0.09577025736992557,0.3027839244653781,0.4608485698699951
EF-PD+CD,101,27,0.0996116913544635,0.29207376949489117,0.37758517265319824
UF-PD+CD,101,1,1.8101421644290288,0.22526522849996886,1.3318281173706055
UF-PD+CD,101,2,1.115613617002964,0.31998730823397636,0.809883713722229
UF-PD+CD,101,3,0.5947870252033075,0.31322468382616836,0.6010464429855347
UF-PD+CD,101,4,0.37837346581121284,0.30190809567769367,0.586380124092102
UF-PD+CD,101,5,0.2999313585460186,0.28414109845956165,0.5320630669593811
UF-PD+CD,101,6,0.2534424190719922,0.2656361684203148,0.5171371698379517
UF-PD+CD,101,7,0.2179314543803533,0.24525880254805088,0.43454259634017944
UF-PD+CD,101,8,0.1903188737730185,0.22721285310884318,0.47854360938072205
UF-PD+CD,101,9,0.17938967607915401,0.2083759472394983,0.4901082515716553
UF-PD+CD,101,10,0.17046756017953157,0.2616141413648923,0.45939716696739197
UF-PD+CD,101,11,0.14756924441705147,0.21785063234468302,0.4847630560398102
UF-PD+CD,101,12,0.14470614679157734,0.22853153695662817,0.4941001832485199
UF-PD+CD,101,13,0.13912692510833344,0.21194971663256487,0.48645853996276855
UF-PD+CD,101,14,0.12528001299748817,0.20560721307992935,0.4527081847190857
UF-PD+CD,101,15,0.1237580416103204,0.2070907981445392,0.5288461446762085
UF-PD+CD,101,16,0.12348945035288732,0.22990377185245356,0.45116478204727173
CAGF+CD,101,1,1.76557058095932,0.2884462724129359,1.2259217500686646
CAGF+CD,101,2,1.0249674916267395,0.4679170387486617,0.7655544877052307
CAGF+CD,101,3,0.6733561977744102,0.6891028595467409,0.5965805053710938
CAGF+CD,101,4,0.4798575739065806,0.714239627122879,0.4803115427494049
CAGF+CD,101,5,0.36183075482646626,0.5617182329297066,0.5498490333557129
CAGF+CD,101,6,0.3008103780448437,0.563065497825543,0.5239608883857727
CAGF+CD,101,7,0.26396158585945767,0.6139695743719736,0.5747944116592407
CAGF+CD,101,8,0.22092858577768007,0.4859195562700431,0.5277933478355408
CAGF+CD,101,9,0.19975731521844864,0.5118830551703771,0.41293421387672424
CAGF+CD,101,10,0.18128404983629784,0.5453802905976772,0.496361643075943
CAGF+CD,101,11,0.15403622202575207,0.5023700048526129,0.5489480495452881
CAGF+CD,101,12,0.14081004448235035,0.5152758931120237,0.5133851170539856
CAGF+CD,101,13,0.14443291941036782,0.5712257747848829,0.5632296800613403
CAGF+CD,101,14,0.1274608097349604,0.5416440442204475,0.477371484041214
CAGF+CD,101,15,0.11248815649499495,0.42827102666099864,0.4024316370487213
CAGF+CD,101,16,0.10430384900731345,0.40463832455376786,0.4276416599750519
CAGF+CD,101,17,0.1066845649232467,0.41088865883648396,0.5224632024765015
CAGF+CD,101,18,0.09375437768176198,0.3724702503532171,0.49157479405403137
CAGF+CD,101,19,0.08347428636625409,0.30340579400459927,0.46120336651802063
CAGF+CD,101,20,0.07602397911250591,0.2982714083045721,0.48960408568382263
CAGF+CD,101,21,0.07569018083934982,0.47957668143014115,0.4898955225944519
CAGF+CD,101,22,0.10281260125339031,0.4552903864532709,0.44894301891326904
CAGF+CD,101,23,0.08888486974562208,0.5401766157398621,0.4160350263118744
CAGF+CD,101,24,0.07768615242093801,0.36464022286236286,0.43879759311676025
PDRF+CD,101,1,2.18734901646773,0.31565174584587413,1.3580834865570068
PDRF+CD,101,2,1.4506962274511654,0.3531034328043461,0.8656037449836731
PDRF+CD,101,3,0.8532595286766688,0.3805125616490841,0.6296176910400391
PDRF+CD,101,4,0.5616025576988856,0.3706776984035969,0.5652812719345093
PDRF+CD,101,5,0.4169629917790492,0.3851163039604823,0.48383215069770813
PDRF+CD,101,6,0.320807180677851,0.38312085159122944,0.46888139843940735
PDRF+CD,101,7,0.24918817014743885,0.39149571520586807,0.4483974575996399
PDRF+CD,101,8,0.18994409311562777,0.40889130905270576,0.43244388699531555
PDRF+CD,101,9,0.12741934849570194,0.37133909575641155,0.4455356001853943
PDRF+CD,101,10,0.07778588338987902,0.390570517629385,0.4048304855823517
PDRF+CD,101,11,0.033923012747739754,0.3787216233710448,0.3926537036895752
PDRF+CD,101,12,0.009371290061001977,0.4208230252067248,0.44638171792030334
PDRF+CD,101,13,-0.02656456579764684,0.4047197091082732,0.3980240523815155
PDRF+CD,101,14,-0.05287937928612033,0.38972267508506775,0.405444473028183
PDRF+CD,101,15,-0.07306313225611423,0.3901978811870019,0.3836495876312256
PDRF+CD,101,16,-0.07595165826690693,0.3812059437235196,0.38985273241996765
PDRF+CD,101,17,-0.08997472783084959,0.4149611194928487,0.399985134601593
PDRF+CD,101,18,-0.1077885099221021,0.3802475991348426,0.4135562777519226
PDRF+CD,101,19,-0.12212902680039406,0.3636792091031869,0.42677152156829834
PDRF+CD,101,20,-0.1325909656782945,0.37195312045514584,0.36763858795166016
PDRF+CD,101,21,-0.1320376762499412,0.392067418123285,0.4284321963787079
PDRF+CD,101,22,-0.14250238689904413,0.3514949306845665,0.38806870579719543
PDRF+CD,101,23,-0.1510485994319121,0.3575271212806304,0.3844462037086487
PDRF+CD,101,24,-0.15658746178572377,0.35158010634283227,0.4324676990509033
PDRF+CD,101,25,-0.15771116223186255,0.3313646651804447,0.4452611804008484
PDRF+CD,101,26,-0.16384649726872644,0.3476719409227371,0.41922977566719055
PDRF+CD,101,27,-0.16379488135377565,0.34797539624075097,0.39282190799713135
PDRF+CD,101,28,-0.16372164835532507,0.39566424178580445,0.4748917520046234
PDRF+CD,101,29,-0.16955776109049717,0.38688157374660176,0.3892224431037903
PDRF+CD-T07,101,1,2.1862154652674994,0.3158707122008006,1.3583590984344482
PDRF+CD-T07,101,2,1.4488543619712193,0.35598573212822276,0.8645557761192322
PDRF+CD-T07,101,3,0.8448003381490707,0.38569196437795955,0.6262410879135132
PDRF+CD-T07,101,4,0.552080954114596,0.3691419667253892,0.5617568492889404
PDRF+CD-T07,101,5,0.41214231215417385,0.3870490472763777,0.47824224829673767
PDRF+CD-T07,101,6,0.3147565679003795,0.3780719966938098,0.46889734268188477
PDRF+CD-T07,101,7,0.24624817445874214,0.4170962745944659,0.4466959238052368
PDRF+CD-T07,101,8,0.18274995870888233,0.4045279075702031,0.4268812835216522
PDRF+CD-T07,101,9,0.1221594635086755,0.3682895364860694,0.45072105526924133
PDRF+CD-T07,101,10,0.0779156163528872,0.37656760464111966,0.39489468932151794
PDRF+CD-T07,101,11,0.02036745413594569,0.37006644159555435,0.40093764662742615
PDRF+CD-T07,101,12,-0.002202489374515911,0.40164631232619286,0.44146957993507385
PDRF+CD-T07,101,13,-0.03273415759516259,0.4063921670118968,0.397029846906662
PDRF+CD-T07,101,14,-0.05829287310674166,0.38254236429929733,0.40103062987327576
PDRF+CD-T07,101,15,-0.07302259343365829,0.4258214874813954,0.3829982876777649
PDRF+CD-T07,101,16,-0.0766721973195672,0.41644630767405033,0.3835817873477936
PDRF+CD-T07,101,17,-0.09015268952740978,0.4191021186610063,0.3933817148208618
