method,fault,batch,metric,value,n_samples
BCRF,silent_gaussian,9,macro_auprc,0.8019839359998217,470
BCRF,silent_gaussian,9,accuracy,0.6553191489361702,470
BCRF,silent_gaussian,9,macro_f1,0.6051939959673076,470
BCRF,silent_gaussian,9,nll,0.9807471741028154,470
BCRF,silent_gaussian,10,macro_auroc,0.8567775925925926,3600
BCRF,silent_gaussian,10,macro_auprc,0.6716316372021426,3600
BCRF,silent_gaussian,10,accuracy,0.6113888888888889,3600
BCRF,silent_gaussian,10,macro_f1,0.5804056674003125,3600
BCRF,silent_gaussian,10,nll,1.4166638290264386,3600
BCRF,stuck_at,8,macro_auroc,0.9514932500319772,294
BCRF,stuck_at,8,macro_auprc,0.8756031483024285,294
BCRF,stuck_at,8,accuracy,0.7210884353741497,294
BCRF,stuck_at,8,macro_f1,0.7189776388852372,294
BCRF,stuck_at,8,nll,0.6402973220674405,294
BCRF,stuck_at,9,macro_auroc,0.9229576505393883,470
BCRF,stuck_at,9,macro_auprc,0.8191547696366931,470
BCRF,stuck_at,9,accuracy,0.6680851063829787,470
BCRF,stuck_at,9,macro_f1,0.6219742850608035,470
BCRF,stuck_at,9,nll,0.9553393291961352,470
BCRF,stuck_at,10,macro_auroc,0.8585723148148149,3600
BCRF,stuck_at,10,macro_auprc,0.6764743683734591,3600
BCRF,stuck_at,10,accuracy,0.6116666666666667,3600
BCRF,stuck_at,10,macro_f1,0.5823883302381234,3600
BCRF,stuck_at,10,nll,1.374334731948872,3600
CAGF,clipping,8,macro_auroc,0.9541673674254523,294
CAGF,clipping,8,macro_auprc,0.8605534342476067,294
CAGF,clipping,8,accuracy,0.7448979591836735,294
CAGF,clipping,8,macro_f1,0.7149088814957304,294
CAGF,clipping,8,nll,0.7916969706250042,294
CAGF,clipping,9,macro_auroc,0.9154004084358816,470
CAGF,clipping,9,macro_auprc,0.7831183111598784,470
CAGF,clipping,9,accuracy,0.648936170212766,470
CAGF,clipping,9,macro_f1,0.6107445256052066,470
CAGF,clipping,9,nll,0.9787160230413918,470
CAGF,clipping,10,macro_auroc,0.8602072222222222,3600
CAGF,clipping,10,macro_auprc,0.6615267740442177,3600
CAGF,clipping,10,accuracy,0.5811111111111111,3600
CAGF,clipping,10,macro_f1,0.5445044090795225,3600
CAGF,clipping,10,nll,1.1846211134687246,3600
CAGF,correlated_dual,8,macro_auroc,0.9424231495451982,294
CAGF,correlated_dual,8,macro_auprc,0.824317251376995,294
CAGF,correlated_dual,8,accuracy,0.7448979591836735,294
CAGF,correlated_dual,8,macro_f1,0.7422098898018193,294
CAGF,correlated_dual,8,nll,0.7725342213445426,294
CAGF,correlated_dual,9,macro_auroc,0.9021286724936454,470
CAGF,correlated_dual,9,macro_auprc,0.7756031485499607,470
CAGF,correlated_dual,9,accuracy,0.6531914893617021,470
CAGF,correlated_dual,9,macro_f1,0.619248397758969,470
CAGF,correlated_dual,9,nll,0.974138667995401,470
CAGF,correlated_dual,10,macro_auroc,0.8575017592592591,3600
CAGF,correlated_dual,10,macro_auprc,0.6642170985155224,3600
CAGF,correlated_dual,10,accuracy,0.5811111111111111,3600
CAGF,correlated_dual,10,macro_f1,0.5392836071435001,3600
CAGF,correlated_dual,10,nll,1.2147007983224585,3600
CAGF,gain_loss,8,macro_auroc,0.9604706975116684,294
CAGF,gain_loss,8,macro_auprc,0.875575307405425,294
CAGF,gain_loss,8,accuracy,0.8095238095238095,294
CAGF,gain_loss,8,macro_f1,0.7956473282560239,294
CAGF,gain_loss,8,nll,0.797416161565001,294
CAGF,gain_loss,9,macro_auroc,0.9126592408260721,470
CAGF,gain_loss,9,macro_auprc,0.7823818775122401,470
CAGF,gain_loss,9,accuracy,0.6531914893617021,470
CAGF,gain_loss,9,macro_f1,0.6202913203335847,470
CAGF,gain_loss,9,nll,0.9422681329426658,470
CAGF,gain_loss,10,macro_auroc,0.8607717592592593,3600
CAGF,gain_loss,10,macro_auprc,0.6647340118410466,3600
CAGF,gain_loss,10,accuracy,0.5869444444444445,3600
CAGF,gain_loss,10,macro_f1,0.5593453092495877,3600
CAGF,gain_loss,10,nll,1.1512092838247348,3600
CAGF,linear_drift,8,macro_auroc,0.961661892130426,294
CAGF,linear_drift,8,macro_auprc,0.887428274330253,294
CAGF,linear_drift,8,accuracy,0.7585034013605442,294
CAGF,linear_drift,8,macro_f1,0.7430956604549693,294
CAGF,linear_drift,8,nll,0.7373355211314705,294
CAGF,linear_drift,9,macro_auroc,0.9009713300888041,470
CAGF,linear_drift,9,macro_auprc,0.7776981469897896,470
CAGF,linear_drift,9,accuracy,0.6404255319148936,470
CAGF,linear_drift,9,macro_f1,0.6251380094890175,470
CAGF,linear_drift,9,nll,0.9078559889402446,470
CAGF,linear_drift,10,macro_auroc,0.8546809259259258,3600
CAGF,linear_drift,10,macro_auprc,0.6615243123534443,3600
CAGF,linear_drift,10,accuracy,0.5877777777777777,3600
CAGF,linear_drift,10,macro_f1,0.552106460153641,3600
CAGF,linear_drift,10,nll,1.235821317421966,3600
CAGF,natural,8,macro_auroc,0.9666654650660443,294
CAGF,natural,8,macro_auprc,0.9174348405230989,294
CAGF,natural,8,accuracy,0.891156462585034,294
CAGF,natural,8,macro_f1,0.8394855787907889,294
CAGF,natural,8,nll,0.6194994845103456,294
CAGF,natural,9,macro_auroc,0.9407579562865825,470
CAGF,natural,9,macro_auprc,0.8148766925668399,470
CAGF,natural,9,accuracy,0.6595744680851063,470
CAGF,natural,9,macro_f1,0.6213308288116108,470
CAGF,natural,9,nll,0.8890109877852231,470
CAGF,natural,10,macro_auroc,0.8699461111111111,3600
CAGF,natural,10,macro_auprc,0.6806188288160492,3600
CAGF,natural,10,accuracy,0.5891666666666666,3600
CAGF,natural,10,macro_f1,0.5535526616116752,3600
CAGF,natural,10,nll,1.2016666157112887,3600
CAGF,offset,8,macro_auroc,0.9412067592945718,294
CAGF,offset,8,macro_auprc,0.8097327789945008,294
CAGF,offset,8,accuracy,0.6904761904761905,294
CAGF,offset,8,macro_f1,0.7341182036234435,294
CAGF,offset,8,nll,0.7974731397531406,294
CAGF,offset,9,macro_auroc,0.8870605366767138,470
CAGF,offset,9,macro_auprc,0.7647755869406022,470
CAGF,offset,9,accuracy,0.6340425531914894,470
CAGF,offset,9,macro_f1,0.6145819154331361,470
CAGF,offset,9,nll,0.9661488280212611,470
CAGF,offset,10,macro_auroc,0.8540414814814815,3600
CAGF,offset,10,macro_auprc,0.6617581740974477,3600
CAGF,offset,10,accuracy,0.5863888888888888,3600
CAGF,offset,10,macro_f1,0.5503139218142054,3600
CAGF,offset,10,nll,1.2402948405540812,3600
CAGF,silent_gaussian,8,macro_auroc,0.9466154187006687,294
CAGF,silent_gaussian,8,macro_auprc,0.8369484985533348,294
CAGF,silent_gaussian,8,accuracy,0.7108843537414966,294
CAGF,silent_gaussian,8,macro_f1,0.7337548326273118,294
