held_out_building,method,metric,value
hospital,EF-PD,macro_f1,0.7113935241627616
hospital,EF-PD,macro_auroc,0.9826797932551355
hospital,EF-PD,macro_auprc,0.9052356990730945
hospital,EF-PD,nll,0.28979733660113827
hospital,EF-PD,class_1_precision,0.9012284761451032
hospital,EF-PD,class_1_recall,0.9878401312967419
hospital,EF-PD,class_1_f1,0.9425487805963111
hospital,EF-PD,class_1_auroc,0.9826797916634675
hospital,EF-PD,class_1_auprc,0.9974310085992121
hospital,EF-PD,class_2_precision,0.8206327372764787
hospital,EF-PD,class_2_recall,0.3394401456531634
hospital,EF-PD,class_2_f1,0.48023826772921197
hospital,EF-PD,class_2_auroc,0.9826797948468036
hospital,EF-PD,class_2_auprc,0.8130403895469771
hospital,EF-PD,balanced_accuracy,0.6636401384749526
hospital,UF-PD,accuracy,0.7749931898665214
hospital,UF-PD,macro_f1,0.44997151186914647
hospital,UF-PD,macro_auroc,0.34398497981463527
hospital,UF-PD,macro_auprc,0.4393047075846762
hospital,UF-PD,nll,0.9161763401312868
hospital,UF-PD,class_1_precision,0.8486284596818238
hospital,UF-PD,class_1_recall,0.8983569257166303
hospital,UF-PD,class_1_f1,0.8727849248052183
hospital,UF-PD,class_1_auroc,0.34398508168139197
hospital,UF-PD,class_1_auprc,0.7778556990171337
hospital,UF-PD,class_2_precision,0.03471484236627701
hospital,UF-PD,class_2_recall,0.02230314064633591
hospital,UF-PD,class_2_f1,0.027158098933074686
hospital,UF-PD,class_2_auroc,0.3439848779478785
hospital,UF-PD,class_2_auprc,0.10075371615221879
hospital,UF-PD,balanced_accuracy,0.4603300331814831
hospital,CAGF,accuracy,0.9033762238210458
hospital,CAGF,macro_f1,0.7185394819520987
hospital,CAGF,macro_auroc,0.9881071235355051
hospital,CAGF,macro_auprc,0.9517032716746157
hospital,CAGF,nll,0.18952397229935497
hospital,CAGF,class_1_precision,0.9008439884772831
hospital,CAGF,class_1_recall,0.9973143848262742
hospital,CAGF,class_1_f1,0.9466277217206586
hospital,CAGF,class_1_auroc,0.9881071092104925
hospital,CAGF,class_1_auprc,0.9980280026303976
hospital,CAGF,class_2_precision,0.9527248850952068
hospital,CAGF,class_2_recall,0.33022303140646336
hospital,CAGF,class_2_f1,0.49045124218353897
hospital,CAGF,class_2_auroc,0.9881071378605177
hospital,CAGF,class_2_auprc,0.9053785407188338
hospital,CAGF,balanced_accuracy,0.6637687081163688
hospital,ENT-PD,accuracy,0.7866104763888666
hospital,ENT-PD,macro_f1,0.448932204470818
hospital,ENT-PD,macro_auroc,0.24055556318848823
hospital,ENT-PD,macro_auprc,0.41886135124946716
hospital,ENT-PD,nll,1.1552413798927408
hospital,ENT-PD,class_1_precision,0.8496009715475364
hospital,ENT-PD,class_1_recall,0.9133143102258527
hospital,ENT-PD,class_1_f1,0.8803063122983309
hospital,ENT-PD,class_1_auroc,0.2405558767470987
hospital,ENT-PD,class_1_auprc,0.750429156760377
hospital,ENT-PD,class_2_precision,0.024963289280469897
hospital,ENT-PD,class_2_recall,0.013541192535275375
hospital,ENT-PD,class_2_f1,0.017558096643305054
hospital,ENT-PD,class_2_auroc,0.24055524962987776
hospital,ENT-PD,class_2_auprc,0.0872935457385573
hospital,ENT-PD,balanced_accuracy,0.4634277513805641
hospital,PDRF-NOQ,accuracy,0.7209447658115276
hospital,PDRF-NOQ,macro_f1,0.45700197455920394
hospital,PDRF-NOQ,macro_auroc,0.3011260640969572
hospital,PDRF-NOQ,macro_auprc,0.43042566859300907
hospital,PDRF-NOQ,nll,0.9185577142709652
hospital,PDRF-NOQ,class_1_precision,0.846131783242189
hospital,PDRF-NOQ,class_1_recall,0.8252858128648427
hospital,PDRF-NOQ,class_1_f1,0.8355788022697017
hospital,PDRF-NOQ,class_1_auroc,0.3011260932775386
hospital,PDRF-NOQ,class_1_auprc,0.7594541567669293
hospital,PDRF-NOQ,class_2_precision,0.0733010188940548
hospital,PDRF-NOQ,class_2_recall,0.08431952662721894
hospital,PDRF-NOQ,class_2_f1,0.07842514684870615
hospital,PDRF-NOQ,class_2_auroc,0.30112603491637585
hospital,PDRF-NOQ,class_2_auprc,0.10139718041908884
hospital,PDRF-NOQ,balanced_accuracy,0.45480266974603084
hospital,RC-PDRF-NOQ,accuracy,0.7522713798131619
hospital,RC-PDRF-NOQ,macro_f1,0.46836959965515523
hospital,RC-PDRF-NOQ,macro_auroc,0.2962489702862565
hospital,RC-PDRF-NOQ,macro_auprc,0.4299342098190527
hospital,RC-PDRF-NOQ,nll,0.935172247658325
hospital,RC-PDRF-NOQ,class_1_precision,0.8507712389461879
hospital,RC-PDRF-NOQ,class_1_recall,0.8630522762453607
hospital,RC-PDRF-NOQ,class_1_f1,0.8568677554345814
hospital,RC-PDRF-NOQ,class_1_auroc,0.2962489931001656
hospital,RC-PDRF-NOQ,class_1_auprc,0.7585913791784783
hospital,RC-PDRF-NOQ,class_2_precision,0.0837284751684552
hospital,RC-PDRF-NOQ,class_2_recall,0.07635411925352754
hospital,RC-PDRF-NOQ,class_2_f1,0.07987144387572909
hospital,RC-PDRF-NOQ,class_2_auroc,0.2962489474723475
hospital,RC-PDRF-NOQ,class_2_auprc,0.10127704045962715
hospital,RC-PDRF-NOQ,balanced_accuracy,0.46970319774944413
office,EF-PD,accuracy,0.9788357712348547
office,EF-PD,macro_f1,0.9205991054754634
office,EF-PD,macro_auroc,0.9952854058236205
office,EF-PD,macro_auprc,0.9533054844538347
office,EF-PD,nll,0.0806150431991719
office,EF-PD,class_1_precision,0.9980369564289677
office,EF-PD,class_1_recall,0.9793387045443125
office,EF-PD,class_1_f1,0.9885994242645847
office,EF-PD,class_1_auroc,0.99528538991829
office,EF-PD,class_1_auprc,0.9996880721812449
office,EF-PD,class_2_precision,0.7597155936495569
office,EF-PD,class_2_recall,0.9713574097135741
office,EF-PD,class_2_f1,0.852598786686342
office,EF-PD,class_2_auroc,0.995285421728951
office,EF-PD,class_2_auprc,0.9069228967264246
