seed,teacher,subset,metric,value,parameters,train_seconds,inference_ms_per_observation
101,best_ce,all,accuracy,0.5591200733272227,19740,24.222225399993476,0.0019219065068567498
101,best_ce,all,macro_f1,0.5371857875450607,19740,24.222225399993476,0.0019219065068567498
101,best_ce,all,macro_auroc,0.8484389974435862,19740,24.222225399993476,0.0019219065068567498
101,best_ce,all,macro_auprc,0.5979987586347856,19740,24.222225399993476,0.0019219065068567498
101,best_ce,all,nll,1.7243600489462398,19740,24.222225399993476,0.0019219065068567498
101,best_ce,all,brier,0.6667435013336553,19740,24.222225399993476,0.0019219065068567498
101,best_ce,all,ece15,0.2351570803702806,19740,24.222225399993476,0.0019219065068567498
101,best_ce,affected,accuracy,0.5335648148148148,19740,24.222225399993476,0.0019219065068567498
101,best_ce,affected,macro_f1,0.5082104967894499,19740,24.222225399993476,0.0019219065068567498
101,best_ce,affected,macro_auroc,0.8261770315950826,19740,24.222225399993476,0.0019219065068567498
101,best_ce,affected,macro_auprc,0.5486127142347498,19740,24.222225399993476,0.0019219065068567498
101,best_ce,affected,nll,1.944588058662576,19740,24.222225399993476,0.0019219065068567498
101,best_ce,affected,brier,0.7119150359563322,19740,24.222225399993476,0.0019219065068567498
101,best_ce,affected,ece15,0.2654818901964636,19740,24.222225399993476,0.0019219065068567498
101,best_ce,unaffected,accuracy,0.5758725341426404,19740,24.222225399993476,0.0019219065068567498
101,best_ce,unaffected,macro_f1,0.5539259664010686,19740,24.222225399993476,0.0019219065068567498
101,best_ce,unaffected,macro_auroc,0.8647668446642162,19740,24.222225399993476,0.0019219065068567498
101,best_ce,unaffected,macro_auprc,0.6397534576246753,19740,24.222225399993476,0.0019219065068567498
101,best_ce,unaffected,nll,1.5799920668560163,19740,24.222225399993476,0.0019219065068567498
101,best_ce,unaffected,brier,0.6371318124763012,19740,24.222225399993476,0.0019219065068567498
101,best_ce,unaffected,ece15,0.21653523109570624,19740,24.222225399993476,0.0019219065068567498
101,clean_only,all,accuracy,0.560724106324473,19740,23.707031099998858,0.00186372594238305
101,clean_only,all,macro_f1,0.5375952861654741,19740,23.707031099998858,0.00186372594238305
101,clean_only,all,macro_auroc,0.8492968474929309,19740,23.707031099998858,0.00186372594238305
101,clean_only,all,macro_auprc,0.5995247151650053,19740,23.707031099998858,0.00186372594238305
101,clean_only,all,nll,1.7208284188972234,19740,23.707031099998858,0.00186372594238305
101,clean_only,all,brier,0.6622937587620695,19740,23.707031099998858,0.00186372594238305
101,clean_only,all,ece15,0.2347763617523868,19740,23.707031099998858,0.00186372594238305
101,clean_only,affected,accuracy,0.5353009259259259,19740,23.707031099998858,0.00186372594238305
101,clean_only,affected,macro_f1,0.5112302709924217,19740,23.707031099998858,0.00186372594238305
101,clean_only,affected,macro_auroc,0.8267390426857704,19740,23.707031099998858,0.00186372594238305
101,clean_only,affected,macro_auprc,0.550996222091947,19740,23.707031099998858,0.00186372594238305
101,clean_only,affected,nll,1.9473533103958534,19740,23.707031099998858,0.00186372594238305
101,clean_only,affected,brier,0.7095776825038499,19740,23.707031099998858,0.00186372594238305
101,clean_only,affected,ece15,0.26572492927381836,19740,23.707031099998858,0.00186372594238305
101,clean_only,unaffected,accuracy,0.5773899848254932,19740,23.707031099998858,0.00186372594238305
101,clean_only,unaffected,macro_f1,0.5521418793526779,19740,23.707031099998858,0.00186372594238305
101,clean_only,unaffected,macro_auroc,0.865917722222416,19740,23.707031099998858,0.00186372594238305
101,clean_only,unaffected,macro_auprc,0.6402689051899461,19740,23.707031099998858,0.00186372594238305
101,clean_only,unaffected,nll,1.5723325871409137,19740,23.707031099998858,0.00186372594238305
