method,pool,subset,metric,value
PDRF,probability_mean,affected,ece15,0.2879521040673297
PDRF,probability_mean,unaffected,accuracy,0.6033089649865333
PDRF,probability_mean,unaffected,macro_f1,0.5740538207939897
PDRF,probability_mean,unaffected,macro_auroc,0.8743006439092849
PDRF,probability_mean,unaffected,macro_auprc,0.6624791111319005
PDRF,probability_mean,unaffected,nll,1.5519449298769012
PDRF,probability_mean,unaffected,brier,0.5656187439060107
PDRF,probability_mean,unaffected,ece15,0.18493751009045403
PDRF,log_probability_mean,all,accuracy,0.5577451879010082
PDRF,log_probability_mean,all,macro_f1,0.5424617900546503
PDRF,log_probability_mean,all,macro_auroc,0.8424754874979703
PDRF,log_probability_mean,all,macro_auprc,0.5978000041433128
PDRF,log_probability_mean,all,nll,2.210743446121967
PDRF,log_probability_mean,all,brier,0.6873393010623414
PDRF,log_probability_mean,all,ece15,0.2787196913394329
PDRF,log_probability_mean,affected,accuracy,0.48158640226628896
PDRF,log_probability_mean,affected,macro_f1,0.47689394981322347
PDRF,log_probability_mean,affected,macro_auroc,0.7963640357212546
PDRF,log_probability_mean,affected,macro_auprc,0.518783679966167
PDRF,log_probability_mean,affected,nll,2.985763533126252
PDRF,log_probability_mean,affected,brier,0.8354583374204342
PDRF,log_probability_mean,affected,ece15,0.3636176698775197
PDRF,log_probability_mean,unaffected,accuracy,0.6094651789149673
PDRF,log_probability_mean,unaffected,macro_f1,0.5817099970649992
PDRF,log_probability_mean,unaffected,macro_auroc,0.8770676527345085
PDRF,log_probability_mean,unaffected,macro_auprc,0.6641969972211341
PDRF,log_probability_mean,unaffected,nll,1.684421609429946
PDRF,log_probability_mean,unaffected,brier,0.5867505749476689
PDRF,log_probability_mean,unaffected,ece15,0.22106476041526693
PDRF,majority_vote,all,accuracy,0.5439963336388635
PDRF,majority_vote,all,macro_f1,0.5282532800552603
PDRF,majority_vote,all,macro_auroc,0.7451685823253401
PDRF,majority_vote,all,macro_auprc,0.49123830061657975
PDRF,majority_vote,all,nll,10.208936418283194
PDRF,majority_vote,all,brier,0.7592422853615447
PDRF,majority_vote,all,ece15,0.3332569508054886
PDRF,majority_vote,affected,accuracy,0.4736543909348442
PDRF,majority_vote,affected,macro_f1,0.4672702872723368
PDRF,majority_vote,affected,macro_auroc,0.7186032492206507
PDRF,majority_vote,affected,macro_auprc,0.42024894236353655
PDRF,majority_vote,affected,nll,11.557420541253704
PDRF,majority_vote,affected,brier,0.8744098205813663
PDRF,majority_vote,affected,ece15,0.3828139754445108
PDRF,majority_vote,unaffected,accuracy,0.5917660638707195
PDRF,majority_vote,unaffected,macro_f1,0.5653409127517376
PDRF,majority_vote,unaffected,macro_auroc,0.761391887712432
PDRF,majority_vote,unaffected,macro_auprc,0.5398050710788868
PDRF,majority_vote,unaffected,nll,9.293170940390564
PDRF,majority_vote,unaffected,brier,0.6810311658298074
PDRF,majority_vote,unaffected,ece15,0.29960241117952685
PDRF,validation_selected,all,accuracy,0.5492667277726856
PDRF,validation_selected,all,macro_f1,0.5305859262540402
PDRF,validation_selected,all,macro_auroc,0.8416870703650473
PDRF,validation_selected,all,macro_auprc,0.5884051116249603
PDRF,validation_selected,all,nll,2.077856549626693
PDRF,validation_selected,all,brier,0.7023699560254641
PDRF,validation_selected,all,ece15,0.2790263198165856
PDRF,validation_selected,affected,accuracy,0.48158640226628896
PDRF,validation_selected,affected,macro_f1,0.4685800229206705
PDRF,validation_selected,affected,macro_auroc,0.8011193696900073
PDRF,validation_selected,affected,macro_auprc,0.5124590478279335
PDRF,validation_selected,affected,nll,2.601090911469083
PDRF,validation_selected,affected,brier,0.8200947515238456
