seed,method,prevalence,scale,modality,subset,macro_auroc
101,CAGF,0.7,3.0,4,unaffected,0.7816446122654339
101,CAGF,0.7,5.0,1,all,0.7006701515907133
101,CAGF,0.7,5.0,1,affected,0.6728814447901481
101,CAGF,0.7,5.0,1,unaffected,0.7752072412973163
101,CAGF,0.7,5.0,2,all,0.7246226027428988
101,CAGF,0.7,5.0,2,affected,0.709276332899237
101,CAGF,0.7,5.0,2,unaffected,0.7768765561479652
101,CAGF,0.7,5.0,3,all,0.6824616129735096
101,CAGF,0.7,5.0,3,affected,0.6484330070176084
101,CAGF,0.7,5.0,3,unaffected,0.789836378994904
101,CAGF,0.7,5.0,4,all,0.6794859011022898
101,CAGF,0.7,5.0,4,affected,0.6422196273506867
101,CAGF,0.7,5.0,4,unaffected,0.7816446122654339
101,PDRF,0.1,1.0,1,all,0.8381319869374178
101,PDRF,0.1,1.0,1,affected,0.8290628090078548
101,PDRF,0.1,1.0,1,unaffected,0.8396420891927591
101,PDRF,0.1,1.0,2,all,0.8433247504433758
101,PDRF,0.1,1.0,2,affected,0.8055299417890778
101,PDRF,0.1,1.0,2,unaffected,0.8477890378999837
101,PDRF,0.1,1.0,3,all,0.8426247559222374
101,PDRF,0.1,1.0,3,affected,0.8186446292232779
101,PDRF,0.1,1.0,3,unaffected,0.8454797848356024
101,PDRF,0.1,1.0,4,all,0.8401582885613852
101,PDRF,0.1,1.0,4,affected,0.8067134035005862
101,PDRF,0.1,1.0,4,unaffected,0.8442752768840832
101,PDRF,0.1,3.0,1,all,0.8318981310925118
101,PDRF,0.1,3.0,1,affected,0.7784140451735451
101,PDRF,0.1,3.0,1,unaffected,0.8396420891927591
101,PDRF,0.1,3.0,2,all,0.8365659774787996
101,PDRF,0.1,3.0,2,affected,0.7512238169914651
101,PDRF,0.1,3.0,2,unaffected,0.8477890378999837
101,PDRF,0.1,3.0,3,all,0.8362988311188978
101,PDRF,0.1,3.0,3,affected,0.7634633061721633
101,PDRF,0.1,3.0,3,unaffected,0.8454797848356024
101,PDRF,0.1,3.0,4,all,0.8292358267387993
101,PDRF,0.1,3.0,4,affected,0.7250963814623642
101,PDRF,0.1,3.0,4,unaffected,0.8442752768840832
101,PDRF,0.1,5.0,1,all,0.8273933769669034
101,PDRF,0.1,5.0,1,affected,0.7446145926368102
101,PDRF,0.1,5.0,1,unaffected,0.8396420891927591
101,PDRF,0.1,5.0,2,all,0.8310810846720416
101,PDRF,0.1,5.0,2,affected,0.7126135845106482
101,PDRF,0.1,5.0,2,unaffected,0.8477890378999837
101,PDRF,0.1,5.0,3,all,0.8310047545452344
101,PDRF,0.1,5.0,3,affected,0.7244395477856033
101,PDRF,0.1,5.0,3,unaffected,0.8454797848356024
101,PDRF,0.1,5.0,4,all,0.8218844178963115
101,PDRF,0.1,5.0,4,affected,0.674852263673367
101,PDRF,0.1,5.0,4,unaffected,0.8442752768840832
101,PDRF,0.4,1.0,1,all,0.8301463466997503
101,PDRF,0.4,1.0,1,affected,0.817864090983119
101,PDRF,0.4,1.0,1,unaffected,0.8393505894334087
101,PDRF,0.4,1.0,2,all,0.8418925324689979
101,PDRF,0.4,1.0,2,affected,0.8239958823447898
101,PDRF,0.4,1.0,2,unaffected,0.8542825602963521
101,PDRF,0.4,1.0,3,all,0.8379099291903563
101,PDRF,0.4,1.0,3,affected,0.8198512842911265
101,PDRF,0.4,1.0,3,unaffected,0.8506918141487095
101,PDRF,0.4,1.0,4,all,0.8307144430924865
