grouping,groups,seed,fault,macro_auroc
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",101,natural,0.8846528003635336
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",101,silent_gaussian,0.8447711981215202
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",102,natural,0.8839516322610416
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",102,silent_gaussian,0.8427251101400444
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",103,natural,0.8814462990331026
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",103,silent_gaussian,0.8293294084706853
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",104,natural,0.8767158876501912
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",104,silent_gaussian,0.8284819274564456
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",105,natural,0.8804965577060689
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",105,silent_gaussian,0.836246642530809
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",101,natural,0.8896316762389644
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",101,silent_gaussian,0.8591704107556352
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",102,natural,0.8674524962987141
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",102,silent_gaussian,0.8338479706274201
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",103,natural,0.8685090970213295
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",103,silent_gaussian,0.8358006843139819
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",104,natural,0.8737667195546183
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",104,silent_gaussian,0.8386054899512865
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",105,natural,0.8750042000591255
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",105,silent_gaussian,0.8479355578179271
random_1,"[[12, 8, 9, 10], [2, 4, 15, 3], [5, 6, 11, 1], [13, 0, 7, 14]]",101,natural,0.8924096419683175
random_1,"[[12, 8, 9, 10], [2, 4, 15, 3], [5, 6, 11, 1], [13, 0, 7, 14]]",101,silent_gaussian,0.8726241989421469
random_1,"[[12, 8, 9, 10], [2, 4, 15, 3], [5, 6, 11, 1], [13, 0, 7, 14]]",102,natural,0.8871082245221751
random_1,"[[12, 8, 9, 10], [2, 4, 15, 3], [5, 6, 11, 1], [13, 0, 7, 14]]",102,silent_gaussian,0.8594924282068707
random_1,"[[12, 8, 9, 10], [2, 4, 15, 3], [5, 6, 11, 1], [13, 0, 7, 14]]",103,natural,0.8894350173329046
