seed,method,temperature,parameters,train_seconds,epochs
101,RO-CAGF,1.1145335589867211,26588,16.505306800012477,25
101,RO-PDRF-Full,1.1624636387731861,19740,21.39162199999555,29
101,RO-MER,1.0616427772132233,35811,16.829356400005054,24
102,RO-CAGF,0.7423498144666183,26588,8.856070199981332,15
102,RO-PDRF-Full,0.7856289370106155,19740,14.568249100004323,20
102,RO-MER,1.130941034986427,35811,13.840416499995627,21
103,RO-CAGF,0.8584264055463096,26588,10.363208499999018,18
103,RO-PDRF-Full,0.5467774752063312,19740,14.116430399997625,18
103,RO-MER,1.0480434279712834,35811,13.39383230000385,19
104,RO-CAGF,0.9201833565206756,26588,13.792675100004999,24
104,RO-PDRF-Full,0.7881896257061171,19740,18.57439720002003,26
104,RO-MER,1.1897687620769037,35811,9.92912059999071,15
105,RO-CAGF,0.8636919933925408,26588,10.443865400011418,16
105,RO-PDRF-Full,0.9396864593290633,19740,21.881921000021975,29
105,RO-MER,0.9054328423103574,35811,12.868835500004934,18
106,RO-CAGF,0.5542848539491462,26588,13.197346700006165,21
106,RO-PDRF-Full,0.5836423750531035,19740,14.663096900010714,19
106,RO-MER,0.8000287801170569,35811,9.74631670000963,15
107,RO-CAGF,0.9165444428505312,26588,12.004033400007756,18
107,RO-PDRF-Full,0.9502097916692672,19740,18.578652199998032,25
107,RO-MER,0.9703310749783494,35811,11.840660499990918,18
108,RO-CAGF,0.9233958798128266,26588,16.926843699999154,26
108,RO-PDRF-Full,0.9609401226252631,19740,29.95515809999779,37
108,RO-MER,1.0133877524104724,35811,13.619868100009626,20
109,RO-CAGF,1.0745394422004138,26588,8.437456299987389,16
109,RO-PDRF-Full,0.6770092065633141,19740,15.392244899994694,28
109,RO-MER,0.9645460289252707,35811,9.6231187999947,19
110,RO-CAGF,0.9824549267371409,26588,10.718548100005137,22
110,RO-PDRF-Full,0.9515631390847925,19740,16.376772499992512,33
110,RO-MER,1.0629501740848963,35811,6.501810999994632,15
