method,seed,subset,metric,value,n
QMF-PD,105,affected,nll,3.444616209879446,1765
QMF-PD,105,affected,brier,0.8950497955067364,1765
QMF-PD,105,affected,ece15,0.37724213232062015,1765
QMF-PD,105,unaffected,accuracy,0.5875336667949211,2599
QMF-PD,105,unaffected,macro_f1,0.5632449325010155,2599
QMF-PD,105,unaffected,macro_auroc,0.8478832202982277,2599
QMF-PD,105,unaffected,macro_auprc,0.641029781235461,2599
QMF-PD,105,unaffected,nll,1.7567380205794287,2599
QMF-PD,105,unaffected,brier,0.61680749951848,2599
QMF-PD,105,unaffected,ece15,0.20102208326439897,2599
QMF-PD,106,all,accuracy,0.5174152153987168,4364
QMF-PD,106,all,macro_f1,0.504360408393869,4364
QMF-PD,106,all,macro_auroc,0.794367122928998,4364
QMF-PD,106,all,macro_auprc,0.5140203497703716,4364
QMF-PD,106,all,nll,3.372368497513045,4364
QMF-PD,106,all,brier,0.8013163346866018,4364
QMF-PD,106,all,ece15,0.3466573028759493,4364
QMF-PD,106,affected,accuracy,0.431728045325779,1765
QMF-PD,106,affected,macro_f1,0.4217962313461779,1765
QMF-PD,106,affected,macro_auroc,0.7323099837638752,1765
QMF-PD,106,affected,macro_auprc,0.4069041694393924,1765
QMF-PD,106,affected,nll,5.0529582264771795,1765
QMF-PD,106,affected,brier,0.9968304689605957,1765
QMF-PD,106,affected,ece15,0.46294897862264184,1765
QMF-PD,106,unaffected,accuracy,0.5756060023085803,2599
QMF-PD,106,unaffected,macro_f1,0.5595604465560334,2599
QMF-PD,106,unaffected,macro_auroc,0.847907996432813,2599
QMF-PD,106,unaffected,macro_auprc,0.6286010843520365,2599
QMF-PD,106,unaffected,nll,2.231067661952562,2599
QMF-PD,106,unaffected,brier,0.6685412492715962,2599
QMF-PD,106,unaffected,ece15,0.26775844073515753,2599
QMF-PD,107,all,accuracy,0.536205316223648,4364
QMF-PD,107,all,macro_f1,0.5155866625785941,4364
QMF-PD,107,all,macro_auroc,0.816473663664757,4364
QMF-PD,107,all,macro_auprc,0.5733885734325823,4364
QMF-PD,107,all,nll,1.8901700250567126,4364
QMF-PD,107,all,brier,0.6852405338539739,4364
QMF-PD,107,all,ece15,0.2248298791804847,4364
QMF-PD,107,affected,accuracy,0.4708215297450425,1765
QMF-PD,107,affected,macro_f1,0.45095610489815474,1765
QMF-PD,107,affected,macro_auroc,0.7728209571794552,1765
QMF-PD,107,affected,macro_auprc,0.4936261621191844,1765
QMF-PD,107,affected,nll,2.410605046346247,1765
QMF-PD,107,affected,brier,0.8011043312203984,1765
QMF-PD,107,affected,ece15,0.29266496274525317,1765
QMF-PD,107,unaffected,accuracy,0.5806079261254329,2599
QMF-PD,107,unaffected,macro_f1,0.5569250721425925,2599
QMF-PD,107,unaffected,macro_auroc,0.8487691188522373,2599
QMF-PD,107,unaffected,macro_auprc,0.641748035117354,2599
QMF-PD,107,unaffected,nll,1.5367387774322308,2599
QMF-PD,107,unaffected,brier,0.6065565775816618,2599
QMF-PD,107,unaffected,ece15,0.1787625392465327,2599
QMF-PD,108,all,accuracy,0.5320806599450045,4364
QMF-PD,108,all,macro_f1,0.5136224037717911,4364
QMF-PD,108,all,macro_auroc,0.8106899413023886,4364
QMF-PD,108,all,macro_auprc,0.5425446413042861,4364
QMF-PD,108,all,nll,2.36189797342339,4364
QMF-PD,108,all,brier,0.7126848120304561,4364
QMF-PD,108,all,ece15,0.27276501089921795,4364
QMF-PD,108,affected,accuracy,0.4555240793201133,1765
QMF-PD,108,affected,macro_f1,0.44332297762608736,1765
QMF-PD,108,affected,macro_auroc,0.7546047543986324,1765
QMF-PD,108,affected,macro_auprc,0.44300517444501203,1765
QMF-PD,108,affected,nll,3.3282685948599804,1765
QMF-PD,108,affected,brier,0.8695945572229217,1765
QMF-PD,108,affected,ece15,0.36042046731828636,1765
QMF-PD,108,unaffected,accuracy,0.584070796460177,2599
QMF-PD,108,unaffected,macro_f1,0.5600981388316365,2599
QMF-PD,108,unaffected,macro_auroc,0.8542281863700754,2599
QMF-PD,108,unaffected,macro_auprc,0.6402366301957548,2599
